# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol],UMincline3(d)[kj/mol]
-0.1936721,-0.1936721,0.0000001,11224.2070142,11224.2070142
-0.1836721,-0.1836721,0.0100001,13548.3591320,13548.3591320
-0.1736721,-0.1736721,0.0200001,15412.3038530,15412.3038530
-0.1636721,-0.1636721,0.0300001,11080.8297064,11080.8297064
-0.1536721,-0.1536721,0.0400001,8589.0633383,8589.0633383
-0.1436721,-0.1436721,0.0500001,7237.2526460,7237.2526460
-0.1336721,-0.1336721,0.0600001,6670.0091665,6670.0091665
-0.1236721,-0.1236721,0.0700001,6764.0259960,6764.0259960
-0.1136721,-0.1136721,0.0800001,7592.1124213,7592.1124213
-0.1036721,-0.1036721,0.0900001,7040.9972029,7040.9972029
-0.0936721,-0.0936721,0.1000001,7006.2669371,7006.2669371
-0.0836721,-0.0836721,0.1100001,7460.4492655,7460.4492655
-0.0736721,-0.0736721,0.1200001,7671.9685881,7671.9685881
-0.0636721,-0.0636721,0.1300001,6141.6635724,6141.6635724
-0.0536721,-0.0536721,0.1400001,5037.9246915,5037.9246915
-0.0436721,-0.0436721,0.1500001,4210.0623580,4210.0623580
-0.0336721,-0.0336721,0.1600001,3379.7480047,3379.7480047
-0.0236721,-0.0236721,0.1700001,2253.1859215,2253.1859215
-0.0136721,-0.0136721,0.1800001,1564.7393097,1545.4546856
-0.0036721,-0.0036721,0.1900001,1113.3352786,1094.2085761
0.0063279,0.0063279,0.2000001,764.1985513,745.2726956
0.0163279,0.0163279,0.2100001,522.5181300,503.5922743
0.0263279,0.0263279,0.2200001,357.8745885,338.9487328
0.0363279,0.0363279,0.2300001,245.2395333,226.3136796
0.0463279,0.0463279,0.2400001,167.8494084,148.9326836
0.0563279,0.0563279,0.2500001,113.8923320,95.5727054
0.0663279,0.0663279,0.2600001,74.6578985,56.6460491
0.0763279,0.0763279,0.2700001,47.3472852,28.8360004
0.0863279,0.0863279,0.2800001,29.0283662,10.5024519
0.0963279,0.0963279,0.2900001,16.7408858,-1.4947930
0.1063279,0.1063279,0.3000001,8.4706261,-9.2177303
0.1163279,0.1163279,0.3100001,2.9775679,-14.0398773
0.1263279,0.1263279,0.3200001,-0.5762729,-16.8876741
0.1363279,0.1363279,0.3300001,-2.8086752,-18.3926547
0.1463279,0.1463279,0.3400001,-4.1426047,-18.9890193
0.1563279,0.1563279,0.3500001,-4.8577467,-18.9772233
0.1663279,0.1663279,0.3600001,-5.1719868,-18.5660568
0.1763279,0.1763279,0.3700001,-5.2646999,-17.9008826
0.1863279,0.1863279,0.3800001,-5.2825175,-17.0828280
0.1963279,0.1963279,0.3900001,-5.3773842,-16.1819750
0.2063279,0.2063279,0.4000001,-5.6510610,-15.2465168
0.2163279,0.2163279,0.4100001,-6.0545257,-14.3091672
0.2263279,0.2263279,0.4200001,-6.4811480,-13.8067060
0.2363279,0.2363279,0.4300001,-6.8692999,-13.4757606
0.2463279,0.2463279,0.4400001,-7.1847402,-13.0372655
0.2563279,0.2563279,0.4500001,-7.3960883,-12.4879831
0.2663279,0.2663279,0.4600001,-7.4856264,-11.9214129
0.2763279,0.2763279,0.4700001,-7.4554493,-11.8435519
0.2863279,0.2863279,0.4800001,-7.3223404,-11.6711270
0.2963279,0.2963279,0.4900001,-7.1129570,-11.3700882
0.3063279,0.3063279,0.5000001,-6.8585732,-10.9913215
