# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
-0.1936721,-0.1936721,0.0000001,1730.7132595,1704.8722037
-0.1836721,-0.1836721,0.0100001,1654.4410915,1628.6281162
-0.1736721,-0.1736721,0.0200001,1307.1736853,1281.3324392
-0.1636721,-0.1636721,0.0300001,1143.3438290,1117.5025825
-0.1536721,-0.1536721,0.0400001,934.7176980,908.9573036
-0.1436721,-0.1436721,0.0500001,697.1679882,671.3461336
-0.1336721,-0.1336721,0.0600001,540.9299736,515.1111995
-0.1236721,-0.1236721,0.0700001,431.3279742,407.6964667
-0.1136721,-0.1136721,0.0800001,321.2828068,296.8140288
-0.1036721,-0.1036721,0.0900001,254.8056424,230.3562087
-0.0936721,-0.0936721,0.1000001,210.1492305,185.2236406
-0.0836721,-0.0836721,0.1100001,145.3890215,119.5483908
-0.0736721,-0.0736721,0.1200001,92.7037808,66.8627029
-0.0636721,-0.0636721,0.1300001,53.7291721,27.8880293
-0.0536721,-0.0536721,0.1400001,24.9921422,-0.8490172
-0.0436721,-0.0436721,0.1500001,4.0526738,-21.7884780
-0.0336721,-0.0336721,0.1600001,-10.8995410,-36.7406503
-0.0236721,-0.0236721,0.1700001,-21.2578687,-47.0987435
-0.0136721,-0.0136721,0.1800001,-28.1154003,-53.9541199
-0.0036721,-0.0036721,0.1900001,-32.3522113,-58.1643119
0.0063279,0.0063279,0.2000001,-34.9386371,-60.3991237
0.0163279,0.0163279,0.2100001,-37.5367579,-61.1764168
0.0263279,0.0263279,0.2200001,-40.4484145,-64.0940514
0.0363279,0.0363279,0.2300001,-44.9733960,-67.9827390
0.0463279,0.0463279,0.2400001,-52.5446609,-76.8955726
0.0563279,0.0563279,0.2500001,-59.7013282,-83.3829286
0.0663279,0.0663279,0.2600001,-65.7857812,-89.1283145
0.0763279,0.0763279,0.2700001,-70.8321621,-93.4600378
0.0863279,0.0863279,0.2800001,-73.7807441,-97.4535681
0.0963279,0.0963279,0.2900001,-74.5419516,-98.3941834
0.1063279,0.1063279,0.3000001,-73.8946566,-97.2047184
0.1163279,0.1163279,0.3100001,-72.3329734,-94.7475433
0.1263279,0.1263279,0.3200001,-70.1270754,-91.9381537
0.1363279,0.1363279,0.3300001,-67.5895652,-89.3996415
0.1463279,0.1463279,0.3400001,-66.9206108,-89.7558625
0.1563279,0.1563279,0.3500001,-75.9191685,-100.3741966
0.1663279,0.1663279,0.3600001,-80.9732588,-105.4370096
0.1763279,0.1763279,0.3700001,-82.2449913,-106.6759769
0.1863279,0.1863279,0.3800001,-81.1984281,-105.3748828
0.1963279,0.1963279,0.3900001,-79.1228941,-102.4644791
0.2063279,0.2063279,0.4000001,-76.4548586,-98.6052370
0.2163279,0.2163279,0.4100001,-73.1837010,-94.2555332
0.2263279,0.2263279,0.4200001,-69.5537557,-90.1940249
0.2363279,0.2363279,0.4300001,-65.7904919,-86.1085551
0.2463279,0.2463279,0.4400001,-62.0202044,-81.9293948
0.2563279,0.2563279,0.4500001,-58.3394037,-77.8334482
0.2663279,0.2663279,0.4600001,-54.8347682,-73.9238826
0.2763279,0.2763279,0.4700001,-51.5706184,-70.2555949
0.2863279,0.2863279,0.4800001,-48.5829759,-66.8524274
0.2963279,0.2963279,0.4900001,-45.8848443,-63.7187167
0.3063279,0.3063279,0.5000001,-43.4734081,-60.8469757
0.3163279,0.3163279,0.5100001,-41.3351617,-58.2229521
0.3263279,0.3263279,0.5200001,-39.4493100,-55.8522745
0.3363279,0.3363279,0.5300001,-37.7905257,-53.8308073
0.3463279,0.3463279,0.5400001,-36.3315428,-51.9687025
0.3563279,0.3563279,0.5500001,-35.0454465,-50.2532128
0.3663279,0.3663279,0.5600001,-33.9073464,-48.7813842
0.3763279,0.3763279,0.5700001,-32.8952942,-47.4407510
0.3863279,0.3863279,0.5800001,-31.9905442,-46.1992904
0.3963279,0.3963279,0.5900001,-31.1773784,-45.0473646
0.4063279,0.4063279,0.6000001,-30.4427144,-43.9762580
0.4163279,0.4163279,0.6100001,-29.7756544,-42.9781207
