# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol],UMincline3(d)[kj/mol]
-0.2678726,-0.2678726,0.0000001,16176.5555885,16176.5555885
-0.2578726,-0.2578726,0.0100001,13639.8996328,13639.8996328
-0.2478726,-0.2478726,0.0200001,12075.1831504,12075.1831504
-0.2378726,-0.2378726,0.0300001,11291.7745735,11291.7745735
-0.2278726,-0.2278726,0.0400001,11133.1928923,11133.1928923
-0.2178726,-0.2178726,0.0500001,10550.6771303,10550.6771303
-0.2078726,-0.2078726,0.0600001,10094.5614961,10094.5614961
-0.1978726,-0.1978726,0.0700001,8845.6043732,8845.6043732
-0.1878726,-0.1878726,0.0800001,8478.7156143,8478.7156143
-0.1778726,-0.1778726,0.0900001,8770.2237559,8770.2237559
-0.1678726,-0.1678726,0.1000001,7556.7995917,7556.7995917
-0.1578726,-0.1578726,0.1100001,6737.2925751,6737.2925751
-0.1478726,-0.1478726,0.1200001,5794.3721820,5794.3721820
-0.1378726,-0.1378726,0.1300001,5065.0796131,5065.0796131
-0.1278726,-0.1278726,0.1400001,4831.1003947,4831.1003947
-0.1178726,-0.1178726,0.1500001,5103.1956839,5103.1956839
-0.1078726,-0.1078726,0.1600001,4041.7297321,4041.7297321
-0.0978726,-0.0978726,0.1700001,2967.5251744,2967.5251744
-0.0878726,-0.0878726,0.1800001,2174.6330054,2174.6330054
-0.0778726,-0.0778726,0.1900001,1625.9329176,1607.0070618
-0.0678726,-0.0678726,0.2000001,1231.3966883,1212.4708326
-0.0578726,-0.0578726,0.2100001,965.2298727,946.3040169
-0.0478726,-0.0478726,0.2200001,790.9751112,772.0555576
-0.0378726,-0.0378726,0.2300001,556.2270646,537.3012088
-0.0278726,-0.0278726,0.2400001,406.4194117,387.4935560
-0.0178726,-0.0178726,0.2500001,313.9196548,294.9937990
-0.0078726,-0.0078726,0.2600001,254.7358235,235.8101317
0.0021274,0.0021274,0.2700001,211.3007869,193.0595165
0.0121274,0.0121274,0.2800001,164.1235944,145.8264926
0.0221274,0.0221274,0.2900001,109.6416866,90.7191854
0.0321274,0.0321274,0.3000001,75.5851173,56.6884317
0.0421274,0.0421274,0.3100001,53.8813766,35.1465148
0.0521274,0.0521274,0.3200001,39.3108903,21.1187720
0.0621274,0.0621274,0.3300001,28.7729403,11.6929963
0.0721274,0.0721274,0.3400001,20.3963376,4.5524787
0.0821274,0.0821274,0.3500001,13.4555948,-2.3625710
0.0921274,0.0921274,0.3600001,8.0448906,-8.2824665
0.1021274,0.1021274,0.3700001,4.0269544,-11.9007228
0.1121274,0.1121274,0.3800001,1.1530145,-13.9286769
0.1221274,0.1221274,0.3900001,-0.8084392,-15.4577161
0.1321274,0.1321274,0.4000001,-2.0961044,-16.3569320
0.1421274,0.1421274,0.4100001,-2.9496344,-16.5831022
0.1521274,0.1521274,0.4200001,-3.5836839,-16.3870279
0.1621274,0.1621274,0.4300001,-4.1318675,-15.9322011
0.1721274,0.1721274,0.4400001,-4.5945834,-15.3253763
0.1821274,0.1821274,0.4500001,-4.9342708,-14.7741287
0.1921274,0.1921274,0.4600001,-5.1478869,-14.5758002
0.2021274,0.2021274,0.4700001,-5.2613677,-14.1369584
0.2121274,0.2121274,0.4800001,-5.3056316,-13.6781055
0.2221274,0.2221274,0.4900001,-5.2981740,-13.1092900
0.2321274,0.2321274,0.5000001,-5.2477109,-13.4030282
0.2421274,0.2421274,0.5100001,-5.1684645,-13.4537610
0.2521274,0.2521274,0.5200001,-5.0896254,-13.1938788
0.2621274,0.2621274,0.5300001,-5.0518206,-12.7558754
0.2721274,0.2721274,0.5400001,-5.0763419,-12.2218651
0.2821274,0.2821274,0.5500001,-5.1333219,-11.6889434
0.2921274,0.2921274,0.5600001,-5.1644911,-11.1202309
0.3021274,0.3021274,0.5700001,-5.1319351,-10.5245875
0.3121274,0.3121274,0.5800001,-5.0304630,-9.9415239
0.3221274,0.3221274,0.5900001,-4.8746481,-9.3754402
0.3321274,0.3321274,0.6000001,-4.6864905,-8.8312161
0.3421274,0.3421274,0.6100001,-4.4875931,-8.3120233
0.3521274,0.3521274,0.6200001,-4.2945634,-7.8528356
0.3621274,0.3621274,0.6300001,-4.1175424,-7.4279668
0.3721274,0.3721274,0.6400001,-3.9604531,-7.0610030
0.3821274,0.3821274,0.6500001,-3.8226037,-6.7363245
0.3921274,0.3921274,0.6600001,-3.7013912,-6.4116179
0.4021274,0.4021274,0.6700001,-3.5926580,-6.1799629
0.4121274,0.4121274,0.6800001,-3.4886025,-6.2393719
0.4221274,0.4221274,0.6900001,-3.3807248,-6.2340559
0.4321274,0.4321274,0.7000001,-3.2660777,-6.1336271
0.4421274,0.4421274,0.7100001,-3.1478400,-5.9632337
0.4521274,0.4521274,0.7200001,-3.0313163,-5.7435045
0.4621274,0.4621274,0.7300001,-2.9204775,-5.4910499
0.4721274,0.4721274,0.7400001,-2.8169613,-5.2189932
0.4821274,0.4821274,0.7500001,-2.7206571,-4.9374985
0.4921274,0.4921274,0.7600001,-2.6297260,-4.6662718
0.5021274,0.5021274,0.7700001,-2.5397541,-4.3979413
0.5121274,0.5121274,0.7800001,-2.4452242,-4.1328521
0.5221274,0.5221274,0.7900001,-2.3431764,-3.8753256
0.5321274,0.5321274,0.8000001,-2.2344487,-3.6282479
0.5421274,0.5421274,0.8100001,-2.1220940,-3.3982156
0.5521274,0.5521274,0.8200001,-2.0094946,-3.1877974
0.5621274,0.5621274,0.8300001,-1.8993718,-2.9866003
0.5721274,0.5721274,0.8400001,-1.7935526,-2.7975535
0.5821274,0.5821274,0.8500001,-1.6930879,-2.6184224
0.5921274,0.5921274,0.8600001,-1.5984617,-2.4514238
0.6021274,0.6021274,0.8700001,-1.5097826,-2.2947733
0.6121274,0.6121274,0.8800001,-1.4269278,-2.1481224
0.6221274,0.6221274,0.8900001,-1.3496420,-2.0120102
0.6321274,0.6321274,0.9000001,-1.2776016,-1.8853008
0.6421274,0.6421274,0.9100001,-1.2104550,-1.7677007
0.6521274,0.6521274,0.9200001,-1.1478471,-1.6587594
0.6621274,0.6621274,0.9300001,-1.0894334,-1.5581740
0.6721274,0.6721274,0.9400001,-1.0348874,-1.4652301
0.6821274,0.6821274,0.9500001,-0.9839048,-1.3792508
0.6921274,0.6921274,0.9600001,-0.9362041,-1.2996776
0.7021274,0.7021274,0.9700001,-0.8915269,-1.2261090
0.7121274,0.7121274,0.9800001,-0.8496370,-1.1579946
0.7221274,0.7221274,0.9900001,-0.8103184,-1.0947719
0.7321274,0.7321274,1.0000001,-0.7733745,-1.0360305
0.7421274,0.7421274,1.0100001,-0.7386260,-0.9813957
0.7521274,0.7521274,1.0200001,-0.7059094,-0.9305257
0.7621274,0.7621274,1.0300001,-0.6750757,-0.8831092
0.7721274,0.7721274,1.0400001,-0.6459889,-0.8388630
0.7821274,0.7821274,1.0500001,-0.6185246,-0.7975296
0.7921274,0.7921274,1.0600001,-0.5925693,-0.7588894
0.8021274,0.8021274,1.0700001,-0.5680189,-0.7227179
0.8121274,0.8121274,1.0800001,-0.5447781,-0.6888120
0.8221274,0.8221274,1.0900001,-0.5227592,-0.6569967
0.8321274,0.8321274,1.1000001,-0.5018818,-0.6271129
0.8421274,0.8421274,1.1100001,-0.4820718,-0.5990153
0.8521274,0.8521274,1.1200001,-0.4632611,-0.5725713
0.8621274,0.8621274,1.1300001,-0.4453868,-0.5476597
0.8721274,0.8721274,1.1400001,-0.4283906,-0.5241700
0.8821274,0.8821274,1.1500001,-0.4122189,-0.5020118
0.8921274,0.8921274,1.1600001,-0.3968219,-0.4811037
0.9021274,0.9021274,1.1700001,-0.3821534,-0.4613361
0.9121274,0.9121274,1.1800001,-0.3681708,-0.4426370
0.9221274,0.9221274,1.1900001,-0.3548342,-0.4249305
0.9321274,0.9321274,1.2000001,-0.3421067,-0.4081479
0.9421274,0.9421274,1.2100001,-0.3299539,-0.3922285
0.9521274,0.9521274,1.2200001,-0.3183437,-0.3771162
0.9621274,0.9621274,1.2300001,-0.3072463,-0.3627597
0.9721274,0.9721274,1.2400001,-0.2966338,-0.3491114
0.9821274,0.9821274,1.2500001,-0.2864800,-0.3361273
0.9921274,0.9921274,1.2600001,-0.2767606,-0.3237667
1.0021274,1.0021274,1.2700001,-0.2674528,-0.3119919
1.0121274,1.0121274,1.2800001,-0.2585352,-0.3007682
1.0221274,1.0221274,1.2900001,-0.2499878,-0.2900631
1.0321274,1.0321274,1.3000001,-0.2417917,-0.2798466
1.0421274,1.0421274,1.3100001,-0.2339293,-0.2700906
1.0521274,1.0521274,1.3200001,-0.2263840,-0.2607745
1.0621274,1.0621274,1.3300001,-0.2191402,-0.2518857
1.0721274,1.0721274,1.3400001,-0.2121833,-0.2433824
1.0821274,1.0821274,1.3500001,-0.2054993,-0.2352435
1.0921274,1.0921274,1.3600001,-0.1990753,-0.2274496
1.1021274,1.1021274,1.3700001,-0.1928990,-0.2199826
1.1121274,1.1121274,1.3800001,-0.1869588,-0.2128252
1.1221274,1.1221274,1.3900001,-0.1812437,-0.2059615
1.1321274,1.1321274,1.4000001,-0.1757435,-0.1993767
1.1421274,1.1421274,1.4100001,-0.1704482,-0.1930565
1.1521274,1.1521274,1.4200001,-0.1653488,-0.1869878
1.1621274,1.1621274,1.4300001,-0.1604364,-0.1811583
1.1721274,1.1721274,1.4400001,-0.1557028,-0.1755651
1.1821274,1.1821274,1.4500001,-0.1511401,-0.1701911
1.1921274,1.1921274,1.4600001,-0.1467409,-0.1650221
