# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-1.4270007,-1.4270007,-1.1591280,8807.8195126,6927.9579901,35038.2559606,482.0846056,25584.5158705,9486.0374484,8129.6015768,10382.9994086,6566.7854151,8807.8195126,6927.9579901,35038.2559606,466.4510341,25584.5158705,9486.0374484,8129.6015768,10382.9994086,6566.7854151
-1.4220007,-1.4220007,-1.1541280,8339.3468605,6611.4064452,33189.7957647,453.0282580,24271.6704018,9010.1373905,7668.5563305,9830.7456683,6217.5094819,8339.3468605,6611.4064452,33189.7957647,437.3871586,24271.6704018,9010.1373905,7668.5563305,9830.7456683,6217.5094819
-1.4170007,-1.4170007,-1.1491280,7722.4300622,6218.9615470,30675.4515457,416.8689190,22503.5828196,8393.7223432,7051.1377812,9103.5002084,5757.5590677,7722.4300622,6218.9615470,30675.4515457,401.2278196,22503.5828196,8393.7223432,7051.1377812,9103.5002084,5757.5590677
-1.4120007,-1.4120007,-1.1441280,7224.0331346,5902.0770148,28644.7892330,387.7088660,21075.7022926,7895.8233959,6552.2428733,8515.9705710,5385.9726983,7224.0331346,5902.0770148,28644.7892330,372.0677666,21075.7022926,7895.8233959,6552.2428733,8515.9705710,5385.9726983
-1.4070007,-1.4070007,-1.1391280,6835.5339964,5655.2401020,27062.6661048,365.0297924,19963.3027438,7507.8134869,6163.2545059,8057.9927121,5096.3220679,6835.5339964,5655.2401020,27062.6661048,349.3886931,19963.3027438,7507.8134869,6163.2545059,8057.9927121,5096.3220679
-1.4020007,-1.4020007,-1.1341280,6546.4370115,5471.7448275,25886.2763316,348.2043296,19136.2685360,7219.1919127,5873.6821104,7717.1939686,4880.7820172,6546.4370115,5471.7448275,25886.2763316,332.5632302,19136.2685360,7219.1919127,5873.6821104,7717.1939686,4880.7820172
-1.3970007,-1.3970007,-1.1291280,6344.8744489,5309.8059287,25067.1924862,336.5259262,18560.5307220,7018.0858523,5671.6630456,7479.5841986,4730.5044037,6344.8744489,5309.8059287,25067.1924862,320.8848364,18560.5307220,7018.0858523,5671.6630456,7479.5841986,4730.5044037
-1.3920007,-1.3920007,-1.1241280,5900.2053675,5015.7977531,23244.2220535,311.2966584,17290.5891510,6582.6262940,5217.7844410,6955.3910310,4398.9755350,5900.2053675,5015.7977531,23244.2220535,295.6574364,17290.5891510,6582.6262940,5217.7844410,6955.3910310,4398.9755350
-1.3870007,-1.3870007,-1.1191280,5104.3586674,4342.8842475,19975.0000496,265.8371527,14991.7592814,5786.6471743,4422.0701605,6017.2160600,3805.6215846,5104.3586674,4342.8842475,19975.0000496,250.1960533,14991.7592814,5786.6471743,4422.0701605,6017.2160600,3805.6215846
-1.3820007,-1.3820007,-1.1141280,4466.7033549,3806.3345808,17355.0515745,229.5139620,13149.4990031,5148.8894796,3784.5172302,5265.5232349,3330.2092989,4466.7033549,3806.3345808,17355.0515745,213.8728626,13149.4990031,5148.8894796,3784.5172302,5265.5232349,3330.2092989
-1.3770007,-1.3770007,-1.1091280,3961.4579033,3383.0598466,15278.6517247,200.8169863,11689.4654966,4643.5700749,3279.3457317,4669.9202916,2953.5169226,3961.4579033,3383.0598466,15278.6517247,185.1758869,11689.4654966,4643.5700749,3279.3457317,4669.9202916,2953.5169226
-1.3720007,-1.3720007,-1.1041280,3566.8797620,3053.7839852,13656.6514779,178.4715430,10548.9705917,4248.9447873,2884.8147367,4204.7762680,2659.3340116,3566.8797620,3053.7839852,13656.6514779,162.8304437,10548.9705917,4248.9447873,2884.8147367,4204.7762680,2659.3340116
-1.3670007,-1.3670007,-1.0991280,3265.0323581,2802.7467397,12415.5160338,161.4264043,9676.3050196,3947.0754983,2582.9892180,3848.9468358,2434.2877188,3265.0323581,2802.7467397,12415.5160338,145.7853490,9676.3050196,3947.0754983,2582.9892180,3848.9468358,2434.2877188
-1.3620007,-1.3620007,-1.0941280,3041.5311176,2617.4060455,11496.2786296,148.8307921,9030.0031428,3723.5762425,2359.4859926,3585.4749010,2267.6534361,3041.5311176,2617.4060455,11496.2786296,133.1978773,9030.0031428,3723.5762425,2359.4859926,3585.4749010,2267.6534361
-1.3570007,-1.3570007,-1.0891280,2885.3013374,2488.1673155,10853.5442647,139.7739593,8578.1426950,3567.3711458,2203.2315290,3401.3051740,2151.1742734,2885.3013374,2488.1673155,10853.5442647,124.4194177,8578.1426950,3567.3711458,2203.2315290,3401.3051740,2151.1742734
-1.3520007,-1.3520007,-1.0841280,2783.6428637,2408.1567661,10447.6966532,132.7572606,8284.1821937,3459.5894440,2106.2531424,3281.4662206,2075.3814644,2783.6428637,2408.1567661,10447.6966532,118.7141735,8284.1821937,3459.5894440,2106.2531424,3281.4662206,2075.3814644
-1.3470007,-1.3470007,-1.0791280,2699.4784841,2373.0487857,10101.5019379,128.8515267,8040.7105780,3375.3706020,2023.5863663,3182.2499841,2012.6316068,2699.4784841,2373.0487857,10101.5019379,113.9531109,8040.7105780,3375.3706020,2023.5863663,3182.2499841,2012.6316068
-1.3420007,-1.3420007,-1.0741280,2719.9037143,2380.9527168,10185.4733484,129.8328926,8099.7746673,3395.8144803,2043.9929484,3206.3280380,2027.8599052,2719.9037143,2380.9527168,10185.4733484,115.1124944,8099.7746673,3395.8144803,2043.9929484,3206.3280380,2027.8599052
-1.3370007,-1.3370007,-1.0691280,2817.1238624,2432.3616396,10572.3033573,135.2107661,8380.8518064,3498.5641024,2134.7415420,3320.9349210,2100.3436623,2817.1238624,2432.3616396,10572.3033573,120.6054975,8380.8518064,3498.5641024,2134.7415420,3320.9349210,2100.3436623
-1.3320007,-1.3320007,-1.0641280,2935.1669191,2530.1641226,11057.6229686,142.7992957,8722.2567602,3617.6804070,2252.6534311,3460.0886566,2188.3522122,2935.1669191,2530.1641226,11057.6229686,127.2368950,8722.2567602,3617.6804070,2252.6534311,3460.0886566,2188.3522122
-1.3270007,-1.3270007,-1.0591280,3115.4579725,2679.7187906,11798.8574398,153.0228718,9243.6252756,3798.1248615,2432.7910836,3672.6227462,2322.7705729,3115.4579725,2679.7187906,11798.8574398,137.3829124,9243.6252756,3798.1248615,2432.7910836,3672.6227462,2322.7705729
-1.3220007,-1.3220007,-1.0541280,3367.2251387,2888.9903134,12833.8317942,167.2249379,9971.5564922,4050.0687131,2684.3815643,3969.4156509,2510.4788874,3367.2251387,2888.9903134,12833.8317942,151.5838415,9971.5564922,4050.0687131,2684.3815643,3969.4156509,2510.4788874
