# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.1062356,0.1062356,0.1082025,1795.3269645,1138.7565762,inf,101.7304606,inf,inf,inf,inf
0.1112356,0.1112356,0.1132025,1446.7706390,916.2798171,inf,81.7618046,inf,inf,inf,inf
0.1162356,0.1162356,0.1182025,1166.3390723,737.4913454,inf,65.7140143,inf,inf,inf,inf
0.1212356,0.1212356,0.1232025,940.7130003,593.8296182,inf,52.7526704,inf,inf,inf,inf
0.1262356,0.1262356,0.1282025,759.1519444,478.3928492,inf,42.3017394,inf,inf,inf,inf
0.1312356,0.1312356,0.1332025,613.0093073,385.6262506,inf,33.9138501,1798.0813661,inf,inf,inf
0.1362356,0.1362356,0.1382025,495.3325719,311.0589342,inf,27.1816487,1458.7614736,inf,inf,inf
0.1412356,0.1412356,0.1432025,400.5312548,251.0699778,1681.6617224,21.7363054,1184.5456222,inf,inf,inf
0.1462356,0.1462356,0.1482025,324.0856736,202.7041643,1366.2529334,17.2744046,962.7557115,inf,inf,inf
0.1512356,0.1512356,0.1532025,262.3104590,163.6011947,1110.8644917,13.5632221,783.2046484,inf,inf,inf
0.1562356,0.1562356,0.1582025,212.2571565,131.9543699,903.8679216,10.4322156,637.6721535,inf,inf,inf
0.1612356,0.1612356,0.1632025,171.6655685,106.3683687,735.8283628,7.7697840,519.4293048,inf,inf,inf
0.1662356,0.1662356,0.1682025,138.7842088,85.7085022,598.9617777,5.5112011,423.0555143,inf,inf,inf
0.1712356,0.1712356,0.1732025,112.1814227,69.0242810,487.2092617,3.6146261,344.4678577,inf,inf,inf
0.1762356,0.1762356,0.1782025,90.6601230,55.5155977,396.1179720,2.0426983,280.5004551,inf,inf,inf
0.1812356,0.1812356,0.1832025,73.2199441,44.5200814,322.0273571,0.7554968,228.4941106,inf,inf,inf
0.1862356,0.1862356,0.1882025,59.0299191,35.5097302,261.7921531,-0.2892833,186.2081560,inf,inf,inf
0.1912356,0.1912356,0.1932025,47.4151582,28.0772417,212.7913879,-1.1333623,151.7937206,inf,inf,inf
0.1962356,0.1962356,0.1982025,37.8477454,21.9136338,172.8862322,-1.8149111,123.7398463,inf,inf,inf
0.2012356,0.2012356,0.2032025,29.9263943,16.7884850,140.3411297,-2.3659694,100.8086132,inf,inf,inf
0.2062356,0.2062356,0.2082025,23.3490239,12.5295281,113.7413416,-2.8102341,81.9826607,1848.4712429,inf,inf
0.2112356,0.2112356,0.2132025,17.8862706,9.0012010,91.9248016,-3.1627405,66.4383249,1541.1898578,inf,inf
0.2162356,0.2162356,0.2182025,13.3575680,6.0900287,73.9419757,-3.4324087,53.5341649,1286.7364421,inf,inf
0.2212356,0.2212356,0.2232025,9.6135604,3.6981843,59.0413887,-3.6258776,42.7893881,1075.6595292,inf,inf
0.2262356,0.2262356,0.2282025,6.5272152,1.7407340,46.6546143,-3.7502773,33.8423240,900.2520937,inf,inf
0.2312356,0.2312356,0.2332025,3.9902041,0.1438816,36.3568048,-3.8141108,26.4061731,754.2357088,inf,inf
0.2362356,0.2362356,0.2382025,1.9104100,-1.1562112,27.8146521,-3.8268383,20.2402561,632.4844482,inf,inf
0.2412356,0.2412356,0.2432025,0.2094259,-2.2142553,20.7492646,-3.7980429,15.1373347,530.8035009,inf,inf
0.2462356,0.2462356,0.2482025,-1.1795400,-3.0764278,14.9199170,-3.7367091,10.9192915,445.7502390,inf,inf
0.2512356,0.2512356,0.2532025,-2.3132346,-3.7804212,10.1188772,-3.6507872,7.4352807,374.4866147,inf,inf
0.2562356,0.2562356,0.2582025,-3.2394741,-4.3550656,6.1694053,-3.5470182,4.5594793,314.6537143,inf,inf
0.2612356,0.2612356,0.2632025,-3.9975957,-4.8205832,2.9236923,-3.4309380,2.1877264,264.2694997,inf,inf
0.2662356,0.2662356,0.2682025,-4.6183106,-5.1903435,0.2596787,-3.3069809,0.2336815,221.6725995,inf,inf
0.2712356,0.2712356,0.2732025,-5.1238427,-5.4736586,-1.9230718,-3.1786273,-1.3746411,185.5263598,inf,inf
0.2762356,0.2762356,0.2782025,-5.5292839,-5.6783632,-3.7075839,-3.0485597,-2.6976088,154.8129564,inf,inf
0.2812356,0.2812356,0.2832025,-5.8450439,-5.8123421,-5.1630458,-2.9188094,-3.7859745,128.7441154,1720.0392452,inf
0.2862356,0.2862356,0.2882025,-6.0793822,-5.8839879,-6.3475473,-2.7908856,-4.6820852,106.6564865,1476.6934391,inf
0.2912356,0.2912356,0.2932025,-6.2401382,-5.9020085,-7.3099641,-2.6658848,-5.4202937,87.9644724,1268.8733302,inf
0.2962356,0.2962356,0.2982025,-6.3354561,-5.8750111,-8.0908759,-2.5445800,-6.0270714,72.1525141,1091.0962899,inf
0.3012356,0.3012356,0.3032025,-6.3737964,-5.8111148,-8.7226653,-2.4274937,-6.5216490,58.7748027,938.6981651,inf
0.3062356,0.3062356,0.3082025,-6.3636256,-5.7176874,-9.2295747,-2.3149560,-6.9175841,47.4517487,807.7199301,inf
0.3112356,0.3112356,0.3132025,-6.3130581,-5.6012138,-9.6286293,-2.2071501,-7.2248666,37.8631971,694.9186874,inf
0.3162356,0.3162356,0.3182025,-6.2295795,-5.4672666,-9.9315996,-2.1041485,-7.4518215,29.7402292,597.7010140,inf
0.3212356,0.3212356,0.3232025,-6.1198851,-5.3205435,-10.1473375,-2.0059412,-7.6063337,22.8570124,513.9140636,inf
0.3262356,0.3262356,0.3282025,-5.9898169,-5.1649438,-10.2836581,-1.9124579,-7.6963556,17.0235491,441.6938722,inf
0.3312356,0.3312356,0.3332025,-5.8443737,-5.0036609,-10.3483862,-1.8235844,-7.7299299,12.0796522,379.4147888,inf
0.3362356,0.3362356,0.3382025,-5.6877647,-4.8392790,-10.3496631,-1.7391762,-7.7149863,7.8900871,325.6697769,inf
0.3412356,0.3412356,0.3432025,-5.5234878,-4.6738653,-10.2958146,-1.6590683,-7.6590966,4.3406345,279.2497333,inf
0.3462356,0.3462356,0.3482025,-5.3544151,-4.5090541,-10.1950576,-1.5830829,-7.5692764,1.3348099,239.1198249,inf
0.3512356,0.3512356,0.3532025,-5.1828801,-4.3461205,-10.0552126,-1.5110353,-7.4518629,-1.2089450,204.3958364,inf
0.3562356,0.3562356,0.3582025,-5.0107587,-4.1860444,-9.8834919,-1.4427382,-7.3124616,-3.3596959,174.3224312,1638.7792874
