# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
-0.0741212,-0.0741212,0.0973590,1703.2527987,1070.0667796,inf
-0.0691212,-0.0691212,0.1023590,1448.4660102,907.6331255,inf
-0.0641212,-0.0641212,0.1073590,1224.3239792,768.6142796,inf
-0.0591212,-0.0591212,0.1123590,958.3501294,602.6787554,inf
-0.0541212,-0.0541212,0.1173590,753.0764489,472.0299336,inf
-0.0491212,-0.0491212,0.1223590,596.2434997,372.2482278,inf
-0.0441212,-0.0441212,0.1273590,475.6354203,295.6799055,inf
-0.0391212,-0.0391212,0.1323590,382.2624356,236.5535795,1644.2876135
-0.0341212,-0.0341212,0.1373590,309.4784170,190.6012369,1343.6633139
-0.0291212,-0.0291212,0.1423590,252.3461731,154.6535020,1106.2830147
-0.0241212,-0.0241212,0.1473590,207.1806919,126.3458990,917.3555541
-0.0191212,-0.0191212,0.1523590,171.2187654,103.9063201,765.7807460
-0.0141212,-0.0141212,0.1573590,142.3788339,86.0004468,643.1891488
-0.0091212,-0.0091212,0.1623590,119.0855568,71.6174256,543.2403928
-0.0041212,-0.0041212,0.1673590,100.1408311,59.9787689,461.1080473
0.0008788,0.0008788,0.1723590,84.6265877,50.4595466,393.0997537
0.0058788,0.0058788,0.1773590,71.8259219,42.5431062,336.3759324
0.0108788,0.0108788,0.1823590,61.1606588,35.8415528,288.7406660
0.0158788,0.0158788,0.1873590,52.1655823,30.1258147,248.4856450
0.0208788,0.0208788,0.1923590,44.5008929,25.2763259,214.2727950
0.0258788,0.0258788,0.1973590,37.9489123,21.2020793,185.0427926
0.0308788,0.0308788,0.2023590,32.3658970,17.8056171,159.9407242
0.0358788,0.0358788,0.2073590,27.6324811,14.9854679,138.2680519
0.0408788,0.0408788,0.2123590,23.6343772,12.6457874,119.4704216
0.0458788,0.0458788,0.2173590,20.2628639,10.7019932,103.1287796
0.0508788,0.0508788,0.2223590,17.4192827,9.0822873,88.9218304
0.0558788,0.0558788,0.2273590,15.0175699,7.7270455,76.5821010
0.0608788,0.0608788,0.2323590,12.9844402,6.5874644,65.8729377
0.0658788,0.0658788,0.2373590,11.2582379,5.6240324,56.5830830
0.0708788,0.0708788,0.2423590,9.7873908,4.8048386,48.5265047
0.0758788,0.0758788,0.2473590,8.5289545,4.1034980,41.5416300
0.0808788,0.0808788,0.2523590,7.4472819,3.4967363,35.4891879
0.0858788,0.0858788,0.2573590,6.5125525,2.9624238,30.2493179
0.0908788,0.0908788,0.2623590,5.6989952,2.4791498,25.7185793
0.0958788,0.0958788,0.2673590,4.9832216,2.0276464,21.8071882
0.1008788,0.1008788,0.2723590,4.3435254,1.5931875,18.4365913
0.1058788,0.1058788,0.2773590,3.7605269,1.1674550,15.5373744
0.1108788,0.1108788,0.2823590,3.2185656,0.7486188,13.0475076
0.1158788,0.1158788,0.2873590,2.7067985,0.3394434,10.9109806
0.1208788,0.1208788,0.2923590,2.2193099,-0.0555502,9.0769133
0.1258788,0.1258788,0.2973590,1.7541510,-0.4323885,7.4991430
0.1308788,0.1308788,0.3023590,1.3117066,-0.7886072,6.1361348
0.1358788,0.1358788,0.3073590,0.8930560,-1.1231349,4.9509973
0.1408788,0.1408788,0.3123590,0.4989424,-1.4358455,3.9115284
0.1458788,0.1458788,0.3173590,0.1295054,-1.7272389,2.9903275
0.1508788,0.1508788,0.3223590,-0.2155802,-1.9982872,2.1648874
0.1558788,0.1558788,0.3273590,-0.5369838,-2.2503940,1.4174066
0.1608788,0.1608788,0.3323590,-0.8357293,-2.4855224,0.7342162
0.1658788,0.1658788,0.3373590,-1.1132178,-2.7064122,0.1050490
0.1708788,0.1708788,0.3423590,-1.3712395,-2.9165223,-0.4775657
0.1758788,0.1758788,0.3473590,-1.6120604,-3.1194450,-1.0187642
0.1808788,0.1808788,0.3523590,-1.8385118,-3.3181281,-1.5217994
0.1858788,0.1858788,0.3573590,-2.0538306,-3.5145232,-1.9885211
0.1908788,0.1908788,0.3623590,-2.2611995,-3.7096905,-2.4198379
