# r[nm],ssd(r)[nm]
-0.2191212,-0.2191212
-0.2141212,-0.2141212
-0.2091212,-0.2091212
-0.2041212,-0.2041212
-0.1991212,-0.1991212
-0.1941212,-0.1941212
-0.1891212,-0.1891212
-0.1841212,-0.1841212
-0.1791212,-0.1791212
-0.1741212,-0.1741212
-0.1691212,-0.1691212
-0.1641212,-0.1641212
-0.1591212,-0.1591212
-0.1541212,-0.1541212
-0.1491212,-0.1491212
-0.1441212,-0.1441212
-0.1391212,-0.1391212
-0.1341212,-0.1341212
-0.1291212,-0.1291212
-0.1241212,-0.1241212
-0.1191212,-0.1191212
-0.1141212,-0.1141212
-0.1091212,-0.1091212
-0.1041212,-0.1041212
-0.0991212,-0.0991212
-0.0941212,-0.0941212
-0.0891212,-0.0891212
-0.0841212,-0.0841212
-0.0791212,-0.0791212
-0.0741212,-0.0741212
-0.0691212,-0.0691212
-0.0641212,-0.0641212
-0.0591212,-0.0591212
-0.0541212,-0.0541212
-0.0491212,-0.0491212
-0.0441212,-0.0441212
-0.0391212,-0.0391212
-0.0341212,-0.0341212
-0.0291212,-0.0291212
-0.0241212,-0.0241212
-0.0191212,-0.0191212
-0.0141212,-0.0141212
-0.0091212,-0.0091212
-0.0041212,-0.0041212
0.0008788,0.0001212
0.0058788,0.0018788
0.0108788,0.0001212
0.0158788,0.0008788
0.0208788,0.0001212
0.0258788,0.0011212
0.0308788,0.0011212
0.0358788,0.0011212
0.0408788,0.0011212
0.0458788,0.0018788
0.0508788,0.0068788
0.0558788,0.0118788
0.0608788,0.0168788
0.0658788,0.0218788
0.0708788,0.0268788
0.0758788,0.0318788
0.0808788,0.0368788
0.0858788,0.0418788
0.0908788,0.0468788
0.0958788,0.0518788
0.1008788,0.0568788
0.1058788,0.0618788
0.1108788,0.0668788
0.1158788,0.0718788
0.1208788,0.0768788
0.1258788,0.0818788
0.1308788,0.0868788
0.1358788,0.0918788
0.1408788,0.0968788
0.1458788,0.1018788
0.1508788,0.1068788
0.1558788,0.1118788
0.1608788,0.1168788
0.1658788,0.1218788
0.1708788,0.1268788
0.1758788,0.1318788
0.1808788,0.1368788
0.1858788,0.1418788
0.1908788,0.1468788
0.1958788,0.1518788
0.2008788,0.1568788
0.2058788,0.1618788
0.2108788,0.1668788
0.2158788,0.1718788
0.2208788,0.1768788
0.2258788,0.1818788
0.2308788,0.1868788
0.2358788,0.1918788
0.2408788,0.1968788
0.2458788,0.2018788
0.2508788,0.2068788
0.2558788,0.2118788
0.2608788,0.2168788
0.2658788,0.2218788
0.2708788,0.2268788
0.2758788,0.2318788
0.2808788,0.2368788
0.2858788,0.2418788
0.2908788,0.2468788
0.2958788,0.2518788
0.3008788,0.2568788
0.3058788,0.2618788
0.3108788,0.2668788
0.3158788,0.2718788
0.3208788,0.2768788
0.3258788,0.2818788
0.3308788,0.2868788
0.3358788,0.2918788
0.3408788,0.2968788
0.3458788,0.3018788
0.3508788,0.3068788
0.3558788,0.3118788
0.3608788,0.3168788
0.3658788,0.3218788
0.3708788,0.3268788
0.3758788,0.3318788
0.3808788,0.3368788
0.3858788,0.3418788
0.3908788,0.3468788
0.3958788,0.3518788
0.4008788,0.3568788
0.4058788,0.3618788
0.4108788,0.3668788
0.4158788,0.3718788
0.4208788,0.3768788
0.4258788,0.3818788
0.4308788,0.3868788
0.4358788,0.3918788
0.4408788,0.3968788
0.4458788,0.4018788
0.4508788,0.4068788
0.4558788,0.4118788
0.4608788,0.4168788
0.4658788,0.4218788
0.4708788,0.4268788
0.4758788,0.4318788
0.4808788,0.4368788
0.4858788,0.4418788
0.4908788,0.4468788
0.4958788,0.4518788
0.5008788,0.4568788
0.5058788,0.4618788
0.5108788,0.4668788
0.5158788,0.4718788
0.5208788,0.4768788
0.5258788,0.4818788
0.5308788,0.4868788
0.5358788,0.4918788
0.5408788,0.4968788
0.5458788,0.5018788
0.5508788,0.5068788
0.5558788,0.5118788
0.5608788,0.5168788
0.5658788,0.5218788
0.5708788,0.5268788
0.5758788,0.5318788
0.5808788,0.5368788
0.5858788,0.5418788
0.5908788,0.5468788
0.5958788,0.5518788
0.6008788,0.5568788
0.6058788,0.5618788
0.6108788,0.5668788
0.6158788,0.5718788
0.6208788,0.5768788
0.6258788,0.5818788
0.6308788,0.5868788
0.6358788,0.5918788
0.6408788,0.5968788
0.6458788,0.6018788
0.6508788,0.6068788
0.6558788,0.6118788
0.6608788,0.6168788
0.6658788,0.6218788
0.6708788,0.6268788
0.6758788,0.6318788
0.6808788,0.6368788
0.6858788,0.6418788
0.6908788,0.6468788
0.6958788,0.6518788
0.7008788,0.6568788
0.7058788,0.6618788
0.7108788,0.6668788
0.7158788,0.6718788
0.7208788,0.6768788
0.7258788,0.6818788
0.7308788,0.6868788
0.7358788,0.6918788
0.7408788,0.6968788
0.7458788,0.7018788
0.7508788,0.7068788
0.7558788,0.7118788
0.7608788,0.7168788
0.7658788,0.7218788
0.7708788,0.7268788
0.7758788,0.7318788
0.7808788,0.7368788
0.7858788,0.7418788
0.7908788,0.7468788
0.7958788,0.7518788
0.8008788,0.7568788
0.8058788,0.7618788
0.8108788,0.7668788
0.8158788,0.7718788
0.8208788,0.7768788
0.8258788,0.7818788
0.8308788,0.7868788
0.8358788,0.7918788
0.8408788,0.7968788
0.8458788,0.8018788
0.8508788,0.8068788
0.8558788,0.8118788
0.8608788,0.8168788
0.8658788,0.8218788
0.8708788,0.8268788
0.8758788,0.8318788
0.8808788,0.8368788
0.8858788,0.8418788
0.8908788,0.8468788
0.8958788,0.8518788
0.9008788,0.8568788
0.9058788,0.8618788
0.9108788,0.8668788
0.9158788,0.8718788
0.9208788,0.8768788
0.9258788,0.8818788
0.9308788,0.8868788
0.9358788,0.8918788
0.9408788,0.8968788
0.9458788,0.9018788
0.9508788,0.9068788
0.9558788,0.9118788
0.9608788,0.9168788
0.9658788,0.9218788
0.9708788,0.9268788
0.9758788,0.9318788
0.9808788,0.9368788
0.9858788,0.9418788
0.9908788,0.9468788
0.9958788,0.9518788
1.0008788,0.9568788
1.0058788,0.9618788
1.0108788,0.9668788
1.0158788,0.9718788
1.0208788,0.9768788
1.0258788,0.9818788
1.0308788,0.9868788
1.0358788,0.9918788
1.0408788,0.9968788
1.0458788,1.0018788
1.0508788,1.0068788
1.0558788,1.0118788
1.0608788,1.0168788
1.0658788,1.0218788
1.0708788,1.0268788
1.0758788,1.0318788
1.0808788,1.0368788
1.0858788,1.0418788
1.0908788,1.0468788
1.0958788,1.0518788
1.1008788,1.0568788
1.1058788,1.0618788
1.1108788,1.0668788
1.1158788,1.0718788
1.1208788,1.0768788
1.1258788,1.0818788
1.1308788,1.0868788
1.1358788,1.0918788
1.1408788,1.0968788
1.1458788,1.1018788
1.1508788,1.1068788
1.1558788,1.1118788
1.1608788,1.1168788
1.1658788,1.1218788
1.1708788,1.1268788
1.1758788,1.1318788
1.1808788,1.1368788
1.1858788,1.1418788
1.1908788,1.1468788
1.1958788,1.1518788
1.2008788,1.1568788
1.2058788,1.1618788
1.2108788,1.1668788
1.2158788,1.1718788
1.2208788,1.1768788
1.2258788,1.1818788
1.2308788,1.1868788
1.2358788,1.1918788
1.2408788,1.1968788
1.2458788,1.2018788
1.2508788,1.2068788
1.2558788,1.2118788
1.2608788,1.2168788
1.2658788,1.2218788
1.2708788,1.2268788
1.2758788,1.2318788
1.2808788,1.2368788
1.2858788,1.2418788
1.2908788,1.2468788
1.2958788,1.2518788
1.3008788,1.2568788
1.3058788,1.2618788
1.3108788,1.2668788
1.3158788,1.2718788
1.3208788,1.2768788
1.3258788,1.2818788
1.3308788,1.2868788
1.3358788,1.2918788
1.3408788,1.2968788
1.3458788,1.3018788
1.3508788,1.3068788
1.3558788,1.3118788
1.3608788,1.3168788
1.3658788,1.3218788
1.3708788,1.3268788
1.3758788,1.3318788
1.3808788,1.3368788
1.3858788,1.3418788
1.3908788,1.3468788
1.3958788,1.3518788
1.4008788,1.3568788
1.4058788,1.3618788
1.4108788,1.3668788
1.4158788,1.3718788
1.4208788,1.3768788
1.4258788,1.3818788
1.4308788,1.3868788
1.4358788,1.3918788
1.4408788,1.3968788
1.4458788,1.4018788
1.4508788,1.4068788
1.4558788,1.4118788
1.4608788,1.4168788
1.4658788,1.4218788
1.4708788,1.4268788
1.4758788,1.4318788
1.4808788,1.4368788
1.4858788,1.4418788
1.4908788,1.4468788
1.4958788,1.4518788
1.5008788,1.4568788
1.5058788,1.4618788
1.5108788,1.4668788
1.5158788,1.4718788
1.5208788,1.4768788
1.5258788,1.4818788
1.5308788,1.4868788
1.5358788,1.4918788
1.5408788,1.4968788
1.5458788,1.5018788
1.5508788,1.5068788
1.5558788,1.5118788
1.5608788,1.5168788
1.5658788,1.5218788
1.5708788,1.5268788
1.5758788,1.5318788
1.5808788,1.5368788
1.5858788,1.5418788
1.5908788,1.5468788
1.5958788,1.5518788
1.6008788,1.5568788
1.6058788,1.5618788
1.6108788,1.5668788
1.6158788,1.5718788
1.6208788,1.5768788
1.6258788,1.5818788
1.6308788,1.5868788
1.6358788,1.5918788
1.6408788,1.5968788
1.6458788,1.6018788
1.6508788,1.6068788
1.6558788,1.6118788
1.6608788,1.6168788
1.6658788,1.6218788
1.6708788,1.6268788
1.6758788,1.6318788
1.6808788,1.6368788
1.6858788,1.6418788
1.6908788,1.6468788
1.6958788,1.6518788
1.7008788,1.6568788
1.7058788,1.6618788
1.7108788,1.6668788
1.7158788,1.6718788
1.7208788,1.6768788
1.7258788,1.6818788
1.7308788,1.6868788
1.7358788,1.6918788
1.7408788,1.6968788
1.7458788,1.7018788
1.7508788,1.7068788
1.7558788,1.7118788
1.7608788,1.7168788
1.7658788,1.7218788
1.7708788,1.7268788
1.7758788,1.7318788
1.7808788,1.7368788
1.7858788,1.7418788
1.7908788,1.7468788
1.7958788,1.7518788
1.8008788,1.7568788
1.8058788,1.7618788
1.8108788,1.7668788
1.8158788,1.7718788
1.8208788,1.7768788
1.8258788,1.7818788
1.8308788,1.7868788
1.8358788,1.7918788
1.8408788,1.7968788
1.8458788,1.8018788
1.8508788,1.8068788
1.8558788,1.8118788
1.8608788,1.8168788
1.8658788,1.8218788
1.8708788,1.8268788
1.8758788,1.8318788
1.8808788,1.8368788
1.8858788,1.8418788
1.8908788,1.8468788
1.8958788,1.8518788
1.9008788,1.8568788
1.9058788,1.8618788
1.9108788,1.8668788
1.9158788,1.8718788
1.9208788,1.8768788
1.9258788,1.8818788
1.9308788,1.8868788
1.9358788,1.8918788
1.9408788,1.8968788
