# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
-1.6372000,-1.6372000,-1.6541773,40846.0769932
-1.6272000,-1.6272000,-1.6441773,39922.9859205
-1.6172000,-1.6172000,-1.6341773,37373.2838285
-1.6072000,-1.6072000,-1.6241773,33556.6356086
-1.5972000,-1.5972000,-1.6141773,28969.2883610
-1.5872000,-1.5872000,-1.6041773,24135.5201884
-1.5772000,-1.5772000,-1.5941773,19507.8149004
-1.5672000,-1.5672000,-1.5841773,15413.3978111
-1.5572000,-1.5572000,-1.5741773,12045.0964329
-1.5472000,-1.5472000,-1.5641773,9485.3180832
-1.5372000,-1.5372000,-1.5541773,7745.3868912
-1.5272000,-1.5272000,-1.5441773,6805.1659904
-1.5172000,-1.5172000,-1.5341773,6638.8560094
-1.5072000,-1.5072000,-1.5241773,7235.2889844
-1.4972000,-1.4972000,-1.5141773,8620.8664125
-1.4872000,-1.4872000,-1.5041773,10819.4168862
-1.4772000,-1.4772000,-1.4941773,13838.0391437
-1.4672000,-1.4672000,-1.4841773,17630.8208666
-1.4572000,-1.4572000,-1.4741773,22057.8279378
-1.4472000,-1.4472000,-1.4641773,26852.1967620
-1.4372000,-1.4372000,-1.4541773,31612.6230082
-1.4272000,-1.4272000,-1.4441773,35837.3371257
-1.4172000,-1.4172000,-1.4341773,39001.6700989
-1.4072000,-1.4072000,-1.4241773,40678.1519615
-1.3972000,-1.3972000,-1.4141773,40633.8667165
-1.3872000,-1.3872000,-1.4041773,38932.8180486
-1.3772000,-1.3772000,-1.3941773,35946.5928916
-1.3672000,-1.3672000,-1.3841773,32301.8050867
-1.3572000,-1.3572000,-1.3741773,27932.1390162
-1.3472000,-1.3472000,-1.3641773,22736.7110456
-1.3372000,-1.3372000,-1.3541773,18026.6525951
-1.3272000,-1.3272000,-1.3441773,14063.5498948
-1.3172000,-1.3172000,-1.3341773,10971.7609595
-1.3072000,-1.3072000,-1.3241773,8780.5627353
-1.2972000,-1.2972000,-1.3141773,7471.2769958
-1.2872000,-1.2872000,-1.3041773,6994.6651073
-1.2772000,-1.2772000,-1.2941773,7334.2901128
-1.2672000,-1.2672000,-1.2841773,8517.9198502
-1.2572000,-1.2572000,-1.2741773,10574.5393718
-1.2472000,-1.2472000,-1.2641773,13525.5890916
-1.2372000,-1.2372000,-1.2541773,17350.7649968
-1.2272000,-1.2272000,-1.2441773,21941.8307974
-1.2172000,-1.2172000,-1.2341773,27059.2336759
-1.2072000,-1.2072000,-1.2241773,31771.6338321
-1.1972000,-1.1972000,-1.2141773,35441.7959177
-1.1872000,-1.1872000,-1.2041773,38563.6328323
-1.1772000,-1.1772000,-1.1941773,40474.4111485
-1.1672000,-1.1672000,-1.1841773,40762.4537730
-1.1572000,-1.1572000,-1.1741773,39317.2911232
-1.1472000,-1.1472000,-1.1641773,36337.6724701
-1.1372000,-1.1372000,-1.1541773,32233.1167428
-1.1272000,-1.1272000,-1.1441773,27518.9355739
-1.1172000,-1.1172000,-1.1341773,22705.1541226
-1.1072000,-1.1072000,-1.1241773,18210.0196259
-1.0972000,-1.0972000,-1.1141773,14319.4432742
-1.0872000,-1.0872000,-1.1041773,11189.5126693
-1.0772000,-1.0772000,-1.0941773,8876.9032611
-1.0672000,-1.0672000,-1.0841773,7379.6148458
-1.0572000,-1.0572000,-1.0741773,6674.5856276
-1.0472000,-1.0472000,-1.0641773,6735.0145713
-1.0372000,-1.0372000,-1.0541773,7565.1896615
-1.0272000,-1.0272000,-1.0441773,9191.4436027
-1.0172000,-1.0172000,-1.0341773,11635.5963141
-1.0072000,-1.0072000,-1.0241773,14892.9714350
-0.9972000,-0.9972000,-1.0141773,18893.6244720
-0.9872000,-0.9872000,-1.0041773,23462.1961466
-0.9772000,-0.9772000,-0.9941773,28290.7279294
-0.9672000,-0.9672000,-0.9841773,32942.1880829
-0.9572000,-0.9572000,-0.9741773,36898.5937356
-0.9472000,-0.9472000,-0.9641773,39653.7226782
-0.9372000,-0.9372000,-0.9541773,40824.1755902
-0.9272000,-0.9272000,-0.9441773,40093.1502693
-0.9172000,-0.9172000,-0.9341773,37692.6394355
-0.9072000,-0.9072000,-0.9241773,33981.9823121
-0.8972000,-0.8972000,-0.9141773,29447.6196701
-0.8872000,-0.8872000,-0.9041773,24616.3931026
-0.8772000,-0.8772000,-0.8941773,19951.0937948
-0.8672000,-0.8672000,-0.8841773,15792.5738736
-0.8572000,-0.8572000,-0.8741773,12346.4302159
-0.8472000,-0.8472000,-0.8641773,9704.4597796
-0.8372000,-0.8372000,-0.8541773,7883.2236178
-0.8272000,-0.8272000,-0.8441773,6864.1570345
-0.8172000,-0.8172000,-0.8341773,6622.0395898
-0.8072000,-0.8072000,-0.8241773,7140.7958003
-0.7972000,-0.7972000,-0.8141773,8446.3589685
-0.7872000,-0.7872000,-0.8041773,10562.7421013
-0.7772000,-0.7772000,-0.7941773,13500.1759350
-0.7672000,-0.7672000,-0.7841773,17219.8787507
-0.7572000,-0.7572000,-0.7741773,21593.0246063
-0.7472000,-0.7472000,-0.7641773,26366.2835826
-0.7372000,-0.7372000,-0.7541773,31150.9378436
-0.7272000,-0.7272000,-0.7441773,35452.1737079
-0.7172000,-0.7172000,-0.7341773,38742.5186161
-0.7072000,-0.7072000,-0.7241773,40578.8718623
-0.6972000,-0.6972000,-0.7141773,40703.5065558
-0.6872000,-0.6872000,-0.7041773,39144.3441981
-0.6772000,-0.6772000,-0.6941773,36240.4013785
-0.6672000,-0.6672000,-0.6841773,32582.7295290
-0.6572000,-0.6572000,-0.6741773,28455.4541729
-0.6472000,-0.6472000,-0.6641773,23227.6234619
-0.6372000,-0.6372000,-0.6541773,18448.4462370
-0.6272000,-0.6272000,-0.6441773,14393.9563885
-0.6172000,-0.6172000,-0.6341773,11199.4368748
-0.6072000,-0.6072000,-0.6241773,8900.0488373
-0.5972000,-0.5972000,-0.6141773,7478.1740354
-0.5872000,-0.5872000,-0.6041773,6888.0769049
-0.5772000,-0.5772000,-0.5941773,7100.9573677
-0.5672000,-0.5672000,-0.5841773,8142.8962548
-0.5572000,-0.5572000,-0.5741773,10044.0158763
-0.5472000,-0.5472000,-0.5641773,12831.1064248
-0.5372000,-0.5372000,-0.5541773,16497.3341529
-0.5272000,-0.5272000,-0.5441773,20957.1039060
-0.5172000,-0.5172000,-0.5341773,26000.8434293
-0.5072000,-0.5072000,-0.5241773,30926.2084286
-0.4972000,-0.4972000,-0.5141773,34664.5042074
-0.4872000,-0.4872000,-0.5041773,37986.3256129
-0.4772000,-0.4772000,-0.4941773,40196.6717136
-0.4672000,-0.4672000,-0.4841773,40837.3954871
-0.4572000,-0.4572000,-0.4741773,39735.0348731
-0.4472000,-0.4472000,-0.4641773,37037.0747623
-0.4372000,-0.4372000,-0.4541773,33119.4464923
-0.4272000,-0.4272000,-0.4441773,28485.5299353
-0.4172000,-0.4172000,-0.4341773,23654.8845112
-0.4072000,-0.4072000,-0.4241773,19069.0371511
-0.3972000,-0.3972000,-0.4141773,15041.4497322
-0.3872000,-0.3872000,-0.4041773,11752.4151043
-0.3772000,-0.3772000,-0.3941773,9275.3577017
-0.3672000,-0.3672000,-0.3841773,7616.7742341
-0.3572000,-0.3572000,-0.3741773,6755.2624980
-0.3472000,-0.3472000,-0.3641773,6664.6556380
-0.3372000,-0.3372000,-0.3541773,7338.5149360
-0.3272000,-0.3272000,-0.3441773,8803.6910731
-0.3172000,-0.3172000,-0.3341773,11083.4311415
-0.3072000,-0.3072000,-0.3241773,14181.2321188
-0.2972000,-0.2972000,-0.3141773,18043.5429804
-0.2872000,-0.2872000,-0.3041773,22518.9277391
-0.2772000,-0.2772000,-0.2941773,27326.9035014
-0.2672000,-0.2672000,-0.2841773,32053.9496856
-0.2572000,-0.2572000,-0.2741773,36192.1268554
-0.2472000,-0.2472000,-0.2641773,39223.8269848
-0.2372000,-0.2372000,-0.2541773,40732.1535123
-0.2272000,-0.2272000,-0.2441773,40387.9977695
-0.2172000,-0.2172000,-0.2341773,38296.1415514
-0.2072000,-0.2072000,-0.2241773,34812.6707370
-0.1972000,-0.1972000,-0.2141773,30400.7461629
-0.1872000,-0.1872000,-0.2041773,25589.2213842
-0.1772000,-0.1772000,-0.1941773,20859.6610323
-0.1672000,-0.1672000,-0.1841773,16579.7628977
-0.1572000,-0.1572000,-0.1741773,12981.3283198
-0.1472000,-0.1472000,-0.1641773,10176.1221583
-0.1372000,-0.1372000,-0.1541773,8192.4090549
-0.1272000,-0.1272000,-0.1441773,7015.7367805
-0.1172000,-0.1172000,-0.1341773,6622.1122756
-0.1072000,-0.1072000,-0.1241773,6987.2231398
-0.0972000,-0.0972000,-0.1141773,8134.2932970
-0.0872000,-0.0872000,-0.1041773,10087.3770909
-0.0772000,-0.0772000,-0.0941773,12861.7283586
-0.0672000,-0.0672000,-0.0841773,16431.2792741
-0.0572000,-0.0572000,-0.0741773,20687.8396010
-0.0472000,-0.0472000,-0.0641773,25403.9072497
-0.0372000,-0.0372000,-0.0541773,30215.3082636
-0.0272000,-0.0272000,-0.0441773,34640.8978009
-0.0172000,-0.0172000,-0.0341773,38146.4798376
-0.0072000,-0.0072000,-0.0241773,40253.2246277
0.0028000,0.0028000,-0.0141773,40640.6073342
0.0128000,0.0128000,-0.0041773,39238.4686636
0.0228000,0.0228000,0.0058227,36266.3649808
0.0328000,0.0328000,0.0158227,32137.0403853
0.0428000,0.0428000,0.0258227,27368.4158346
0.0528000,0.0528000,0.0358227,22464.5207959
0.0628000,0.0628000,0.0458227,17831.1696453
0.0728000,0.0728000,0.0558227,13734.6264897
0.0828000,0.0828000,0.0658227,10302.3030231
0.0928000,0.0928000,0.0758227,7550.8070101
0.1028000,0.1028000,0.0858227,5424.1150349
0.1128000,0.1128000,0.0958227,3829.1096961
0.1228000,0.1228000,0.1058227,2659.8819026
0.1328000,0.1328000,0.1158227,1821.6592480
0.1428000,0.1428000,0.1258227,1231.0611062
0.1528000,0.1528000,0.1358227,820.6430682
0.1628000,0.1628000,0.1458227,1465.3781679
0.1728000,0.1728000,0.1558227,934.8036459
0.1828000,0.1828000,0.1658227,585.6541372
0.1928000,0.1928000,0.1758227,358.1473984
0.2028000,0.2028000,0.1858227,211.4774216
0.2128000,0.2128000,0.1958227,118.0837040
0.2228000,0.2228000,0.2058227,59.3552810
0.2328000,0.2328000,0.2158227,22.9146040
0.2428000,0.2428000,0.2258227,0.7086367
0.2528000,0.2528000,0.2358227,-12.5574327
0.2628000,0.2628000,0.2458227,-20.5443045
0.2728000,0.2728000,0.2558227,-25.5469554
0.2828000,0.2828000,0.2658227,-28.4618560
0.2928000,0.2928000,0.2758227,-29.7090984
0.3028000,0.3028000,0.2858227,-29.7618951
0.3128000,0.3128000,0.2958227,-29.0257475
0.3228000,0.3228000,0.3058227,-27.7869542
0.3328000,0.3328000,0.3158227,-26.2514302
0.3428000,0.3428000,0.3258227,-24.5721714
0.3528000,0.3528000,0.3358227,-22.8500575
0.3628000,0.3628000,0.3458227,-21.1443634
0.3728000,0.3728000,0.3558227,-19.4942990
0.3828000,0.3828000,0.3658227,-17.9288150
0.3928000,0.3928000,0.3758227,-16.4666822
0.4028000,0.4028000,0.3858227,-15.1167736
0.4128000,0.4128000,0.3958227,-13.8802918
0.4228000,0.4228000,0.4058227,-12.7534424
0.4328000,0.4328000,0.4158227,-11.7296092
0.4428000,0.4428000,0.4258227,-10.8008487
0.4528000,0.4528000,0.4358227,-9.9588237
0.4628000,0.4628000,0.4458227,-9.1953491
0.4728000,0.4728000,0.4558227,-8.5026872
0.4828000,0.4828000,0.4658227,-7.8736897
0.4928000,0.4928000,0.4758227,-7.3018482
0.5028000,0.5028000,0.4858227,-6.7812917
0.5128000,0.5128000,0.4958227,-6.3067569
0.5228000,0.5228000,0.5058227,-5.8735426
0.5328000,0.5328000,0.5158227,-5.4774596
0.5428000,0.5428000,0.5258227,-5.1147793
