# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
-0.9658526,-0.9658526,-0.7587298,21757.9242917
-0.9558526,-0.9558526,-0.7487298,29763.8505145
-0.9458526,-0.9458526,-0.7387298,28730.2876160
-0.9358526,-0.9358526,-0.7287298,23334.4570775
-0.9258526,-0.9258526,-0.7187298,21056.4632730
-0.9158526,-0.9158526,-0.7087298,21054.1370718
-0.9058526,-0.9058526,-0.6987298,21444.1224625
-0.8958526,-0.8958526,-0.6887298,24578.5998133
-0.8858526,-0.8858526,-0.6787298,30469.5648520
-0.8758526,-0.8758526,-0.6687298,27728.2283114
-0.8658526,-0.8658526,-0.6587298,19041.5540582
-0.8558526,-0.8558526,-0.6487298,11339.3196760
-0.8458526,-0.8458526,-0.6387298,7622.4713895
-0.8358526,-0.8358526,-0.6287298,6026.4521738
-0.8258526,-0.8258526,-0.6187298,5306.9108696
-0.8158526,-0.8158526,-0.6087298,5162.1550126
-0.8058526,-0.8058526,-0.5987298,5297.3727621
-0.7958526,-0.7958526,-0.5887298,5964.7340175
-0.7858526,-0.7858526,-0.5787298,7527.0301118
-0.7758526,-0.7758526,-0.5687298,11080.2076239
-0.7658526,-0.7658526,-0.5587298,18724.2432043
-0.7558526,-0.7558526,-0.5487298,27222.4932446
-0.7458526,-0.7458526,-0.5387298,30714.2356838
-0.7358526,-0.7358526,-0.5287298,24850.4830305
-0.7258526,-0.7258526,-0.5187298,21602.9645839
-0.7158526,-0.7158526,-0.5087298,21018.3643454
-0.7058526,-0.7058526,-0.4987298,21058.9302440
-0.6958526,-0.6958526,-0.4887298,23046.2547332
-0.6858526,-0.6858526,-0.4787298,28227.6993976
-0.6758526,-0.6758526,-0.4687298,29898.9376659
-0.6658526,-0.6658526,-0.4587298,22219.1346970
-0.6558526,-0.6558526,-0.4487298,13863.1975464
-0.6458526,-0.6458526,-0.4387298,8842.2278746
-0.6358526,-0.6358526,-0.4287298,6657.5852923
-0.6258526,-0.6258526,-0.4187298,5643.4756758
-0.6158526,-0.6158526,-0.4087298,5345.9949284
-0.6058526,-0.6058526,-0.3987298,5348.3475902
-0.5958526,-0.5958526,-0.3887298,5757.1344045
-0.5858526,-0.5858526,-0.3787298,6933.2391175
-0.5758526,-0.5758526,-0.3687298,9447.8969577
-0.5658526,-0.5658526,-0.3587298,15187.8562886
-0.5558526,-0.5558526,-0.3487298,23616.1170341
-0.5458526,-0.5458526,-0.3387298,30432.8513680
-0.5358526,-0.5358526,-0.3287298,27261.5400353
-0.5258526,-0.5258526,-0.3187298,22585.4741489
-0.5158526,-0.5158526,-0.3087298,20958.3162290
-0.5058526,-0.5058526,-0.2987298,20946.8198003
-0.4958526,-0.4958526,-0.2887298,21866.3607753
-0.4858526,-0.4858526,-0.2787298,25698.0560686
-0.4758526,-0.4758526,-0.2687298,31345.5227028
-0.4658526,-0.4658526,-0.2587298,25436.8793230
-0.4558526,-0.4558526,-0.2487298,17060.4583363
-0.4458526,-0.4458526,-0.2387298,10244.3702155
-0.4358526,-0.4358526,-0.2287298,7145.7072657
-0.4258526,-0.4258526,-0.2187298,5818.8453535
-0.4158526,-0.4158526,-0.2087298,5245.1124283
-0.4058526,-0.4058526,-0.1987298,5166.1715278
-0.3958526,-0.3958526,-0.1887298,5391.5126259
-0.3858526,-0.3858526,-0.1787298,6216.4495730
-0.3758526,-0.3758526,-0.1687298,8082.5119097
-0.3658526,-0.3658526,-0.1587298,12340.5109887
-0.3558526,-0.3558526,-0.1487298,20302.8271541
-0.3458526,-0.3458526,-0.1387298,28625.8164927
-0.3358526,-0.3358526,-0.1287298,29606.2404784
-0.3258526,-0.3258526,-0.1187298,23879.5208113
-0.3158526,-0.3158526,-0.1087298,21244.3106708
-0.3058526,-0.3058526,-0.0987298,21244.6158798
-0.2958526,-0.2958526,-0.0887298,21232.2524217
-0.2858526,-0.2858526,-0.0787298,23913.9082489
-0.2758526,-0.2758526,-0.0687298,29813.7832345
-0.2658526,-0.2658526,-0.0587298,29319.7775606
-0.2558526,-0.2558526,-0.0487298,20476.4554564
-0.2458526,-0.2458526,-0.0387298,12298.6379643
-0.2358526,-0.2358526,-0.0287298,8051.4597228
-0.2258526,-0.2258526,-0.0187298,6106.3629089
-0.2158526,-0.2158526,-0.0087298,5034.7656586
-0.2058526,-0.2058526,0.0012702,4417.3576533
-0.1958526,-0.1958526,0.0112702,3993.5009713
-0.1858526,-0.1858526,0.0212702,3619.6385302
-0.1758526,-0.1758526,0.0312702,3239.8267452
-0.1658526,-0.1658526,0.0412702,2842.0181660
