# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
-0.5897124,-0.5897124,-0.4162905,8332.8900721
-0.5797124,-0.5797124,-0.4062905,8406.8940977
-0.5697124,-0.5697124,-0.3962905,8671.9927911
-0.5597124,-0.5597124,-0.3862905,9141.1968320
-0.5497124,-0.5497124,-0.3762905,9833.1063900
-0.5397124,-0.5397124,-0.3662905,10874.9625525
-0.5297124,-0.5297124,-0.3562905,12154.8650867
-0.5197124,-0.5197124,-0.3462905,14875.4263380
-0.5097124,-0.5097124,-0.3362905,19549.0451372
-0.4997124,-0.4997124,-0.3262905,20713.2118053
-0.4897124,-0.4897124,-0.3162905,17672.4066014
-0.4797124,-0.4797124,-0.3062905,15415.7593215
-0.4697124,-0.4697124,-0.2962905,12055.0695045
-0.4597124,-0.4597124,-0.2862905,9355.5715740
-0.4497124,-0.4497124,-0.2762905,7628.6859905
-0.4397124,-0.4397124,-0.2662905,6724.3271508
-0.4297124,-0.4297124,-0.2562905,6510.2327203
-0.4197124,-0.4197124,-0.2462905,6579.9245879
-0.4097124,-0.4097124,-0.2362905,5815.1770855
-0.3997124,-0.3997124,-0.2262905,5367.5225495
-0.3897124,-0.3897124,-0.2162905,4997.8176096
-0.3797124,-0.3797124,-0.2062905,4522.0901258
-0.3697124,-0.3697124,-0.1962905,4118.2336315
-0.3597124,-0.3597124,-0.1862905,3781.3980358
-0.3497124,-0.3497124,-0.1762905,3501.3041095
-0.3397124,-0.3397124,-0.1662905,3293.7824400
-0.3297124,-0.3297124,-0.1562905,3160.6443115
-0.3197124,-0.3197124,-0.1462905,3102.8222409
-0.3097124,-0.3097124,-0.1362905,2889.6411579
-0.2997124,-0.2997124,-0.1262905,2856.9580363
-0.2897124,-0.2897124,-0.1162905,2873.5601911
-0.2797124,-0.2797124,-0.1062905,2948.6300634
-0.2697124,-0.2697124,-0.0962905,3254.2760700
-0.2597124,-0.2597124,-0.0862905,3387.6820034
-0.2497124,-0.2497124,-0.0762905,3349.6802191
-0.2397124,-0.2397124,-0.0662905,3096.5605807
-0.2297124,-0.2297124,-0.0562905,3132.5335843
-0.2197124,-0.2197124,-0.0462905,3500.7860533
-0.2097124,-0.2097124,-0.0362905,3805.0842516
-0.1997124,-0.1997124,-0.0262905,3804.8636833
-0.1897124,-0.1897124,-0.0162905,3433.3080508
-0.1797124,-0.1797124,-0.0062905,2846.5373003
-0.1697124,-0.1697124,0.0037095,2535.6608939
-0.1597124,-0.1597124,0.0137095,2363.6275508
-0.1497124,-0.1497124,0.0237095,2079.3570918
-0.1397124,-0.1397124,0.0337095,1694.5142085
-0.1297124,-0.1297124,0.0437095,1353.6007283
-0.1197124,-0.1197124,0.0537095,1091.2370700
-0.1097124,-0.1097124,0.0637095,885.6990047
-0.0997124,-0.0997124,0.0737095,721.8786151
-0.0897124,-0.0897124,0.0837095,589.0601868
-0.0797124,-0.0797124,0.0937095,479.6465288
-0.0697124,-0.0697124,0.1037095,388.9657864
-0.0597124,-0.0597124,0.1137095,301.2505935
-0.0497124,-0.0497124,0.1237095,223.0390909
-0.0397124,-0.0397124,0.1337095,164.7946232
-0.0297124,-0.0297124,0.1437095,121.4832877
-0.0197124,-0.0197124,0.1537095,89.2940097
-0.0097124,-0.0097124,0.1637095,65.3621366
0.0002876,0.0002876,0.1737095,47.5507979
0.0102876,0.0102876,0.1837095,34.1478380
0.0202876,0.0202876,0.1937095,23.7010406
0.0302876,0.0302876,0.2037095,15.5361222
0.0402876,0.0402876,0.2137095,9.3283070
0.0502876,0.0502876,0.2237095,4.7015594
0.0602876,0.0602876,0.2337095,1.3489442
0.0702876,0.0702876,0.2437095,-1.0120566
0.0802876,0.0802876,0.2537095,-2.6577926
0.0902876,0.0902876,0.2637095,-3.8339684
0.1002876,0.1002876,0.2737095,-4.7343370
0.1102876,0.1102876,0.2837095,-5.4703650
0.1202876,0.1202876,0.2937095,-6.0626338
0.1302876,0.1302876,0.3037095,-6.4969439
0.1402876,0.1402876,0.3137095,-6.7821953
0.1502876,0.1502876,0.3237095,-6.9559769
0.1602876,0.1602876,0.3337095,-7.0630292
0.1702876,0.1702876,0.3437095,-7.1402882
0.1802876,0.1802876,0.3537095,-7.2132173
0.1902876,0.1902876,0.3637095,-7.2936716
0.2002876,0.2002876,0.3737095,-7.3747584
0.2102876,0.2102876,0.3837095,-7.4294954
0.2202876,0.2202876,0.3937095,-7.4274735
0.2302876,0.2302876,0.4037095,-7.3573274
0.2402876,0.2402876,0.4137095,-7.2337647
0.2502876,0.2502876,0.4237095,-7.0830074
0.2602876,0.2602876,0.4337095,-6.9154662
0.2702876,0.2702876,0.4437095,-6.7169756
0.2802876,0.2802876,0.4537095,-6.4697395
0.2902876,0.2902876,0.4637095,-6.1714210
0.3002876,0.3002876,0.4737095,-5.8345320
0.3102876,0.3102876,0.4837095,-5.4770691
0.3202876,0.3202876,0.4937095,-5.1154462
0.3302876,0.3302876,0.5037095,-4.7617732
0.3402876,0.3402876,0.5137095,-4.4237869
0.3502876,0.3502876,0.5237095,-4.1057730
0.3602876,0.3602876,0.5337095,-3.8096104
0.3702876,0.3702876,0.5437095,-3.5356290
0.3802876,0.3802876,0.5537095,-3.2832257
0.3902876,0.3902876,0.5637095,-3.0512771
0.4002876,0.4002876,0.5737095,-2.8384043
0.4102876,0.4102876,0.5837095,-2.6431356
0.4202876,0.4202876,0.5937095,-2.4640037
0.4302876,0.4302876,0.6037095,-2.2996005
0.4402876,0.4402876,0.6137095,-2.1486059
0.4502876,0.4502876,0.6237095,-2.0098008
0.4602876,0.4602876,0.6337095,-1.8820698
0.4702876,0.4702876,0.6437095,-1.7643986
0.4802876,0.4802876,0.6537095,-1.6558693
0.4902876,0.4902876,0.6637095,-1.5556526
0.5002876,0.5002876,0.6737095,-1.4630006
0.5102876,0.5102876,0.6837095,-1.3772395
0.5202876,0.5202876,0.6937095,-1.2977622
0.5302876,0.5302876,0.7037095,-1.2240213
0.5402876,0.5402876,0.7137095,-1.1555235
0.5502876,0.5502876,0.7237095,-1.0918235
0.5602876,0.5602876,0.7337095,-1.0325192
0.5702876,0.5702876,0.7437095,-0.9772472
0.5802876,0.5802876,0.7537095,-0.9256783
0.5902876,0.5902876,0.7637095,-0.8775147
0.6002876,0.6002876,0.7737095,-0.8324859
0.6102876,0.6102876,0.7837095,-0.7903465
0.6202876,0.6202876,0.7937095,-0.7508731
0.6302876,0.6302876,0.8037095,-0.7138627
0.6402876,0.6402876,0.8137095,-0.6791300
0.6502876,0.6502876,0.8237095,-0.6465060
0.6602876,0.6602876,0.8337095,-0.6158364
0.6702876,0.6702876,0.8437095,-0.5869799
0.6802876,0.6802876,0.8537095,-0.5598073
0.6902876,0.6902876,0.8637095,-0.5342000
0.7002876,0.7002876,0.8737095,-0.5100493
0.7102876,0.7102876,0.8837095,-0.4872553
0.7202876,0.7202876,0.8937095,-0.4657260
0.7302876,0.7302876,0.9037095,-0.4453769
0.7402876,0.7402876,0.9137095,-0.4261299
0.7502876,0.7502876,0.9237095,-0.4079130
0.7602876,0.7602876,0.9337095,-0.3906599
0.7702876,0.7702876,0.9437095,-0.3743091
0.7802876,0.7802876,0.9537095,-0.3588037
0.7902876,0.7902876,0.9637095,-0.3440912
0.8002876,0.8002876,0.9737095,-0.3301228
0.8102876,0.8102876,0.9837095,-0.3168531
0.8202876,0.8202876,0.9937095,-0.3042401
0.8302876,0.8302876,1.0037095,-0.2922447
0.8402876,0.8402876,1.0137095,-0.2808307
0.8502876,0.8502876,1.0237095,-0.2699641
0.8602876,0.8602876,1.0337095,-0.2596135
0.8702876,0.8702876,1.0437095,-0.2497493
0.8802876,0.8802876,1.0537095,-0.2403443
0.8902876,0.8902876,1.0637095,-0.2313727
0.9002876,0.9002876,1.0737095,-0.2228107
0.9102876,0.9102876,1.0837095,-0.2146358
0.9202876,0.9202876,1.0937095,-0.2068271
0.9302876,0.9302876,1.1037095,-0.1993649
0.9402876,0.9402876,1.1137095,-0.1922309
0.9502876,0.9502876,1.1237095,-0.1854078
0.9602876,0.9602876,1.1337095,-0.1788794
0.9702876,0.9702876,1.1437095,-0.1726305
0.9802876,0.9802876,1.1537095,-0.1666468
0.9902876,0.9902876,1.1637095,-0.1609149
1.0002876,1.0002876,1.1737095,-0.1554222
1.0102876,1.0102876,1.1837095,-0.1501568
1.0202876,1.0202876,1.1937095,-0.1451074
1.0302876,1.0302876,1.2037095,-0.1402635
1.0402876,1.0402876,1.2137095,-0.1356152
1.0502876,1.0502876,1.2237095,-0.1311531
1.0602876,1.0602876,1.2337095,-0.1268683
1.0702876,1.0702876,1.2437095,-0.1227525
1.0802876,1.0802876,1.2537095,-0.1187976
1.0902876,1.0902876,1.2637095,-0.1149964
1.1002876,1.1002876,1.2737095,-0.1113416
1.1102876,1.1102876,1.2837095,-0.1078266
1.1202876,1.1202876,1.2937095,-0.1044451
1.1302876,1.1302876,1.3037095,-0.1011911
1.1402876,1.1402876,1.3137095,-0.0980588
1.1502876,1.1502876,1.3237095,-0.0950429
1.1602876,1.1602876,1.3337095,-0.0921383
1.1702876,1.1702876,1.3437095,-0.0893401
1.1802876,1.1802876,1.3537095,-0.0866437
1.1902876,1.1902876,1.3637095,-0.0840448
1.2002876,1.2002876,1.3737095,-0.0815392
1.2102876,1.2102876,1.3837095,-0.0791229
1.2202876,1.2202876,1.3937095,-0.0767922
1.2302876,1.2302876,1.4037095,-0.0745436
1.2402876,1.2402876,1.4137095,-0.0723735
1.2502876,1.2502876,1.4237095,-0.0702789
1.2602876,1.2602876,1.4337095,-0.0682565
1.2702876,1.2702876,1.4437095,-0.0663035
1.2802876,1.2802876,1.4537095,-0.0644171
1.2902876,1.2902876,1.4637095,-0.0625946
1.3002876,1.3002876,1.4737095,-0.0608335
1.3102876,1.3102876,1.4837095,-0.0591313
1.3202876,1.3202876,1.4937095,-0.0574858
1.3302876,1.3302876,1.5037095,-0.0558946
1.3402876,1.3402876,1.5137095,-0.0543558
1.3502876,1.3502876,1.5237095,-0.0528673
1.3602876,1.3602876,1.5337095,-0.0514272
1.3702876,1.3702876,1.5437095,-0.0500336
1.3802876,1.3802876,1.5537095,-0.0486848
1.3902876,1.3902876,1.5637095,-0.0473790
1.4002876,1.4002876,1.5737095,-0.0461148
1.4102876,1.4102876,1.5837095,-0.0448905
1.4202876,1.4202876,1.5937095,-0.0437047
1.4302876,1.4302876,1.6037095,-0.0425559
1.4402876,1.4402876,1.6137095,-0.0414428
1.4502876,1.4502876,1.6237095,-0.0403642
1.4602876,1.4602876,1.6337095,-0.0393188
1.4702876,1.4702876,1.6437095,-0.0383053
1.4802876,1.4802876,1.6537095,-0.0373227
1.4902876,1.4902876,1.6637095,-0.0363698
1.5002876,1.5002876,1.6737095,-0.0354456
1.5102876,1.5102876,1.6837095,-0.0345492
1.5202876,1.5202876,1.6937095,-0.0336794
1.5302876,1.5302876,1.7037095,-0.0328355
1.5402876,1.5402876,1.7137095,-0.0320165
1.5502876,1.5502876,1.7237095,-0.0312216
1.5602876,1.5602876,1.7337095,-0.0304499
1.5702876,1.5702876,1.7437095,-0.0297006
1.5802876,1.5802876,1.7537095,-0.0289731
1.5902876,1.5902876,1.7637095,-0.0282665
