# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
0.7500000,0.0000000,-0.0257709,367329.6591652
0.7600000,0.0100000,-0.0157709,338997.3287850
0.7700000,0.0200000,-0.0057709,295459.1628367
0.7800000,0.0300000,0.0042291,244210.0019655
0.7900000,0.0400000,0.0142291,192365.3016869
0.8000000,0.0500000,0.0242291,145223.4337051
0.8100000,0.0600000,0.0342291,99712.3506877
0.8200000,0.0700000,0.0442291,59343.6713291
0.8300000,0.0800000,0.0542291,35114.2723141
0.8400000,0.0900000,0.0642291,20848.4614079
0.8500000,0.1000000,0.0742291,12448.3751502
0.8600000,0.1100000,0.0842291,7485.2510872
0.8700000,0.1200000,0.0942291,4535.7031882
0.8800000,0.1300000,0.1042291,2769.9494955
0.8900000,0.1400000,0.1142291,1703.2074104
0.9000000,0.1500000,0.1242291,1053.7469799
0.9100000,0.1600000,0.1342291,654.8724816
0.9200000,0.1700000,0.1442291,1679.9018281
0.9300000,0.1800000,0.1542291,997.6193949
0.9400000,0.1900000,0.1642291,599.6262549
0.9500000,0.2000000,0.1742291,363.9332914
0.9600000,0.2100000,0.1842291,222.4958770
0.9700000,0.2200000,0.1942291,136.6150366
0.9800000,0.2300000,0.2042291,83.6543275
0.9900000,0.2400000,0.2142291,50.7808367
1.0000000,0.2500000,0.2242291,29.9398547
1.0100000,0.2600000,0.2342291,16.2456645
1.0200000,0.2700000,0.2442291,7.2372253
1.0300000,0.2800000,0.2542291,1.2754305
1.0400000,0.2900000,0.2642291,-2.7200643
1.0500000,0.3000000,0.2742291,-5.3851018
1.0600000,0.3100000,0.2842291,-7.1465083
1.0700000,0.3200000,0.2942291,-8.3332162
1.0800000,0.3300000,0.3042291,-9.1398993
1.0900000,0.3400000,0.3142291,-9.6302439
1.1000000,0.3500000,0.3242291,-9.8272442
1.1100000,0.3600000,0.3342291,-9.7712487
1.1200000,0.3700000,0.3442291,-9.5166200
1.1300000,0.3800000,0.3542291,-9.1162900
1.1400000,0.3900000,0.3642291,-8.6191646
1.1500000,0.4000000,0.3742291,-8.0693292
1.1600000,0.4100000,0.3842291,-7.5025546
1.1700000,0.4200000,0.3942291,-6.9444496
1.1800000,0.4300000,0.4042291,-6.4114240
1.1900000,0.4400000,0.4142291,-5.9125614
1.2000000,0.4500000,0.4242291,-5.4514774
1.2100000,0.4600000,0.4342291,-5.0280405
1.2200000,0.4700000,0.4442291,-4.6400408
1.2300000,0.4800000,0.4542291,-4.2845497
1.2400000,0.4900000,0.4642291,-3.9588391
1.2500000,0.5000000,0.4742291,-3.6605670
1.2600000,0.5100000,0.4842291,-3.3872654
1.2700000,0.5200000,0.4942291,-3.1362303
1.2800000,0.5300000,0.5042291,-2.9050465
1.2900000,0.5400000,0.5142291,-2.6917259
1.3000000,0.5500000,0.5242291,-2.4947071
1.3100000,0.5600000,0.5342291,-2.3128861
1.3200000,0.5700000,0.5442291,-2.1454218
1.3300000,0.5800000,0.5542291,-1.9914957
1.3400000,0.5900000,0.5642291,-1.8502148
1.3500000,0.6000000,0.5742291,-1.7206250
1.3600000,0.6100000,0.5842291,-1.6017601
1.3700000,0.6200000,0.5942291,-1.4926829
1.3800000,0.6300000,0.6042291,-1.3925115
1.3900000,0.6400000,0.6142291,-1.3004313
1.4000000,0.6500000,0.6242291,-1.2156991
1.4100000,0.6600000,0.6342291,-1.1376412
1.4200000,0.6700000,0.6442291,-1.0656493
1.4300000,0.6800000,0.6542291,-0.9991757
1.4400000,0.6900000,0.6642291,-0.9377271
1.4500000,0.7000000,0.6742291,-0.8808596
1.4600000,0.7100000,0.6842291,-0.8281734
1.4700000,0.7200000,0.6942291,-0.7793083
1.4800000,0.7300000,0.7042291,-0.7339391
1.4900000,0.7400000,0.7142291,-0.6917725
1.5000000,0.7500000,0.7242291,-0.6525429
1.5100000,0.7600000,0.7342291,-0.6160101
1.5200000,0.7700000,0.7442291,-0.5819563
1.5300000,0.7800000,0.7542291,-0.5501839
1.5400000,0.7900000,0.7642291,-0.5205132
1.5500000,0.8000000,0.7742291,-0.4927810
1.5600000,0.8100000,0.7842291,-0.4668383
1.5700000,0.8200000,0.7942291,-0.4425494
1.5800000,0.8300000,0.8042291,-0.4197905
1.5900000,0.8400000,0.8142291,-0.3984482
1.6000000,0.8500000,0.8242291,-0.3784190
1.6100000,0.8600000,0.8342291,-0.3596080
1.6200000,0.8700000,0.8442291,-0.3419280
1.6300000,0.8800000,0.8542291,-0.3252992
1.6400000,0.8900000,0.8642291,-0.3096481
1.6500000,0.9000000,0.8742291,-0.2949072
1.6600000,0.9100000,0.8842291,-0.2810143
1.6700000,0.9200000,0.8942291,-0.2679122
1.6800000,0.9300000,0.9042291,-0.2555479
1.6900000,0.9400000,0.9142291,-0.2438727
1.7000000,0.9500000,0.9242291,-0.2328415
1.7100000,0.9600000,0.9342291,-0.2224125
1.7200000,0.9700000,0.9442291,-0.2125472
1.7300000,0.9800000,0.9542291,-0.2032098
1.7400000,0.9900000,0.9642291,-0.1943671
1.7500000,1.0000000,0.9742291,-0.1859885
1.7600000,1.0100000,0.9842291,-0.1780452
1.7700000,1.0200000,0.9942291,-0.1705109
1.7800000,1.0300000,1.0042291,-0.1633607
1.7900000,1.0400000,1.0142291,-0.1565716
1.8000000,1.0500000,1.0242291,-0.1501224
1.8100000,1.0600000,1.0342291,-0.1439931
1.8200000,1.0700000,1.0442291,-0.1381650
1.8300000,1.0800000,1.0542291,-0.1326208
1.8400000,1.0900000,1.0642291,-0.1273442
1.8500000,1.1000000,1.0742291,-0.1223202
1.8600000,1.1100000,1.0842291,-0.1175346
1.8700000,1.1200000,1.0942291,-0.1129741
1.8800000,1.1300000,1.1042291,-0.1086263
1.8900000,1.1400000,1.1142291,-0.1044796
1.9000000,1.1500000,1.1242291,-0.1005231
1.9100000,1.1600000,1.1342291,-0.0967465
1.9200000,1.1700000,1.1442291,-0.0931403
1.9300000,1.1800000,1.1542291,-0.0896956
1.9400000,1.1900000,1.1642291,-0.0864037
1.9500000,1.2000000,1.1742291,-0.0832568
1.9600000,1.2100000,1.1842291,-0.0802475
1.9700000,1.2200000,1.1942291,-0.0773686
1.9800000,1.2300000,1.2042291,-0.0746136
1.9900000,1.2400000,1.2142291,-0.0719762
2.0000000,1.2500000,1.2242291,-0.0694506
2.0100000,1.2600000,1.2342291,-0.0670312
2.0200000,1.2700000,1.2442291,-0.0647127
2.0300000,1.2800000,1.2542291,-0.0624903
2.0400000,1.2900000,1.2642291,-0.0603594
2.0500000,1.3000000,1.2742291,-0.0583154
2.0600000,1.3100000,1.2842291,-0.0563543
2.0700000,1.3200000,1.2942291,-0.0544721
2.0800000,1.3300000,1.3042291,-0.0526652
2.0900000,1.3400000,1.3142291,-0.0509300
2.1000000,1.3500000,1.3242291,-0.0492631
2.1100000,1.3600000,1.3342291,-0.0476615
2.1200000,1.3700000,1.3442291,-0.0461221
2.1300000,1.3800000,1.3542291,-0.0446422
2.1400000,1.3900000,1.3642291,-0.0432190
2.1500000,1.4000000,1.3742291,-0.0418501
2.1600000,1.4100000,1.3842291,-0.0405329
2.1700000,1.4200000,1.3942291,-0.0392652
2.1800000,1.4300000,1.4042291,-0.0380449
2.1900000,1.4400000,1.4142291,-0.0368699
2.2000000,1.4500000,1.4242291,-0.0357382
2.2100000,1.4600000,1.4342291,-0.0346479
2.2200000,1.4700000,1.4442291,-0.0335974
2.2300000,1.4800000,1.4542291,-0.0325848
2.2400000,1.4900000,1.4642291,-0.0316086
2.2500000,1.5000000,1.4742291,-0.0306673
2.2600000,1.5100000,1.4842291,-0.0297594
2.2700000,1.5200000,1.4942291,-0.0288836
2.2800000,1.5300000,1.5042291,-0.0280384
2.2900000,1.5400000,1.5142291,-0.0272228
2.3000000,1.5500000,1.5242291,-0.0264354
2.3100000,1.5600000,1.5342291,-0.0256751
2.3200000,1.5700000,1.5442291,-0.0249409
2.3300000,1.5800000,1.5542291,-0.0242317
2.3400000,1.5900000,1.5642291,-0.0235465
