# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
-1.3834311,-1.3834311,-1.3982306,26585.0397080
-1.3734311,-1.3734311,-1.3882306,26508.0830500
-1.3634311,-1.3634311,-1.3782306,25655.4081705
-1.3534311,-1.3534311,-1.3682306,24427.4323063
-1.3434311,-1.3434311,-1.3582306,23432.8472092
-1.3334311,-1.3334311,-1.3482306,22744.8913128
-1.3234311,-1.3234311,-1.3382306,23236.0323051
-1.3134311,-1.3134311,-1.3282306,21979.0671683
-1.3034311,-1.3034311,-1.3182306,12648.1128120
-1.2934311,-1.2934311,-1.3082306,8074.1855763
-1.2834311,-1.2834311,-1.2982306,5822.1688718
-1.2734311,-1.2734311,-1.2882306,4875.7280373
-1.2634311,-1.2634311,-1.2782306,4852.5175334
-1.2534311,-1.2534311,-1.2682306,5737.8991350
-1.2434311,-1.2434311,-1.2582306,7877.2010220
-1.2334311,-1.2334311,-1.2482306,12209.3665993
-1.2234311,-1.2234311,-1.2382306,20860.7893955
-1.2134311,-1.2134311,-1.2282306,23559.7300992
-1.2034311,-1.2034311,-1.2182306,22766.0400844
-1.1934311,-1.1934311,-1.2082306,23655.5941942
-1.1834311,-1.1834311,-1.1982306,24452.9881449
-1.1734311,-1.1734311,-1.1882306,25490.0703156
-1.1634311,-1.1634311,-1.1782306,26394.7585482
-1.1534311,-1.1534311,-1.1682306,26958.3553647
-1.1434311,-1.1434311,-1.1582306,27117.2521565
-1.1334311,-1.1334311,-1.1482306,25946.6080447
-1.1234311,-1.1234311,-1.1382306,24618.0514598
-1.1134311,-1.1134311,-1.1282306,23492.8810662
-1.1034311,-1.1034311,-1.1182306,23151.1567401
-1.0934311,-1.0934311,-1.1082306,23884.9664296
-1.0834311,-1.0834311,-1.0982306,23285.7450354
-1.0734311,-1.0734311,-1.0882306,13436.2528817
-1.0634311,-1.0634311,-1.0782306,8578.7695874
-1.0534311,-1.0534311,-1.0682306,6157.2099486
-1.0434311,-1.0434311,-1.0582306,5119.1509526
-1.0334311,-1.0334311,-1.0482306,5064.9782203
-1.0234311,-1.0234311,-1.0382306,5970.4680189
-1.0134311,-1.0134311,-1.0282306,8162.3969755
-1.0034311,-1.0034311,-1.0182306,12539.9446013
-0.9934311,-0.9934311,-1.0082306,20919.1959700
-0.9834311,-0.9834311,-0.9982306,23760.4172757
-0.9734311,-0.9734311,-0.9882306,22886.5922180
-0.9634311,-0.9634311,-0.9782306,24037.8436330
-0.9534311,-0.9534311,-0.9682306,25186.7944415
-0.9434311,-0.9434311,-0.9582306,26024.9492794
-0.9334311,-0.9334311,-0.9482306,26798.9181066
-0.9234311,-0.9234311,-0.9382306,27284.0921534
-0.9134311,-0.9134311,-0.9282306,27394.4161027
-0.9034311,-0.9034311,-0.9182306,26881.5668306
-0.8934311,-0.8934311,-0.9082306,25543.1622963
-0.8834311,-0.8834311,-0.8982306,24391.3095198
-0.8734311,-0.8734311,-0.8882306,23289.1762463
-0.8634311,-0.8634311,-0.8782306,23356.0485859
-0.8534311,-0.8534311,-0.8682306,23474.1346988
-0.8434311,-0.8434311,-0.8582306,13501.5015206
-0.8334311,-0.8334311,-0.8482306,8586.1721763
-0.8234311,-0.8234311,-0.8382306,6145.9293387
-0.8134311,-0.8134311,-0.8282306,5077.0307206
-0.8034311,-0.8034311,-0.8182306,4955.6410694
-0.7934311,-0.7934311,-0.8082306,5733.2827034
-0.7834311,-0.7834311,-0.7982306,7713.6483899
-0.7734311,-0.7734311,-0.7882306,11748.9792509
-0.7634311,-0.7634311,-0.7782306,19861.5260876
-0.7534311,-0.7534311,-0.7682306,24213.1721208
-0.7434311,-0.7434311,-0.7582306,23381.5103066
-0.7334311,-0.7334311,-0.7482306,24030.3546264
-0.7234311,-0.7234311,-0.7382306,24872.1089486
-0.7134311,-0.7134311,-0.7282306,25947.7260433
-0.7034311,-0.7034311,-0.7182306,26954.4826752
-0.6934311,-0.6934311,-0.7082306,27666.3404717
-0.6834311,-0.6834311,-0.6982306,27018.8915007
-0.6734311,-0.6734311,-0.6882306,25912.2186363
-0.6634311,-0.6634311,-0.6782306,24535.3609018
-0.6534311,-0.6534311,-0.6682306,23112.5009220
-0.6434311,-0.6434311,-0.6582306,22414.9983132
-0.6334311,-0.6334311,-0.6482306,23400.7788586
-0.6234311,-0.6234311,-0.6382306,23710.1720434
-0.6134311,-0.6134311,-0.6282306,14017.5236844
-0.6034311,-0.6034311,-0.6182306,8758.9525915
-0.5934311,-0.5934311,-0.6082306,6161.5906437
-0.5834311,-0.5834311,-0.5982306,5012.6031707
-0.5734311,-0.5734311,-0.5882306,4843.0415939
-0.5634311,-0.5634311,-0.5782306,5583.6560871
-0.5534311,-0.5534311,-0.5682306,7532.4585820
-0.5434311,-0.5434311,-0.5582306,11543.2338980
