# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol]
-1.4853504,-1.4853504,-1.3527899,4816.6091569
-1.4753504,-1.4753504,-1.3427899,4440.5324657
-1.4653504,-1.4653504,-1.3327899,4159.8348370
-1.4553504,-1.4553504,-1.3227899,3993.5967630
-1.4453504,-1.4453504,-1.3127899,3917.5769402
-1.4353504,-1.4353504,-1.3027899,3895.5348248
-1.4253504,-1.4253504,-1.2927899,3921.0321595
-1.4153504,-1.4153504,-1.2827899,4006.3841323
-1.4053504,-1.4053504,-1.2727899,4012.1180283
-1.3953504,-1.3953504,-1.2627899,4008.8744240
-1.3853504,-1.3853504,-1.2527899,4162.6902174
-1.3753504,-1.3753504,-1.2427899,3960.0028398
-1.3653504,-1.3653504,-1.2327899,3899.3563278
-1.3553504,-1.3553504,-1.2227899,4230.6835897
-1.3453504,-1.3453504,-1.2127899,4085.0136216
-1.3353504,-1.3353504,-1.2027899,3891.5626007
-1.3253504,-1.3253504,-1.1927899,3910.5587138
-1.3153504,-1.3153504,-1.1827899,4181.1318239
-1.3053504,-1.3053504,-1.1727899,4071.7532754
-1.2953504,-1.2953504,-1.1627899,4099.7899913
-1.2853504,-1.2853504,-1.1527899,3993.0721863
-1.2753504,-1.2753504,-1.1427899,3958.1720036
-1.2653504,-1.2653504,-1.1327899,3964.2106162
-1.2553504,-1.2553504,-1.1227899,4011.7333054
-1.2453504,-1.2453504,-1.1127899,4065.0382592
-1.2353504,-1.2353504,-1.1027899,4128.8267683
-1.2253504,-1.2253504,-1.0927899,4241.5028539
-1.2153504,-1.2153504,-1.0827899,4419.8053004
-1.2053504,-1.2053504,-1.0727899,4666.8983624
-1.1953504,-1.1953504,-1.0627899,4838.8888780
-1.1853504,-1.1853504,-1.0527899,5007.3206910
-1.1753504,-1.1753504,-1.0427899,5164.4749857
-1.1653504,-1.1653504,-1.0327899,5286.6692990
-1.1553504,-1.1553504,-1.0227899,5367.5475806
-1.1453504,-1.1453504,-1.0127899,5389.4282284
