# r[nm],d[nm],daligned[nm],UMethane(d)[kj/mol]
0.1119375,0.1119375,0.1211995,1771.5299145
0.1219375,0.1219375,0.1311995,1276.5202137
0.1319375,0.1319375,0.1411995,934.4741665
0.1419375,0.1419375,0.1511995,690.2743242
0.1519375,0.1519375,0.1611995,510.8969382
0.1619375,0.1619375,0.1711995,376.2364970
0.1719375,0.1719375,0.1811995,273.7325038
0.1819375,0.1819375,0.1911995,195.2125481
0.1919375,0.1919375,0.2011995,135.1206623
0.2019375,0.2019375,0.2111995,89.0530912
0.2119375,0.2119375,0.2211995,53.2716124
0.2219375,0.2219375,0.2311995,26.1542668
0.2319375,0.2319375,0.2411995,5.7918124
0.2419375,0.2419375,0.2511995,-8.2158105
0.2519375,0.2519375,0.2611995,-17.2931583
0.2619375,0.2619375,0.2711995,-22.9560471
0.2719375,0.2719375,0.2811995,-26.2125996
0.2819375,0.2819375,0.2911995,-27.7849275
0.2919375,0.2919375,0.3011995,-28.1895200
0.3019375,0.3019375,0.3111995,-27.7931618
0.3119375,0.3119375,0.3211995,-26.8653163
0.3219375,0.3219375,0.3311995,-25.5969672
0.3319375,0.3319375,0.3411995,-24.1262523
0.3419375,0.3419375,0.3511995,-22.5606253
0.3519375,0.3519375,0.3611995,-20.9754141
0.3619375,0.3619375,0.3711995,-19.4157741
0.3719375,0.3719375,0.3811995,-17.9116020
0.3819375,0.3819375,0.3911995,-16.4858980
0.3919375,0.3919375,0.4011995,-15.1542799
0.4019375,0.4019375,0.4111995,-13.9243354
0.4119375,0.4119375,0.4211995,-12.7970584
0.4219375,0.4219375,0.4311995,-11.7690250
0.4319375,0.4319375,0.4411995,-10.8342823
0.4419375,0.4419375,0.4511995,-9.9856776
0.4519375,0.4519375,0.4611995,-9.2156991
0.4619375,0.4619375,0.4711995,-8.5169675
0.4719375,0.4719375,0.4811995,-7.8825044
0.4819375,0.4819375,0.4911995,-7.3058597
0.4919375,0.4919375,0.5011995,-6.7811582
0.5019375,0.5019375,0.5111995,-6.3030979
0.5119375,0.5119375,0.5211995,-5.8669226
0.5219375,0.5219375,0.5311995,-5.4683820
0.5319375,0.5319375,0.5411995,-5.1036865
0.5419375,0.5419375,0.5511995,-4.7694612
0.5519375,0.5519375,0.5611995,-4.4627018
0.5619375,0.5619375,0.5711995,-4.1807335
0.5719375,0.5719375,0.5811995,-3.9211741
0.5819375,0.5819375,0.5911995,-3.6818998
0.5919375,0.5919375,0.6011995,-3.4610154
0.6019375,0.6019375,0.6111995,-3.2568278
0.6119375,0.6119375,0.6211995,-3.0678224
0.6219375,0.6219375,0.6311995,-2.8926424
0.6319375,0.6319375,0.6411995,-2.7300710
0.6419375,0.6419375,0.6511995,-2.5790148
0.6519375,0.6519375,0.6611995,-2.4384904
0.6619375,0.6619375,0.6711995,-2.3076116
0.6719375,0.6719375,0.6811995,-2.1855790
0.6819375,0.6819375,0.6911995,-2.0716700
0.6919375,0.6919375,0.7011995,-1.9652311
0.7019375,0.7019375,0.7111995,-1.8656698
0.7119375,0.7119375,0.7211995,-1.7724486
0.7219375,0.7219375,0.7311995,-1.6850790
0.7319375,0.7319375,0.7411995,-1.6031166
0.7419375,0.7419375,0.7511995,-1.5261562
0.7519375,0.7519375,0.7611995,-1.4538285
0.7619375,0.7619375,0.7711995,-1.3857960
0.7719375,0.7719375,0.7811995,-1.3217498
0.7819375,0.7819375,0.7911995,-1.2614075
0.7919375,0.7919375,0.8011995,-1.2045096
0.8019375,0.8019375,0.8111995,-1.1508185
0.8119375,0.8119375,0.8211995,-1.1001153
0.8219375,0.8219375,0.8311995,-1.0521990
0.8319375,0.8319375,0.8411995,-1.0068844
0.8419375,0.8419375,0.8511995,-0.9640006
0.8519375,0.8519375,0.8611995,-0.9233902
0.8619375,0.8619375,0.8711995,-0.8849073
0.8719375,0.8719375,0.8811995,-0.8484175
0.8819375,0.8819375,0.8911995,-0.8137960
0.8919375,0.8919375,0.9011995,-0.7809274
0.9019375,0.9019375,0.9111995,-0.7497046
0.9119375,0.9119375,0.9211995,-0.7200281
0.9219375,0.9219375,0.9311995,-0.6918057
0.9319375,0.9319375,0.9411995,-0.6649513
0.9419375,0.9419375,0.9511995,-0.6393853
0.9519375,0.9519375,0.9611995,-0.6150330
0.9619375,0.9619375,0.9711995,-0.5918251
0.9719375,0.9719375,0.9811995,-0.5696969
