# r[nm],d[nm],daligned[nm],UMethane(d)[kj/mol]
0.1412356,0.1412356,0.1432025,1812.1799414
0.1512356,0.1512356,0.1532025,1087.2325497
0.1612356,0.1612356,0.1632025,659.0473895
0.1712356,0.1712356,0.1732025,402.5098199
0.1812356,0.1812356,0.1832025,247.0663356
0.1912356,0.1912356,0.1932025,151.6994710
0.2012356,0.2012356,0.2032025,90.5013358
0.2112356,0.2112356,0.2132025,51.5650626
0.2212356,0.2212356,0.2232025,27.5101404
0.2312356,0.2312356,0.2332025,12.5488027
0.2412356,0.2412356,0.2432025,3.1226053
0.2512356,0.2512356,0.2532025,-2.9322758
0.2612356,0.2612356,0.2632025,-6.9223512
0.2712356,0.2712356,0.2732025,-9.5623720
0.2812356,0.2812356,0.2832025,-11.2655238
0.2912356,0.2912356,0.2932025,-12.3247399
0.3012356,0.3012356,0.3032025,-12.9248382
0.3112356,0.3112356,0.3132025,-13.1550402
0.3212356,0.3212356,0.3232025,-13.0730965
0.3312356,0.3312356,0.3332025,-12.7477748
0.3412356,0.3412356,0.3432025,-12.2482477
0.3512356,0.3512356,0.3532025,-11.6318757
0.3612356,0.3612356,0.3632025,-10.9463645
0.3712356,0.3712356,0.3732025,-10.2313920
0.3812356,0.3812356,0.3832025,-9.5174029
0.3912356,0.3912356,0.3932025,-8.8253446
0.4012356,0.4012356,0.4032025,-8.1680618
0.4112356,0.4112356,0.4132025,-7.5523541
0.4212356,0.4212356,0.4232025,-6.9808993
0.4312356,0.4312356,0.4332025,-6.4537467
0.4412356,0.4412356,0.4432025,-5.9693708
0.4512356,0.4512356,0.4532025,-5.5253742
0.4612356,0.4612356,0.4632025,-5.1189390
0.4712356,0.4712356,0.4732025,-4.7471082
0.4812356,0.4812356,0.4832025,-4.4069547
0.4912356,0.4912356,0.4932025,-4.0956777
0.5012356,0.5012356,0.5032025,-3.8106546
0.5112356,0.5112356,0.5132025,-3.5494633
0.5212356,0.5212356,0.5232025,-3.3098878
0.5312356,0.5312356,0.5332025,-3.0899133
0.5412356,0.5412356,0.5432025,-2.8877155
0.5512356,0.5512356,0.5532025,-2.7016473
0.5612356,0.5612356,0.5632025,-2.5302242
0.5712356,0.5712356,0.5732025,-2.3721092
0.5812356,0.5812356,0.5832025,-2.2260990
0.5912356,0.5912356,0.5932025,-2.0911104
0.6012356,0.6012356,0.6032025,-1.9661681
0.6112356,0.6112356,0.6132025,-1.8503934
0.6212356,0.6212356,0.6232025,-1.7429940
0.6312356,0.6312356,0.6332025,-1.6432553
0.6412356,0.6412356,0.6432025,-1.5505316
0.6512356,0.6512356,0.6532025,-1.4642392
0.6612356,0.6612356,0.6632025,-1.3838498
0.6712356,0.6712356,0.6732025,-1.3088848
0.6812356,0.6812356,0.6832025,-1.2389099
0.6912356,0.6912356,0.6932025,-1.1735308
0.7012356,0.7012356,0.7032025,-1.1123891
0.7112356,0.7112356,0.7132025,-1.0551583
0.7212356,0.7212356,0.7232025,-1.0015412
0.7312356,0.7312356,0.7332025,-0.9512663
0.7412356,0.7412356,0.7432025,-0.9040860
0.7512356,0.7512356,0.7532025,-0.8597737
0.7612356,0.7612356,0.7632025,-0.8181218
0.7712356,0.7712356,0.7732025,-0.7789405
0.7812356,0.7812356,0.7832025,-0.7420554
0.7912356,0.7912356,0.7932025,-0.7073063
0.8012356,0.8012356,0.8032025,-0.6745461
0.8112356,0.8112356,0.8132025,-0.6436394
0.8212356,0.8212356,0.8232025,-0.6144615
0.8312356,0.8312356,0.8332025,-0.5868973
0.8412356,0.8412356,0.8432025,-0.5608407
0.8512356,0.8512356,0.8532025,-0.5361938
0.8612356,0.8612356,0.8632025,-0.5128657
0.8712356,0.8712356,0.8732025,-0.4907728
0.8812356,0.8812356,0.8832025,-0.4698372
0.8912356,0.8912356,0.8932025,-0.4499870
0.9012356,0.9012356,0.9032025,-0.4311554
0.9112356,0.9112356,0.9132025,-0.4132803
0.9212356,0.9212356,0.9232025,-0.3963040
0.9312356,0.9312356,0.9332025,-0.3801730
0.9412356,0.9412356,0.9432025,-0.3648374
0.9512356,0.9512356,0.9532025,-0.3502505
0.9612356,0.9612356,0.9632025,-0.3363692
0.9712356,0.9712356,0.9732025,-0.3231529
0.9812356,0.9812356,0.9832025,-0.3105640
0.9912356,0.9912356,0.9932025,-0.2985672
1.0012356,1.0012356,1.0032025,-0.2871295
1.0112356,1.0112356,1.0132025,-0.2762201
1.0212356,1.0212356,1.0232025,-0.2658102
1.0312356,1.0312356,1.0332025,-0.2558727
1.0412356,1.0412356,1.0432025,-0.2463822
1.0512356,1.0512356,1.0532025,-0.2373152
1.0612356,1.0612356,1.0632025,-0.2286491
1.0712356,1.0712356,1.0732025,-0.2203632
1.0812356,1.0812356,1.0832025,-0.2124377
1.0912356,1.0912356,1.0932025,-0.2048542
1.1012356,1.1012356,1.1032025,-0.1975952
1.1112356,1.1112356,1.1132025,-0.1906445
1.1212356,1.1212356,1.1232025,-0.1839865
1.1312356,1.1312356,1.1332025,-0.1776068
1.1412356,1.1412356,1.1432025,-0.1714917
1.1512356,1.1512356,1.1532025,-0.1656282
1.1612356,1.1612356,1.1632025,-0.1600043
1.1712356,1.1712356,1.1732025,-0.1546084
1.1812356,1.1812356,1.1832025,-0.1494296
1.1912356,1.1912356,1.1932025,-0.1444577
1.2012356,1.2012356,1.2032025,-0.1396830
1.2112356,1.2112356,1.2132025,-0.1350963
1.2212356,1.2212356,1.2232025,-0.1306890
1.2312356,1.2312356,1.2332025,-0.1264528
1.2412356,1.2412356,1.2432025,-0.1223798
1.2512356,1.2512356,1.2532025,-0.1184629
1.2612356,1.2612356,1.2632025,-0.1146949
1.2712356,1.2712356,1.2732025,-0.1110693
1.2812356,1.2812356,1.2832025,-0.1075797
1.2912356,1.2912356,1.2932025,-0.1042201
1.3012356,1.3012356,1.3032025,-0.1009850
1.3112356,1.3112356,1.3132025,-0.0978689
1.3212356,1.3212356,1.3232025,-0.0948668
1.3312356,1.3312356,1.3332025,-0.0919736
1.3412356,1.3412356,1.3432025,-0.0891849
1.3512356,1.3512356,1.3532025,-0.0864963
1.3612356,1.3612356,1.3632025,-0.0839035
1.3712356,1.3712356,1.3732025,-0.0814026
