# r[nm],d[nm],daligned[nm],UMethane(d)[kj/mol]
0.2100000,0.2100000,0.1565498,1117.8002880
0.2200000,0.2200000,0.1665498,672.2082864
0.2300000,0.2300000,0.1765498,406.8441623
0.2400000,0.2400000,0.1865498,246.2293621
0.2500000,0.2500000,0.1965498,147.3451520
0.2600000,0.2600000,0.2065498,84.7158025
0.2700000,0.2700000,0.2165498,45.8463056
0.2800000,0.2800000,0.2265498,22.2568966
0.2900000,0.2900000,0.2365498,7.9759175
0.3000000,0.3000000,0.2465498,-0.6725483
0.3100000,0.3100000,0.2565498,-5.9280140
0.3200000,0.3200000,0.2665498,-9.1511918
0.3300000,0.3300000,0.2765498,-11.0265533
0.3400000,0.3400000,0.2865498,-11.9508472
0.3500000,0.3500000,0.2965498,-12.2468923
0.3600000,0.3600000,0.3065498,-12.1456737
0.3700000,0.3700000,0.3165498,-11.7843881
0.3800000,0.3800000,0.3265498,-11.2518457
0.3900000,0.3900000,0.3365498,-10.6167518
0.4000000,0.4000000,0.3465498,-9.9326170
0.4100000,0.4100000,0.3565498,-9.2379150
0.4200000,0.4200000,0.3665498,-8.5580432
0.4300000,0.4300000,0.3765498,-7.9084200
0.4400000,0.4400000,0.3865498,-7.2974640
0.4500000,0.4500000,0.3965498,-6.7289486
0.4600000,0.4600000,0.4065498,-6.2036915
0.4700000,0.4700000,0.4165498,-5.7207088
0.4800000,0.4800000,0.4265498,-5.2779770
0.4900000,0.4900000,0.4365498,-4.8729268
0.5000000,0.5000000,0.4465498,-4.5027562
0.5100000,0.5100000,0.4565498,-4.1646252
0.5200000,0.5200000,0.4665498,-3.8557717
0.5300000,0.5300000,0.4765498,-3.5735778
0.5400000,0.5400000,0.4865498,-3.3156043
0.5500000,0.5500000,0.4965498,-3.0796040
0.5600000,0.5600000,0.5065498,-2.8635229
0.5700000,0.5700000,0.5165498,-2.6654939
0.5800000,0.5800000,0.5265498,-2.4838262
0.5900000,0.5900000,0.5365498,-2.3169929
0.6000000,0.6000000,0.5465498,-2.1636166
0.6100000,0.6100000,0.5565498,-2.0224570
0.6200000,0.6200000,0.5665498,-1.8923971
0.6300000,0.6300000,0.5765498,-1.7724314
0.6400000,0.6400000,0.5865498,-1.6616544
0.6500000,0.6500000,0.5965498,-1.5592507
0.6600000,0.6600000,0.6065498,-1.4644850
0.6700000,0.6700000,0.6165498,-1.3766943
0.6800000,0.6800000,0.6265498,-1.2952802
0.6900000,0.6900000,0.6365498,-1.2197019
0.7000000,0.7000000,0.6465498,-1.1494704
0.7100000,0.7100000,0.6565498,-1.0841430
0.7200000,0.7200000,0.6665498,-1.0233185
0.7300000,0.7300000,0.6765498,-0.9666331
0.7400000,0.7400000,0.6865498,-0.9137561
0.7500000,0.7500000,0.6965498,-0.8643872
0.7600000,0.7600000,0.7065498,-0.8182529
