# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol],UMincarbring(d)[kj/mol]
0.0266821,0.0266821,-0.0000000,804283.5237974,804283.5237974
0.0366821,0.0366821,0.0100000,596594.2043534,596594.2043534
0.0466821,0.0466821,0.0200000,400371.4592171,400371.4592171
0.0566821,0.0566821,0.0300000,275537.4107091,275537.4107091
0.0666821,0.0666821,0.0400000,197104.8735442,197104.8735442
0.0766821,0.0766821,0.0500000,130337.7881434,130337.7881434
0.0866821,0.0866821,0.0600000,87898.3146349,87898.3146349
0.0966821,0.0966821,0.0700000,62015.3918422,62015.3918422
0.1066821,0.1066821,0.0800000,44951.3481689,44951.3481689
0.1166821,0.1166821,0.0900000,32996.8149569,32996.8149569
0.1266821,0.1266821,0.1000000,24285.2125521,24285.2125521
0.1366821,0.1366821,0.1100000,17808.6061261,17808.6061261
0.1466821,0.1466821,0.1200000,12966.1508603,12966.1508603
0.1566821,0.1566821,0.1300000,9357.4947349,9357.4947349
0.1666821,0.1666821,0.1400000,6690.1295767,6690.1295767
0.1766821,0.1766821,0.1500000,4738.5745135,4738.5745135
0.1866821,0.1866821,0.1600000,3325.7910899,3325.7910899
0.1966821,0.1966821,0.1700000,2313.2814856,2313.2814856
0.2066821,0.2066821,0.1800000,1618.9017384,1594.2242234
0.2166821,0.2166821,0.1900000,1111.7459576,1087.6742215
0.2266821,0.2266821,0.2000000,756.5349573,733.3639582
0.2366821,0.2366821,0.2100000,509.1729993,487.1277527
0.2466821,0.2466821,0.2200000,337.9255416,317.0359926
0.2566821,0.2566821,0.2300000,220.1329845,200.2623512
0.2666821,0.2666821,0.2400000,139.6941593,120.6348414
0.2766821,0.2766821,0.2500000,85.1930015,66.7450533
0.2866821,0.2866821,0.2600000,48.4382181,30.6724624
0.2966821,0.2966821,0.2700000,23.4991330,6.8750492
0.3066821,0.3066821,0.2800000,6.4979802,-8.5019896
0.3166821,0.3166821,0.2900000,-4.9397943,-18.1290019
0.3266821,0.3266821,0.3000000,-12.4855124,-23.8521466
0.3366821,0.3366821,0.3100000,-17.3427015,-26.9615436
0.3466821,0.3466821,0.3200000,-20.3048881,-28.3141635
0.3566821,0.3566821,0.3300000,-21.8716600,-28.5129438
0.3666821,0.3666821,0.3400000,-22.4005728,-27.9725341
0.3766821,0.3766821,0.3500000,-22.2011717,-26.9761350
0.3866821,0.3866821,0.3600000,-21.6014309,-25.7189636
0.3966821,0.3966821,0.3700000,-20.9578420,-24.3266940
0.4066821,0.4066821,0.3800000,-20.4850938,-22.8820154
0.4166821,0.4166821,0.3900000,-20.1193171,-22.1920439
0.4266821,0.4266821,0.4000000,-19.6932672,-21.3701451
0.4366821,0.4366821,0.4100000,-19.1151181,-20.5535154
0.4466821,0.4466821,0.4200000,-18.3781333,-19.7553354
0.4566821,0.4566821,0.4300000,-17.5182724,-18.8007741
0.4666821,0.4666821,0.4400000,-16.5835026,-17.7725405
0.4766821,0.4766821,0.4500000,-15.6178839,-16.7230763
0.4866821,0.4866821,0.4600000,-14.6554765,-15.6850189
0.4966821,0.4966821,0.4700000,-13.7197843,-14.6859123
0.5066821,0.5066821,0.4800000,-12.8255190,-13.7434572
0.5166821,0.5166821,0.4900000,-11.9808647,-12.8481113
0.5266821,0.5266821,0.5000000,-11.1894819,-12.0050209
0.5366821,0.5366821,0.5100000,-10.4520487,-11.2160311
0.5466821,0.5466821,0.5200000,-9.7673672,-10.4813061
0.5566821,0.5566821,0.5300000,-9.1331238,-9.7987123
0.5666821,0.5666821,0.5400000,-8.5463981,-9.1659261
0.5766821,0.5766821,0.5500000,-8.0039940,-8.5797389
0.5866821,0.5866821,0.5600000,-7.5026519,-8.0370850
0.5966821,0.5966821,0.5700000,-7.0391783,-7.5349096
0.6066821,0.6066821,0.5800000,-6.6105228,-7.0702511
0.6166821,0.6166821,0.5900000,-6.2138191,-6.6401535
0.6266821,0.6266821,0.6000000,-5.8464044,-6.2418255
0.6366821,0.6366821,0.6100000,-5.5058234,-5.8727028
0.6466821,0.6466821,0.6200000,-5.1898244,-5.5304018
0.6566821,0.6566821,0.6300000,-4.8963496,-5.2127206
0.6666821,0.6666821,0.6400000,-4.6235229,-4.9176353
0.6766821,0.6766821,0.6500000,-4.3696367,-4.6432915
0.6866821,0.6866821,0.6600000,-4.1331378,-4.3879936
0.6966821,0.6966821,0.6700000,-3.9126141,-4.1501942
0.7066821,0.7066821,0.6800000,-3.7067818,-3.9284820
0.7166821,0.7166821,0.6900000,-3.5144734,-3.7215706
0.7266821,0.7266821,0.7000000,-3.3346266,-3.5282879
0.7366821,0.7366821,0.7100000,-3.1662744,-3.3475653
0.7466821,0.7466821,0.7200000,-3.0085357,-3.1784290
0.7566821,0.7566821,0.7300000,-2.8606071,-3.0199905
0.7666821,0.7666821,0.7400000,-2.7217553,-2.8714389
0.7766821,0.7766821,0.7500000,-2.5913103,-2.7320337
0.7866821,0.7866821,0.7600000,-2.4686595,-2.6010979
0.7966821,0.7966821,0.7700000,-2.3532421,-2.4780125
0.8066821,0.8066821,0.7800000,-2.2445443,-2.3622106
0.8166821,0.8166821,0.7900000,-2.1420947,-2.2531726
0.8266821,0.8266821,0.8000000,-2.0454605,-2.1504220
0.8366821,0.8366821,0.8100000,-1.9542438,-2.0535213
0.8466821,0.8466821,0.8200000,-1.8680786,-1.9620684
0.8566821,0.8566821,0.8300000,-1.7866277,-1.8756935
0.8666821,0.8666821,0.8400000,-1.7095804,-1.7940560
0.8766821,0.8766821,0.8500000,-1.6366498,-1.7168421
0.8866821,0.8866821,0.8600000,-1.5675709,-1.6437621
0.8966821,0.8966821,0.8700000,-1.5020987,-1.5745488
0.9066821,0.9066821,0.8800000,-1.4400066,-1.5089549
0.9166821,0.9166821,0.8900000,-1.3810844,-1.4467519
0.9266821,0.9266821,0.9000000,-1.3251374,-1.3877281
0.9366821,0.9366821,0.9100000,-1.2719849,-1.3316874
0.9466821,0.9466821,0.9200000,-1.2214591,-1.2784476
0.9566821,0.9566821,0.9300000,-1.1734040,-1.2278400
0.9666821,0.9666821,0.9400000,-1.1276743,-1.1797074
0.9766821,0.9766821,0.9500000,-1.0841349,-1.1339040
0.9866821,0.9866821,0.9600000,-1.0426599,-1.0902939
0.9966821,0.9966821,0.9700000,-1.0031318,-1.0487504
1.0066821,1.0066821,0.9800000,-0.9654409,-1.0091557
1.0166821,1.0166821,0.9900000,-0.9294850,-0.9713997
1.0266821,1.0266821,1.0000000,-0.8951683,-0.9353796
1.0366821,1.0366821,1.0100000,-0.8624013,-0.9009994
1.0466821,1.0466821,1.0200000,-0.8311002,-0.8681693
1.0566821,1.0566821,1.0300000,-0.8011865,-0.8368054
1.0666821,1.0666821,1.0400000,-0.7725866,-0.8068290
1.0766821,1.0766821,1.0500000,-0.7452317,-0.7781663
1.0866821,1.0866821,1.0600000,-0.7190569,-0.7507484
1.0966821,1.0966821,1.0700000,-0.6940014,-0.7245104
1.1066821,1.1066821,1.0800000,-0.6700082,-0.6993914
1.1166821,1.1166821,1.0900000,-0.6470234,-0.6753343
1.1266821,1.1266821,1.1000000,-0.6249965,-0.6522853
1.1366821,1.1366821,1.1100000,-0.6038800,-0.6301938
1.1466821,1.1466821,1.1200000,-0.5836290,-0.6090123
1.1566821,1.1566821,1.1300000,-0.5642013,-0.5886960
1.1666821,1.1666821,1.1400000,-0.5455571,-0.5692027
1.1766821,1.1766821,1.1500000,-0.5276588,-0.5504925
1.1866821,1.1866821,1.1600000,-0.5104708,-0.5325279
1.1966821,1.1966821,1.1700000,-0.4939598,-0.5152736
1.2066821,1.2066821,1.1800000,-0.4780940,-0.4986959
1.2166821,1.2166821,1.1900000,-0.4628436,-0.4827634
1.2266821,1.2266821,1.2000000,-0.4481801,-0.4674460
1.2366821,1.2366821,1.2100000,-0.4340769,-0.4527157
1.2466821,1.2466821,1.2200000,-0.4205085,-0.4385455
1.2566821,1.2566821,1.2300000,-0.4074509,-0.4249103
1.2666821,1.2666821,1.2400000,-0.3948815,-0.4117859
1.2766821,1.2766821,1.2500000,-0.3827784,-0.3991498
1.2866821,1.2866821,1.2600000,-0.3711214,-0.3869803
1.2966821,1.2966821,1.2700000,-0.3598909,-0.3752570
1.3066821,1.3066821,1.2800000,-0.3490686,-0.3639605
1.3166821,1.3166821,1.2900000,-0.3386368,-0.3530725
1.3266821,1.3266821,1.3000000,-0.3285790,-0.3425754
1.3366821,1.3366821,1.3100000,-0.3188794,-0.3324527
1.3466821,1.3466821,1.3200000,-0.3095228,-0.3226885
1.3566821,1.3566821,1.3300000,-0.3004951,-0.3132678
1.3666821,1.3666821,1.3400000,-0.2917825,-0.3041765
1.3766821,1.3766821,1.3500000,-0.2833722,-0.2954008
1.3866821,1.3866821,1.3600000,-0.2752517,-0.2869279
1.3966821,1.3966821,1.3700000,-0.2674094,-0.2787454
1.4066821,1.4066821,1.3800000,-0.2598340,-0.2708417
1.4166821,1.4166821,1.3900000,-0.2525148,-0.2632055
1.4266821,1.4266821,1.4000000,-0.2454417,-0.2558261
1.4366821,1.4366821,1.4100000,-0.2386049,-0.2486935
1.4466821,1.4466821,1.4200000,-0.2319952,-0.2417979
1.4566821,1.4566821,1.4300000,-0.2256038,-0.2351300
1.4666821,1.4666821,1.4400000,-0.2194221,-0.2286810
1.4766821,1.4766821,1.4500000,-0.2134421,-0.2224425
1.4866821,1.4866821,1.4600000,-0.2076560,-0.2164065
1.4966821,1.4966821,1.4700000,-0.2020566,-0.2105651
1.5066821,1.5066821,1.4800000,-0.1966368,-0.2049111
1.5166821,1.5166821,1.4900000,-0.1913898,-0.1994374
1.5266821,1.5266821,1.5000000,-0.1863091,-0.1941373
1.5366821,1.5366821,1.5100000,-0.1813887,-0.1890043
1.5466821,1.5466821,1.5200000,-0.1766225,-0.1840323
1.5566821,1.5566821,1.5300000,-0.1720050,-0.1792153
1.5666821,1.5666821,1.5400000,-0.1675307,-0.1745478
1.5766821,1.5766821,1.5500000,-0.1631945,-0.1700242
1.5866821,1.5866821,1.5600000,-0.1589913,-0.1656394
1.5966821,1.5966821,1.5700000,-0.1549165,-0.1613885
