# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol],UMinmethane(d)[kj/mol]
0.0266821,0.0266821,-0.0000000,26871.6422275,26871.6422275
0.0366821,0.0366821,0.0100000,22635.7433076,22635.7433076
0.0466821,0.0466821,0.0200000,18732.5716953,18732.5716953
0.0566821,0.0566821,0.0300000,15283.6588622,15283.6588622
0.0666821,0.0666821,0.0400000,12347.0242793,12347.0242793
0.0766821,0.0766821,0.0500000,9923.3432562,9923.3432562
0.0866821,0.0866821,0.0600000,7969.7943437,7969.7943437
0.0966821,0.0966821,0.0700000,6417.2414167,6417.2414167
0.1066821,0.1066821,0.0800000,5187.0035397,5187.0035397
0.1166821,0.1166821,0.0900000,4204.3566642,4204.3566642
0.1266821,0.1266821,0.1000000,3407.1253367,3407.1253367
0.1366821,0.1366821,0.1100000,2749.0815933,2749.0815933
0.1466821,0.1466821,0.1200000,2199.0771449,2199.0771449
0.1566821,0.1566821,0.1300000,1662.9039735,1638.9243684
0.1666821,0.1666821,0.1400000,1136.0681993,1112.3932531
0.1766821,0.1766821,0.1500000,770.2265616,747.0583144
0.1866821,0.1866821,0.1600000,518.5837922,496.0837843
0.1966821,0.1966821,0.1700000,346.7373351,325.0574653
0.2066821,0.2066821,0.1800000,230.0726112,209.3044419
0.2166821,0.2166821,0.1900000,151.3608702,131.4491391
0.2266821,0.2266821,0.2000000,98.6481366,79.4177905
0.2366821,0.2366821,0.2100000,63.6285089,44.9011835
0.2466821,0.2466821,0.2200000,40.4615408,22.2198472
0.2566821,0.2566821,0.2300000,24.8812121,7.5100726
0.2666821,0.2666821,0.2400000,13.7677817,-1.8557669
0.2766821,0.2766821,0.2500000,5.4778417,-7.6441197
0.2866821,0.2866821,0.2600000,-0.5586726,-11.0484841
0.2966821,0.2966821,0.2700000,-4.7599987,-12.8790366
0.3066821,0.3066821,0.2800000,-7.5584046,-13.6817606
0.3166821,0.3166821,0.2900000,-9.3167952,-13.8239611
0.3266821,0.3266821,0.3000000,-10.3123455,-13.5520813
0.3366821,0.3366821,0.3100000,-10.7603575,-13.0351053
0.3466821,0.3466821,0.3200000,-10.8271838,-12.3774638
0.3566821,0.3566821,0.3300000,-10.6344562,-11.6499680
0.3666821,0.3666821,0.3400000,-10.2678744,-10.8998693
0.3766821,0.3766821,0.3500000,-9.7897966,-10.1796600
0.3866821,0.3866821,0.3600000,-9.2479958,-9.4968722
0.3966821,0.3966821,0.3700000,-8.6787541,-8.8399081
0.4066821,0.4066821,0.3800000,-8.1079433,-8.2216095
0.4166821,0.4166821,0.3900000,-7.5525884,-7.6658838
0.4266821,0.4266821,0.4000000,-7.0229479,-7.1352812
0.4366821,0.4366821,0.4100000,-6.5245133,-6.6341985
0.4466821,0.4466821,0.4200000,-6.0596070,-6.1652899
0.4566821,0.4566821,0.4300000,-5.6285390,-5.7292478
0.4666821,0.4666821,0.4400000,-5.2303963,-5.3258401
0.4766821,0.4766821,0.4500000,-4.8635662,-4.9538461
0.4866821,0.4866821,0.4600000,-4.5260739,-4.6112962
0.4966821,0.4966821,0.4700000,-4.2157964,-4.2966743
0.5066821,0.5066821,0.4800000,-3.9305955,-4.0063694
0.5166821,0.5166821,0.4900000,-3.6683963,-3.7388375
0.5266821,0.5266821,0.5000000,-3.4272329,-3.4924337
0.5366821,0.5366821,0.5100000,-3.2052708,-3.2654981
0.5466821,0.5466821,0.5200000,-3.0008163,-3.0564226
0.5566821,0.5566821,0.5300000,-2.8123169,-2.8636865
0.5666821,0.5666821,0.5400000,-2.6383563,-2.6858746
0.5766821,0.5766821,0.5500000,-2.4776474,-2.5216829
0.5866821,0.5866821,0.5600000,-2.3290224,-2.3699182
0.5966821,0.5966821,0.5700000,-2.1914241,-2.2294938
0.6066821,0.6066821,0.5800000,-2.0638955,-2.0994225
0.6166821,0.6166821,0.5900000,-1.9455710,-1.9788587
0.6266821,0.6266821,0.6000000,-1.8356674,-1.8669544
0.6366821,0.6366821,0.6100000,-1.7334762,-1.7629497
0.6466821,0.6466821,0.6200000,-1.6383558,-1.6661832
0.6566821,0.6566821,0.6300000,-1.5497250,-1.5760560
0.6666821,0.6666821,0.6400000,-1.4670568,-1.4920250
0.6766821,0.6766821,0.6500000,-1.3898731,-1.4135979
0.6866821,0.6866821,0.6600000,-1.3177397,-1.3403276
0.6966821,0.6966821,0.6700000,-1.2502615,-1.2718078
0.7066821,0.7066821,0.6800000,-1.1870794,-1.2076691
0.7166821,0.7166821,0.6900000,-1.1278659,-1.1475752
0.7266821,0.7266821,0.7000000,-1.0723224,-1.0912195
0.7366821,0.7366821,0.7100000,-1.0201763,-1.0383225
0.7466821,0.7466821,0.7200000,-0.9711784,-0.9886287
0.7566821,0.7566821,0.7300000,-0.9251009,-0.9419047
0.7666821,0.7666821,0.7400000,-0.8817347,-0.8979367
0.7766821,0.7766821,0.7500000,-0.8408885,-0.8565290
0.7866821,0.7866821,0.7600000,-0.8023865,-0.8175018
0.7966821,0.7966821,0.7700000,-0.7660673,-0.7806904
0.8066821,0.8066821,0.7800000,-0.7317822,-0.7459430
