# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol]
-0.5111667,-0.5111667,-0.5032887,19163.5682886
-0.5011667,-0.5011667,-0.4932887,18879.0968450
-0.4911667,-0.4911667,-0.4832887,21211.2559769
-0.4811667,-0.4811667,-0.4732887,26347.4770558
-0.4711667,-0.4711667,-0.4632887,26192.0070919
-0.4611667,-0.4611667,-0.4532887,18709.7131851
-0.4511667,-0.4511667,-0.4432887,11571.9780324
-0.4411667,-0.4411667,-0.4332887,7630.6878331
-0.4311667,-0.4311667,-0.4232887,5922.9883571
-0.4211667,-0.4211667,-0.4132887,5130.1719530
-0.4111667,-0.4111667,-0.4032887,4871.3872832
-0.4011667,-0.4011667,-0.3932887,4964.5503522
-0.3911667,-0.3911667,-0.3832887,5470.2779730
-0.3811667,-0.3811667,-0.3732887,6753.9774871
-0.3711667,-0.3711667,-0.3632887,9489.3521090
-0.3611667,-0.3611667,-0.3532887,15666.3211386
-0.3511667,-0.3511667,-0.3432887,23322.9034723
-0.3411667,-0.3411667,-0.3332887,27965.4958225
-0.3311667,-0.3311667,-0.3232887,23042.5508792
-0.3211667,-0.3211667,-0.3132887,19540.5672681
-0.3111667,-0.3111667,-0.3032887,18763.1103060
-0.3011667,-0.3011667,-0.2932887,18702.4309602
-0.2911667,-0.2911667,-0.2832887,19947.4758598
-0.2811667,-0.2811667,-0.2732887,23948.5155208
-0.2711667,-0.2711667,-0.2632887,27366.4992231
-0.2611667,-0.2611667,-0.2532887,21748.8345823
-0.2511667,-0.2511667,-0.2432887,14281.8210408
-0.2411667,-0.2411667,-0.2332887,8889.7043025
-0.2311667,-0.2311667,-0.2232887,6462.9455249
-0.2211667,-0.2211667,-0.2132887,5369.3521126
-0.2111667,-0.2111667,-0.2032887,4920.3665403
-0.2011667,-0.2011667,-0.1932887,4862.7980131
-0.1911667,-0.1911667,-0.1832887,5161.5429669
-0.1811667,-0.1811667,-0.1732887,5997.9138501
-0.1711667,-0.1711667,-0.1632887,7807.8957413
-0.1611667,-0.1611667,-0.1532887,11942.9701351
-0.1511667,-0.1511667,-0.1432887,19031.4341621
-0.1411667,-0.1411667,-0.1332887,26052.9031075
-0.1311667,-0.1311667,-0.1232887,25162.1428316
-0.1211667,-0.1211667,-0.1132887,20417.7689558
-0.1111667,-0.1111667,-0.1032887,18427.4420429
-0.1011667,-0.1011667,-0.0932887,18657.9103474
-0.0911667,-0.0911667,-0.0832887,18691.8161702
-0.0811667,-0.0811667,-0.0732887,21399.5422441
-0.0711667,-0.0711667,-0.0632887,26689.1371009
-0.0611667,-0.0611667,-0.0532887,25282.9871580
-0.0511667,-0.0511667,-0.0432887,17354.3666859
-0.0411667,-0.0411667,-0.0332887,10392.1685235
-0.0311667,-0.0311667,-0.0232887,6975.7777867
-0.0211667,-0.0211667,-0.0132887,5392.6799105
-0.0111667,-0.0111667,-0.0032887,4509.6761346
-0.0011667,-0.0011667,0.0067113,3995.0731848
0.0088333,0.0088333,0.0167113,3620.6788302
0.0188333,0.0188333,0.0267113,3290.3847808
0.0288333,0.0288333,0.0367113,2953.5558011
0.0388333,0.0388333,0.0467113,2598.7924251
0.0488333,0.0488333,0.0567113,2223.1088014
0.0588333,0.0588333,0.0667113,1855.3545941
0.0688333,0.0688333,0.0767113,1535.3622466
0.0788333,0.0788333,0.0867113,1225.6410317
0.0888333,0.0888333,0.0967113,956.9377869
0.0988333,0.0988333,0.1067113,730.3149166
0.1088333,0.1088333,0.1167113,544.9475105
0.1188333,0.1188333,0.1267113,397.9482229
0.1288333,0.1288333,0.1367113,284.0987203
0.1388333,0.1388333,0.1467113,197.7185408
0.1488333,0.1488333,0.1567113,133.4434069
0.1588333,0.1588333,0.1667113,86.5089762
0.1688333,0.1688333,0.1767113,52.8701879
0.1788333,0.1788333,0.1867113,29.2023278
0.1888333,0.1888333,0.1967113,12.8462398
0.1988333,0.1988333,0.2067113,1.7069753
0.2088333,0.2088333,0.2167113,-5.7979979
0.2188333,0.2188333,0.2267113,-10.7556331
0.2288333,0.2288333,0.2367113,-13.9180324
0.2388333,0.2388333,0.2467113,-15.8526400
0.2488333,0.2488333,0.2567113,-16.9741046
0.2588333,0.2588333,0.2667113,-17.5460258
0.2688333,0.2688333,0.2767113,-17.7023258
0.2788333,0.2788333,0.2867113,-17.5133346
0.2888333,0.2888333,0.2967113,-17.0339541
0.2988333,0.2988333,0.3067113,-16.3153886
0.3088333,0.3088333,0.3167113,-15.4207170
0.3188333,0.3188333,0.3267113,-14.4228308
0.3288333,0.3288333,0.3367113,-13.3874746
0.3388333,0.3388333,0.3467113,-12.3631876
0.3488333,0.3488333,0.3567113,-11.3809697
0.3588333,0.3588333,0.3667113,-10.4581494
0.3688333,0.3688333,0.3767113,-9.6026847
0.3788333,0.3788333,0.3867113,-8.8165831
0.3888333,0.3888333,0.3967113,-8.0982949
0.3988333,0.3988333,0.4067113,-7.4442854
0.4088333,0.4088333,0.4167113,-6.8500301
0.4188333,0.4188333,0.4267113,-6.3106258
0.4288333,0.4288333,0.4367113,-5.8211551
0.4388333,0.4388333,0.4467113,-5.3768944
0.4488333,0.4488333,0.4567113,-4.9734240
0.4588333,0.4588333,0.4667113,-4.6066778
0.4688333,0.4688333,0.4767113,-4.2729566
0.4788333,0.4788333,0.4867113,-3.9689207
0.4888333,0.4888333,0.4967113,-3.6915699
0.4988333,0.4988333,0.5067113,-3.4382179
0.5088333,0.5088333,0.5167113,-3.2064648
0.5188333,0.5188333,0.5267113,-2.9941688
0.5288333,0.5288333,0.5367113,-2.7994199
0.5388333,0.5388333,0.5467113,-2.6205143
0.5488333,0.5488333,0.5567113,-2.4559324
0.5588333,0.5588333,0.5667113,-2.3043173
0.5688333,0.5688333,0.5767113,-2.1644571
0.5788333,0.5788333,0.5867113,-2.0352676
0.5888333,0.5888333,0.5967113,-1.9157785
0.5988333,0.5988333,0.6067113,-1.8051198
0.6088333,0.6088333,0.6167113,-1.7025109
0.6188333,0.6188333,0.6267113,-1.6072502
0.6288333,0.6288333,0.6367113,-1.5187064
0.6388333,0.6388333,0.6467113,-1.4363106
0.6488333,0.6488333,0.6567113,-1.3595497
0.6588333,0.6588333,0.6667113,-1.2879599
0.6688333,0.6688333,0.6767113,-1.2211216
0.6788333,0.6788333,0.6867113,-1.1586548
0.6888333,0.6888333,0.6967113,-1.1002147
0.6988333,0.6988333,0.7067113,-1.0454880
0.7088333,0.7088333,0.7167113,-0.9941900
0.7188333,0.7188333,0.7267113,-0.9460612
0.7288333,0.7288333,0.7367113,-0.9008650
0.7388333,0.7388333,0.7467113,-0.8583854
0.7488333,0.7488333,0.7567113,-0.8184252
0.7588333,0.7588333,0.7667113,-0.7808035
0.7688333,0.7688333,0.7767113,-0.7453550
0.7788333,0.7788333,0.7867113,-0.7119277
0.7888333,0.7888333,0.7967113,-0.6803823
0.7988333,0.7988333,0.8067113,-0.6505905
0.8088333,0.8088333,0.8167113,-0.6224345
0.8188333,0.8188333,0.8267113,-0.5958056
0.8288333,0.8288333,0.8367113,-0.5706035
0.8388333,0.8388333,0.8467113,-0.5467358
0.8488333,0.8488333,0.8567113,-0.5241170
0.8588333,0.8588333,0.8667113,-0.5026681
0.8688333,0.8688333,0.8767113,-0.4823158
0.8788333,0.8788333,0.8867113,-0.4629924
0.8888333,0.8888333,0.8967113,-0.4446349
0.8988333,0.8988333,0.9067113,-0.4271850
0.9088333,0.9088333,0.9167113,-0.4105885
0.9188333,0.9188333,0.9267113,-0.3947948
0.9288333,0.9288333,0.9367113,-0.3797571
0.9388333,0.9388333,0.9467113,-0.3654316
0.9488333,0.9488333,0.9567113,-0.3517777
0.9588333,0.9588333,0.9667113,-0.3387572
0.9688333,0.9688333,0.9767113,-0.3263347
0.9788333,0.9788333,0.9867113,-0.3144771
0.9888333,0.9888333,0.9967113,-0.3031534
0.9988333,0.9988333,1.0067113,-0.2923345
1.0088333,1.0088333,1.0167113,-0.2819934
1.0188333,1.0188333,1.0267113,-0.2721046
1.0288333,1.0288333,1.0367113,-0.2626442
1.0388333,1.0388333,1.0467113,-0.2535899
1.0488333,1.0488333,1.0567113,-0.2449207
1.0588333,1.0588333,1.0667113,-0.2366169
1.0688333,1.0688333,1.0767113,-0.2286599
1.0788333,1.0788333,1.0867113,-0.2210323
1.0888333,1.0888333,1.0967113,-0.2137178
1.0988333,1.0988333,1.1067113,-0.2067008
1.1088333,1.1088333,1.1167113,-0.1999669
1.1188333,1.1188333,1.1267113,-0.1935022
1.1288333,1.1288333,1.1367113,-0.1872940
1.1388333,1.1388333,1.1467113,-0.1813299
1.1488333,1.1488333,1.1567113,-0.1755984
1.1588333,1.1588333,1.1667113,-0.1700888
1.1688333,1.1688333,1.1767113,-0.1647905
1.1788333,1.1788333,1.1867113,-0.1596941
1.1888333,1.1888333,1.1967113,-0.1547902
1.1988333,1.1988333,1.2067113,-0.1500701
1.2088333,1.2088333,1.2167113,-0.1455256
1.2188333,1.2188333,1.2267113,-0.1411489
1.2288333,1.2288333,1.2367113,-0.1369325
1.2388333,1.2388333,1.2467113,-0.1328695
1.2488333,1.2488333,1.2567113,-0.1289532
1.2588333,1.2588333,1.2667113,-0.1251772
1.2688333,1.2688333,1.2767113,-0.1215355
1.2788333,1.2788333,1.2867113,-0.1180225
1.2888333,1.2888333,1.2967113,-0.1146328
1.2988333,1.2988333,1.3067113,-0.1113611
1.3088333,1.3088333,1.3167113,-0.1082025
1.3188333,1.3188333,1.3267113,-0.1051525
1.3288333,1.3288333,1.3367113,-0.1022065
1.3388333,1.3388333,1.3467113,-0.0993604
1.3488333,1.3488333,1.3567113,-0.0966101
