# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
-0.5891667,-0.5891667,-0.6075881,6821.9759167
-0.5791667,-0.5791667,-0.5975881,7197.7193250
-0.5691667,-0.5691667,-0.5875881,8376.7821148
-0.5591667,-0.5591667,-0.5775881,10386.7413783
-0.5491667,-0.5491667,-0.5675881,13247.3193071
-0.5391667,-0.5391667,-0.5575881,16937.6222792
-0.5291667,-0.5291667,-0.5475881,21354.1662566
-0.5191667,-0.5191667,-0.5375881,26271.2538675
-0.5091667,-0.5091667,-0.5275881,31324.8275834
-0.4991667,-0.4991667,-0.5175881,36026.1406596
-0.4891667,-0.4891667,-0.5075881,39826.3647108
-0.4791667,-0.4791667,-0.4975881,42222.8964821
-0.4691667,-0.4691667,-0.4875881,42887.8107709
-0.4591667,-0.4591667,-0.4775881,41758.6524569
-0.4491667,-0.4491667,-0.4675881,39082.8690515
-0.4391667,-0.4391667,-0.4575881,35389.6018218
-0.4291667,-0.4291667,-0.4475881,31450.6222831
-0.4191667,-0.4191667,-0.4375881,26771.5197495
-0.4091667,-0.4091667,-0.4275881,21405.5625848
-0.3991667,-0.3991667,-0.4175881,16750.2855483
-0.3891667,-0.3891667,-0.4075881,12990.9449667
-0.3791667,-0.3791667,-0.3975881,10189.4413730
-0.3691667,-0.3691667,-0.3875881,8335.7129375
-0.3591667,-0.3591667,-0.3775881,7362.8926579
-0.3491667,-0.3491667,-0.3675881,7258.6671312
-0.3391667,-0.3391667,-0.3575881,8027.3583370
-0.3291667,-0.3291667,-0.3475881,9698.6268663
-0.3191667,-0.3191667,-0.3375881,12313.1405538
-0.3091667,-0.3091667,-0.3275881,15894.4254175
-0.2991667,-0.2991667,-0.3175881,20404.7311308
-0.2891667,-0.2891667,-0.3075881,25692.6104659
-0.2791667,-0.2791667,-0.2975881,30673.8322094
-0.2691667,-0.2691667,-0.2875881,34552.8806555
-0.2591667,-0.2591667,-0.2775881,38399.1630753
-0.2491667,-0.2491667,-0.2675881,41387.4990810
-0.2391667,-0.2391667,-0.2575881,42928.4624552
-0.2291667,-0.2291667,-0.2475881,42685.2235054
-0.2191667,-0.2191667,-0.2375881,40656.2404487
-0.2091667,-0.2091667,-0.2275881,37127.9919911
-0.1991667,-0.1991667,-0.2175881,32572.4317272
-0.1891667,-0.1891667,-0.2075881,27538.8147734
-0.1791667,-0.1791667,-0.1975881,22539.6206262
-0.1691667,-0.1691667,-0.1875881,17973.8894523
-0.1591667,-0.1591667,-0.1775881,14099.2499468
-0.1491667,-0.1491667,-0.1675881,11044.4790533
-0.1391667,-0.1391667,-0.1575881,8847.7168868
-0.1291667,-0.1291667,-0.1475881,7495.6650421
-0.1191667,-0.1191667,-0.1375881,6962.9816007
-0.1091667,-0.1091667,-0.1275881,7224.0338008
-0.0991667,-0.0991667,-0.1175881,8294.1370155
-0.0891667,-0.0891667,-0.1075881,10198.2674116
-0.0791667,-0.0791667,-0.0975881,12956.1319269
-0.0691667,-0.0691667,-0.0875881,16550.7941998
-0.0591667,-0.0591667,-0.0775881,20887.7701322
-0.0491667,-0.0491667,-0.0675881,25753.8500675
-0.0391667,-0.0391667,-0.0575881,30796.4286391
-0.0291667,-0.0291667,-0.0475881,35534.9140728
-0.0191667,-0.0191667,-0.0375881,39419.6587160
-0.0091667,-0.0091667,-0.0275881,41934.1018831
0.0008333,0.0008333,-0.0175881,42710.0108156
0.0108333,0.0108333,-0.0075881,41601.3247036
