# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
-1.5035000,-1.5035000,-1.4379343,21055.2055155
-1.4935000,-1.4935000,-1.4279343,16520.1161239
-1.4835000,-1.4835000,-1.4179343,11993.1839392
-1.4735000,-1.4735000,-1.4079343,8702.3267543
-1.4635000,-1.4635000,-1.3979343,6581.7019066
-1.4535000,-1.4535000,-1.3879343,5334.0371588
-1.4435000,-1.4435000,-1.3779343,4756.6290112
-1.4335000,-1.4335000,-1.3679343,4616.2350633
-1.4235000,-1.4235000,-1.3579343,4665.8431919
-1.4135000,-1.4135000,-1.3479343,5090.6789551
-1.4035000,-1.4035000,-1.3379343,6116.8687492
-1.3935000,-1.3935000,-1.3279343,7941.1918759
-1.3835000,-1.3835000,-1.3179343,10834.1897840
-1.3735000,-1.3735000,-1.3079343,15007.1637119
-1.3635000,-1.3635000,-1.2979343,19626.4776286
-1.3535000,-1.3535000,-1.2879343,17745.1092619
-1.3435000,-1.3435000,-1.2779343,13173.6256487
-1.3335000,-1.3335000,-1.2679343,9554.8862321
-1.3235000,-1.3235000,-1.2579343,7120.6437386
-1.3135000,-1.3135000,-1.2479343,5627.5279845
-1.3035000,-1.3035000,-1.2379343,4855.9912779
-1.2935000,-1.2935000,-1.2279343,4673.4231889
-1.2835000,-1.2835000,-1.2179343,4671.8070020
-1.2735000,-1.2735000,-1.2079343,4910.9906026
-1.2635000,-1.2635000,-1.1979343,5750.0527841
-1.2535000,-1.2535000,-1.1879343,7332.5181443
-1.2435000,-1.2435000,-1.1779343,9882.5228713
-1.2335000,-1.2335000,-1.1679343,13633.3862089
-1.2235000,-1.2235000,-1.1579343,18270.5410477
-1.2135000,-1.2135000,-1.1479343,19196.3721063
-1.2035000,-1.2035000,-1.1379343,14563.0577457
-1.1935000,-1.1935000,-1.1279343,10504.3591810
-1.1835000,-1.1835000,-1.1179343,7715.0893052
-1.1735000,-1.1735000,-1.1079343,5964.7735130
-1.1635000,-1.1635000,-1.0979343,4988.9449554
-1.1535000,-1.1535000,-1.0879343,4592.6477690
-1.1435000,-1.1435000,-1.0779343,4552.8636013
-1.1335000,-1.1335000,-1.0679343,4694.5147497
-1.1235000,-1.1235000,-1.0579343,5284.2935343
-1.1135000,-1.1135000,-1.0479343,6535.8156557
-1.1035000,-1.1035000,-1.0379343,8653.1201685
-1.0935000,-1.0935000,-1.0279343,11931.5356474
-1.0835000,-1.0835000,-1.0179343,16405.2916171
-1.0735000,-1.0735000,-1.0079343,20483.0805256
-1.0635000,-1.0635000,-0.9979343,15908.9713622
-1.0535000,-1.0535000,-0.9879343,11545.7994871
-1.0435000,-1.0435000,-0.9779343,8426.5366235
-1.0335000,-1.0335000,-0.9679343,6389.5424241
-1.0235000,-1.0235000,-0.9579343,5198.5057042
