# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
-0.9175600,-0.9175600,-0.9106453,21251.0390635
-0.9075600,-0.9075600,-0.9006453,21148.4695702
-0.8975600,-0.8975600,-0.8906453,23839.7352597
-0.8875600,-0.8875600,-0.8806453,29717.0638820
-0.8775600,-0.8775600,-0.8706453,29003.2932121
-0.8675600,-0.8675600,-0.8606453,20473.6563608
-0.8575600,-0.8575600,-0.8506453,12471.4866894
-0.8475600,-0.8475600,-0.8406453,8233.1165641
-0.8375600,-0.8375600,-0.8306453,6379.7125975
-0.8275600,-0.8275600,-0.8206453,5566.1908642
-0.8175600,-0.8175600,-0.8106453,5297.3352308
-0.8075600,-0.8075600,-0.8006453,5409.4438588
-0.7975600,-0.7975600,-0.7906453,5959.4002384
-0.7875600,-0.7875600,-0.7806453,7325.4402487
-0.7775600,-0.7775600,-0.7706453,10413.9507874
-0.7675600,-0.7675600,-0.7606453,17257.5693473
-0.7575600,-0.7575600,-0.7506453,25885.5150790
-0.7475600,-0.7475600,-0.7406453,31270.6531097
-0.7375600,-0.7375600,-0.7306453,25754.2211465
-0.7275600,-0.7275600,-0.7206453,21828.3674538
-0.7175600,-0.7175600,-0.7106453,21025.3813393
-0.7075600,-0.7075600,-0.7006453,20943.3417582
-0.6975600,-0.6975600,-0.6906453,22414.8632372
-0.6875600,-0.6875600,-0.6806453,27035.6786729
-0.6775600,-0.6775600,-0.6706453,30379.8617609
-0.6675600,-0.6675600,-0.6606453,23691.6913404
-0.6575600,-0.6575600,-0.6506453,15314.5798057
-0.6475600,-0.6475600,-0.6406453,9519.9400277
-0.6375600,-0.6375600,-0.6306453,6931.9896384
-0.6275600,-0.6275600,-0.6206453,5790.9815628
-0.6175600,-0.6175600,-0.6106453,5350.6290522
-0.6075600,-0.6075600,-0.6006453,5313.3074949
-0.5975600,-0.5975600,-0.5906453,5677.8421620
-0.5875600,-0.5875600,-0.5806453,6670.4779294
-0.5775600,-0.5775600,-0.5706453,8884.7522533
-0.5675600,-0.5675600,-0.5606453,13957.2523959
-0.5575600,-0.5575600,-0.5506453,22221.6075890
-0.5475600,-0.5475600,-0.5406453,29644.1552316
-0.5375600,-0.5375600,-0.5306453,28160.3359351
-0.5275600,-0.5275600,-0.5206453,22985.1750857
-0.5175600,-0.5175600,-0.5106453,20976.0250818
-0.5075600,-0.5075600,-0.5006453,21142.4187117
-0.4975600,-0.4975600,-0.4906453,21472.9298519
-0.4875600,-0.4875600,-0.4806453,24856.6313313
-0.4775600,-0.4775600,-0.4706453,30806.9746313
-0.4675600,-0.4675600,-0.4606453,27812.1449195
-0.4575600,-0.4575600,-0.4506453,19005.5552368
-0.4475600,-0.4475600,-0.4406453,11221.1084158
-0.4375600,-0.4375600,-0.4306453,7685.0331555
-0.4275600,-0.4275600,-0.4206453,6137.7535369
-0.4175600,-0.4175600,-0.4106453,5466.4789769
-0.4075600,-0.4075600,-0.4006453,5286.7566193
-0.3975600,-0.3975600,-0.3906453,5485.1312480
-0.3875600,-0.3875600,-0.3806453,6173.8157523
-0.3775600,-0.3775600,-0.3706453,7807.9199861
-0.3675600,-0.3675600,-0.3606453,11495.4605897
-0.3575600,-0.3575600,-0.3506453,19363.7386805
-0.3475600,-0.3475600,-0.3406453,28409.3675134
-0.3375600,-0.3375600,-0.3306453,30601.0908153
-0.3275600,-0.3275600,-0.3206453,24619.8651335
-0.3175600,-0.3175600,-0.3106453,21390.2373087
-0.3075600,-0.3075600,-0.3006453,21178.7839077
-0.2975600,-0.2975600,-0.2906453,21003.8332330
-0.2875600,-0.2875600,-0.2806453,23161.0797207
-0.2775600,-0.2775600,-0.2706453,28487.7515926
-0.2675600,-0.2675600,-0.2606453,29508.6348455
-0.2575600,-0.2575600,-0.2506453,21826.9235238
-0.2475600,-0.2475600,-0.2406453,13618.4067883
-0.2375600,-0.2375600,-0.2306453,8760.9911110
-0.2275600,-0.2275600,-0.2206453,6609.0840239
-0.2175600,-0.2175600,-0.2106453,5666.3729947
-0.2075600,-0.2075600,-0.2006453,5323.8205489
-0.1975600,-0.1975600,-0.1906453,5366.1069326
-0.1875600,-0.1875600,-0.1806453,5834.8976014
-0.1775600,-0.1775600,-0.1706453,7017.4207341
-0.1675600,-0.1675600,-0.1606453,9681.5296756
-0.1575600,-0.1575600,-0.1506453,15718.9263407
-0.1475600,-0.1475600,-0.1406453,24106.9120273
-0.1375600,-0.1375600,-0.1306453,30571.4303291
-0.1275600,-0.1275600,-0.1206453,26758.5982177
-0.1175600,-0.1175600,-0.1106453,22290.1489066
-0.1075600,-0.1075600,-0.1006453,20964.9772497
-0.0975600,-0.0975600,-0.0906453,21011.5036357
-0.0875600,-0.0875600,-0.0806453,21964.2703450
-0.0775600,-0.0775600,-0.0706453,26046.0394492
-0.0675600,-0.0675600,-0.0606453,31099.0287222
-0.0575600,-0.0575600,-0.0506453,25286.0649164
-0.0475600,-0.0475600,-0.0406453,16740.9671676
-0.0375600,-0.0375600,-0.0306453,10071.9572004
-0.0275600,-0.0275600,-0.0206453,7021.8345785
-0.0175600,-0.0175600,-0.0106453,5559.6731560
-0.0075600,-0.0075600,-0.0006453,4741.8351997
0.0024400,0.0024400,0.0093547,4233.0305161
0.0124400,0.0124400,0.0193547,3837.1374637
0.0224400,0.0224400,0.0293547,3469.8424972
0.0324400,0.0324400,0.0393547,3089.7190694
0.0424400,0.0424400,0.0493547,2684.6485211
0.0524400,0.0524400,0.0593547,2275.7334962
0.0624400,0.0624400,0.0693547,1882.2490237
0.0724400,0.0724400,0.0793547,1557.9061141
0.0824400,0.0824400,0.0893547,1224.8064278
0.0924400,0.0924400,0.0993547,942.5923897
0.1024400,0.1024400,0.1093547,710.9582565
0.1124400,0.1124400,0.1193547,525.2498378
0.1224400,0.1224400,0.1293547,378.9727865
0.1324400,0.1324400,0.1393547,265.3723582
0.1424400,0.1424400,0.1493547,179.6613933
0.1524400,0.1524400,0.1593547,116.8217153
0.1624400,0.1624400,0.1693547,71.7870115
0.1724400,0.1724400,0.1793547,40.1803566
0.1824400,0.1824400,0.1893547,18.4562995
0.1924400,0.1924400,0.1993547,3.8400324
0.2024400,0.2024400,0.2093547,-5.8095328
