# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
-0.9658526,-0.9658526,-0.7587298,39396.1409336
-0.9558526,-0.9558526,-0.7487298,45277.3969605
-0.9458526,-0.9458526,-0.7387298,45171.2217424
-0.9358526,-0.9358526,-0.7287298,37091.8622007
-0.9258526,-0.9258526,-0.7187298,31211.6140433
-0.9158526,-0.9158526,-0.7087298,29749.2485085
-0.9058526,-0.9058526,-0.6987298,32545.4188575
-0.8958526,-0.8958526,-0.6887298,39701.6807535
-0.8858526,-0.8858526,-0.6787298,45955.0859598
-0.8758526,-0.8758526,-0.6687298,43074.4659080
-0.8658526,-0.8658526,-0.6587298,33980.9720717
-0.8558526,-0.8558526,-0.6487298,22334.5561980
-0.8458526,-0.8458526,-0.6387298,13684.5747765
-0.8358526,-0.8358526,-0.6287298,9836.3958315
-0.8258526,-0.8258526,-0.6187298,8231.2156243
-0.8158526,-0.8158526,-0.6087298,7785.3495530
-0.8058526,-0.8058526,-0.5987298,8185.9015948
-0.7958526,-0.7958526,-0.5887298,9715.0581276
-0.7858526,-0.7858526,-0.5787298,13404.7677143
-0.7758526,-0.7758526,-0.5687298,21757.4570822
-0.7658526,-0.7658526,-0.5587298,33385.0609475
-0.7558526,-0.7558526,-0.5487298,42714.7547526
-0.7458526,-0.7458526,-0.5387298,46224.6157640
-0.7358526,-0.7358526,-0.5287298,40182.4825081
-0.7258526,-0.7258526,-0.5187298,32801.2936287
-0.7158526,-0.7158526,-0.5087298,29789.2084597
-0.7058526,-0.7058526,-0.4987298,31033.4493089
-0.6958526,-0.6958526,-0.4887298,36686.5063061
-0.6858526,-0.6858526,-0.4787298,44934.8850309
-0.6758526,-0.6758526,-0.4687298,45628.7266173
-0.6658526,-0.6658526,-0.4587298,40293.0900039
-0.6558526,-0.6558526,-0.4487298,27542.1637396
-0.6458526,-0.6458526,-0.4387298,16392.7396578
-0.6358526,-0.6358526,-0.4287298,11210.5815991
-0.6258526,-0.6258526,-0.4187298,8983.5213355
-0.6158526,-0.6158526,-0.4087298,8178.3862819
-0.6058526,-0.6058526,-0.3987298,8246.9059355
-0.5958526,-0.5958526,-0.3887298,9234.9636670
-0.5858526,-0.5858526,-0.3787298,11816.7861351
-0.5758526,-0.5758526,-0.3687298,17776.5640647
-0.5658526,-0.5658526,-0.3587298,29142.8864679
-0.5558526,-0.5558526,-0.3487298,41473.0369730
-0.5458526,-0.5458526,-0.3387298,46955.3127801
-0.5358526,-0.5358526,-0.3287298,44029.5386864
-0.5258526,-0.5258526,-0.3187298,35411.8258927
-0.5158526,-0.5158526,-0.3087298,30518.0092592
-0.5058526,-0.5058526,-0.2987298,30002.4046029
-0.4958526,-0.4958526,-0.2887298,33743.6430054
-0.4858526,-0.4858526,-0.2787298,41882.2699670
-0.4758526,-0.4758526,-0.2687298,47203.6010921
-0.4658526,-0.4658526,-0.2587298,41559.8015770
-0.4558526,-0.4558526,-0.2487298,31565.0414088
-0.4458526,-0.4458526,-0.2387298,19865.9560585
-0.4358526,-0.4358526,-0.2287298,12548.8256216
-0.4258526,-0.4258526,-0.2187298,9347.7113853
-0.4158526,-0.4158526,-0.2087298,8056.4086274
-0.4058526,-0.4058526,-0.1987298,7802.6835507
-0.3958526,-0.3958526,-0.1887298,8407.7059394
-0.3858526,-0.3858526,-0.1787298,10288.3652867
-0.3758526,-0.3758526,-0.1687298,14717.1151535
