# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol]
-0.9919568,-0.9919568,-0.7814615,7278.0808341
-0.9819568,-0.9819568,-0.7714615,10192.0545688
-0.9719568,-0.9719568,-0.7614615,16759.8120811
-0.9619568,-0.9619568,-0.7514615,25419.5042893
-0.9519568,-0.9519568,-0.7414615,31269.0309929
-0.9419568,-0.9419568,-0.7314615,26161.4149004
-0.9319568,-0.9319568,-0.7214615,22015.6827575
-0.9219568,-0.9219568,-0.7114615,20909.6570257
-0.9119568,-0.9119568,-0.7014615,20914.4688810
-0.9019568,-0.9019568,-0.6914615,22330.1943215
-0.8919568,-0.8919568,-0.6814615,26709.3988858
-0.8819568,-0.8819568,-0.6714615,30523.3997051
-0.8719568,-0.8719568,-0.6614615,23994.7639447
-0.8619568,-0.8619568,-0.6514615,15694.3246608
-0.8519568,-0.8519568,-0.6414615,9575.1924328
-0.8419568,-0.8419568,-0.6314615,6790.7159026
-0.8319568,-0.8319568,-0.6214615,5591.7665508
-0.8219568,-0.8219568,-0.6114615,5229.8960757
-0.8119568,-0.8119568,-0.6014615,5245.2437958
-0.8019568,-0.8019568,-0.5914615,5441.0766508
-0.7919568,-0.7919568,-0.5814615,6331.0960264
-0.7819568,-0.7819568,-0.5714615,8558.3171086
-0.7719568,-0.7719568,-0.5614615,13554.4721915
-0.7619568,-0.7619568,-0.5514615,21811.8245742
-0.7519568,-0.7519568,-0.5414615,29188.7210575
-0.7419568,-0.7419568,-0.5314615,28449.0400999
-0.7319568,-0.7319568,-0.5214615,23161.7889086
-0.7219568,-0.7219568,-0.5114615,21027.4451825
-0.7119568,-0.7119568,-0.5014615,20912.2972285
-0.7019568,-0.7019568,-0.4914615,21519.0803471
-0.6919568,-0.6919568,-0.4814615,24839.3675015
-0.6819568,-0.6819568,-0.4714615,30921.2646269
-0.6719568,-0.6719568,-0.4614615,28646.3004202
-0.6619568,-0.6619568,-0.4514615,19488.7608038
-0.6519568,-0.6519568,-0.4414615,11506.5574543
-0.6419568,-0.6419568,-0.4314615,7870.3026516
-0.6319568,-0.6319568,-0.4214615,6232.8518068
-0.6219568,-0.6219568,-0.4114615,5532.3869381
-0.6119568,-0.6119568,-0.4014615,5337.6031684
-0.6019568,-0.6019568,-0.3914615,5528.0136270
-0.5919568,-0.5919568,-0.3814615,6169.1292326
-0.5819568,-0.5819568,-0.3714615,7729.2349554
-0.5719568,-0.5719568,-0.3614615,11227.8173114
-0.5619568,-0.5619568,-0.3514615,18984.2125084
-0.5519568,-0.5519568,-0.3414615,27899.8402874
-0.5419568,-0.5419568,-0.3314615,31163.5312822
-0.5319568,-0.5319568,-0.3214615,24975.7283754
-0.5219568,-0.5219568,-0.3114615,21532.6924545
-0.5119568,-0.5119568,-0.3014615,20914.3633175
-0.5019568,-0.5019568,-0.2914615,21003.1238638
-0.4919568,-0.4919568,-0.2814615,23021.8155925
-0.4819568,-0.4819568,-0.2714615,28110.2519814
-0.4719568,-0.4719568,-0.2614615,29444.5351809
-0.4619568,-0.4619568,-0.2514615,22252.1716719
-0.4519568,-0.4519568,-0.2414615,13940.5481631
-0.4419568,-0.4419568,-0.2314615,8754.0924393
-0.4319568,-0.4319568,-0.2214615,6438.0999382
-0.4219568,-0.4219568,-0.2114615,5455.7668063
-0.4119568,-0.4119568,-0.2014615,5238.5039166
-0.4019568,-0.4019568,-0.1914615,5240.8198088
-0.3919568,-0.3919568,-0.1814615,5565.3204302
