# r[nm],d[nm],daligned[nm],Umethane(d)[kj/mol]
-0.9175600,-0.9175600,-0.9106453,29522.3518567
-0.9075600,-0.9075600,-0.9006453,31634.0240724
-0.8975600,-0.8975600,-0.8906453,38139.2680968
-0.8875600,-0.8875600,-0.8806453,45323.7381983
-0.8775600,-0.8775600,-0.8706453,44016.3270740
-0.8675600,-0.8675600,-0.8606453,36734.1526344
-0.8575600,-0.8575600,-0.8506453,24562.7111917
-0.8475600,-0.8475600,-0.8406453,14899.4793900
-0.8375600,-0.8375600,-0.8306453,10612.9871577
-0.8275600,-0.8275600,-0.8206453,8799.7764531
-0.8175600,-0.8175600,-0.8106453,8215.8278550
-0.8075600,-0.8075600,-0.8006453,8460.3533303
-0.7975600,-0.7975600,-0.7906453,9701.8068933
-0.7875600,-0.7875600,-0.7806453,12788.3580290
-0.7775600,-0.7775600,-0.7706453,19872.1407677
-0.7675600,-0.7675600,-0.7606453,31430.5571767
-0.7575600,-0.7575600,-0.7506453,41890.0215149
-0.7475600,-0.7475600,-0.7406453,48023.0667237
-0.7375600,-0.7375600,-0.7306453,41914.2929163
-0.7275600,-0.7275600,-0.7206453,33652.9568211
-0.7175600,-0.7175600,-0.7106453,29834.0949078
-0.7075600,-0.7075600,-0.7006453,30294.7246562
-0.6975600,-0.6975600,-0.6906453,35070.7478343
-0.6875600,-0.6875600,-0.6806453,43344.8824565
-0.6775600,-0.6775600,-0.6706453,46741.9352190
-0.6675600,-0.6675600,-0.6606453,41139.0018595
-0.6575600,-0.6575600,-0.6506453,29049.2044611
-0.6475600,-0.6475600,-0.6406453,17798.0790028
-0.6375600,-0.6375600,-0.6306453,11880.4008456
-0.6275600,-0.6275600,-0.6206453,9319.0303497
-0.6175600,-0.6175600,-0.6106453,8339.1314414
-0.6075600,-0.6075600,-0.6006453,8270.4375817
-0.5975600,-0.5975600,-0.5906453,9066.4866672
-0.5875600,-0.5875600,-0.5806453,11270.9486930
-0.5775600,-0.5775600,-0.5706453,16405.3344297
-0.5675600,-0.5675600,-0.5606453,27470.6680943
-0.5575600,-0.5575600,-0.5506453,40596.4432378
-0.5475600,-0.5475600,-0.5406453,45348.1373683
-0.5375600,-0.5375600,-0.5306453,44192.0133109
-0.5275600,-0.5275600,-0.5206453,36340.0549929
-0.5175600,-0.5175600,-0.5106453,30804.2780461
-0.5075600,-0.5075600,-0.5006453,29616.4063439
-0.4975600,-0.4975600,-0.4906453,32684.3057116
-0.4875600,-0.4875600,-0.4806453,40174.1470524
-0.4775600,-0.4775600,-0.4706453,46738.0133187
-0.4675600,-0.4675600,-0.4606453,42742.4504854
-0.4575600,-0.4575600,-0.4506453,33531.0447973
-0.4475600,-0.4475600,-0.4406453,21773.7760137
-0.4375600,-0.4375600,-0.4306453,13632.6066240
-0.4275600,-0.4275600,-0.4206453,10065.1950491
-0.4175600,-0.4175600,-0.4106453,8590.9391382
-0.4075600,-0.4075600,-0.4006453,8202.6351000
-0.3975600,-0.3975600,-0.3906453,8632.5539711
-0.3875600,-0.3875600,-0.3806453,10176.8905814
-0.3775600,-0.3775600,-0.3706453,13890.7038087
-0.3675600,-0.3675600,-0.3606453,22340.6075499
-0.3575600,-0.3575600,-0.3506453,34178.5394162
-0.3475600,-0.3475600,-0.3406453,43027.3411581
-0.3375600,-0.3375600,-0.3306453,46408.6950116
-0.3275600,-0.3275600,-0.3206453,39714.3967560
-0.3175600,-0.3175600,-0.3106453,32439.3615386
-0.3075600,-0.3075600,-0.3006453,29580.7847806
-0.2975600,-0.2975600,-0.2906453,30972.1275119
-0.2875600,-0.2875600,-0.2806453,36721.0677184
-0.2775600,-0.2775600,-0.2706453,44423.4645832
-0.2675600,-0.2675600,-0.2606453,45019.1140016
-0.2575600,-0.2575600,-0.2506453,39686.4672464
-0.2475600,-0.2475600,-0.2406453,27077.8605767
-0.2375600,-0.2375600,-0.2306453,16055.7577421
