# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol]
0.7500000,0.0000000,-0.0146526,129777.4982735
0.7600000,0.0100000,-0.0046526,97351.7322384
0.7700000,0.0200000,0.0053474,70394.1683829
0.7800000,0.0300000,0.0153474,49318.0678751
0.7900000,0.0400000,0.0253474,33628.0368561
0.8000000,0.0500000,0.0353474,22392.8538868
0.8100000,0.0600000,0.0453474,14588.9497502
0.8200000,0.0700000,0.0553474,9293.9885739
0.8300000,0.0800000,0.0653474,5764.1593548
0.8400000,0.0900000,0.0753474,3441.1736648
0.8500000,0.1000000,0.0853474,1926.2344521
0.8600000,0.1100000,0.0953474,1825.8021841
0.8700000,0.1200000,0.1053474,1188.9708303
0.8800000,0.1300000,0.1153474,777.6786874
0.8900000,0.1400000,0.1253474,511.9055389
0.9000000,0.1500000,0.1353474,339.8570265
0.9100000,0.1600000,0.1453474,228.2568022
0.9200000,0.1700000,0.1553474,155.5646836
0.9300000,0.1800000,0.1653474,107.4881973
0.9400000,0.1900000,0.1753474,74.2075430
0.9500000,0.2000000,0.1853474,49.8774297
0.9600000,0.2100000,0.1953474,15.0253245
0.9700000,0.2200000,0.2053474,-19.5829497
0.9800000,0.2300000,0.2153474,-45.0986468
0.9900000,0.2400000,0.2253474,-61.9369287
1.0000000,0.2500000,0.2353474,-74.7803495
1.0100000,0.2600000,0.2453474,-84.2283962
1.0200000,0.2700000,0.2553474,-89.8348234
1.0300000,0.2800000,0.2653474,-92.5107554
1.0400000,0.2900000,0.2753474,-93.0785255
1.0500000,0.3000000,0.2853474,-92.5653955
1.0600000,0.3100000,0.2953474,-93.2331676
1.0700000,0.3200000,0.3053474,-94.7160173
1.0800000,0.3300000,0.3153474,-97.0956544
1.0900000,0.3400000,0.3253474,-101.2154830
1.1000000,0.3500000,0.3353474,-104.8755589
1.1100000,0.3600000,0.3453474,-105.8083054
1.1200000,0.3700000,0.3553474,-108.7935908
1.1300000,0.3800000,0.3653474,-112.5486010
1.1400000,0.3900000,0.3753474,-112.7429566
1.1500000,0.4000000,0.3853474,-111.2655747
1.1600000,0.4100000,0.3953474,-108.8784798
1.1700000,0.4200000,0.4053474,-105.7170267
1.1800000,0.4300000,0.4153474,-102.0890954
1.1900000,0.4400000,0.4253474,-103.0055119
1.2000000,0.4500000,0.4353474,-106.4449937
1.2100000,0.4600000,0.4453474,-106.5177357
1.2200000,0.4700000,0.4553474,-105.2160113
1.2300000,0.4800000,0.4653474,-103.0481786
1.2400000,0.4900000,0.4753474,-99.8120225
1.2500000,0.5000000,0.4853474,-95.8602309
1.2600000,0.5100000,0.4953474,-91.5860236
1.2700000,0.5200000,0.5053474,-87.2535288
1.2800000,0.5300000,0.5153474,-83.0178334
1.2900000,0.5400000,0.5253474,-78.9627649
1.3000000,0.5500000,0.5353474,-75.1286651
1.3100000,0.5600000,0.5453474,-71.5302120
1.3200000,0.5700000,0.5553474,-68.1674217
1.3300000,0.5800000,0.5653474,-65.0323358
1.3400000,0.5900000,0.5753474,-62.1130356
1.3500000,0.6000000,0.5853474,-59.3960065
1.3600000,0.6100000,0.5953474,-56.8674800
1.3700000,0.6200000,0.6053474,-54.5141353
1.3800000,0.6300000,0.6153474,-52.3233977
1.3900000,0.6400000,0.6253474,-50.2834903
1.4000000,0.6500000,0.6353474,-48.3833470
1.4100000,0.6600000,0.6453474,-46.6124738
1.4200000,0.6700000,0.6553474,-44.9608172
1.4300000,0.6800000,0.6653474,-43.4186808
1.4400000,0.6900000,0.6753474,-41.9767063
1.4500000,0.7000000,0.6853474,-40.6259111
1.4600000,0.7100000,0.6953474,-39.3577643
1.4700000,0.7200000,0.7053474,-38.1642729
1.4800000,0.7300000,0.7153474,-37.0380581
1.4900000,0.7400000,0.7253474,-35.9724058
1.5000000,0.7500000,0.7353474,-34.9612865
1.5100000,0.7600000,0.7453474,-33.9993452
1.5200000,0.7700000,0.7553474,-33.0818686
1.5300000,0.7800000,0.7653474,-32.2047363
1.5400000,0.7900000,0.7753474,-31.3643616
1.5500000,0.8000000,0.7853474,-30.5576314
1.5600000,0.8100000,0.7953474,-29.7818452
1.5700000,0.8200000,0.8053474,-29.0346593
1.5800000,0.8300000,0.8153474,-28.3140351
1.5900000,0.8400000,0.8253474,-27.6181944
1.6000000,0.8500000,0.8353474,-26.9455803
1.6100000,0.8600000,0.8453474,-26.2948228
1.6200000,0.8700000,0.8553474,-25.6647109
1.6300000,0.8800000,0.8653474,-25.0541682
1.6400000,0.8900000,0.8753474,-24.4622326
1.6500000,0.9000000,0.8853474,-23.8880394
1.6600000,0.9100000,0.8953474,-23.3308068
1.6700000,0.9200000,0.9053474,-22.7898246
1.6800000,0.9300000,0.9153474,-22.2644434
1.6900000,0.9400000,0.9253474,-21.7540669
1.7000000,0.9500000,0.9353474,-21.2581444
1.7100000,0.9600000,0.9453474,-20.7761653
1.7200000,0.9700000,0.9553474,-20.3076535
1.7300000,0.9800000,0.9653474,-19.8521638
1.7400000,0.9900000,0.9753474,-19.4092776
1.7500000,1.0000000,0.9853474,-18.9786001
1.7600000,1.0100000,0.9953474,-18.5597577
1.7700000,1.0200000,1.0053474,-18.1523954
1.7800000,1.0300000,1.0153474,-17.7561748
1.7900000,1.0400000,1.0253474,-17.3707728
1.8000000,1.0500000,1.0353474,-16.9958796
1.8100000,1.0600000,1.0453474,-16.6311972
1.8200000,1.0700000,1.0553474,-16.2764391
1.8300000,1.0800000,1.0653474,-15.9313282
1.8400000,1.0900000,1.0753474,-15.5955969
1.8500000,1.1000000,1.0853474,-15.2689854
1.8600000,1.1100000,1.0953474,-14.9512419
1.8700000,1.1200000,1.1053474,-14.6421214
1.8800000,1.1300000,1.1153474,-14.3413853
1.8900000,1.1400000,1.1253474,-14.0488012
1.9000000,1.1500000,1.1353474,-13.7641424
1.9100000,1.1600000,1.1453474,-13.4871876
1.9200000,1.1700000,1.1553474,-13.2177203
1.9300000,1.1800000,1.1653474,-12.9555293
1.9400000,1.1900000,1.1753474,-12.7004079
1.9500000,1.2000000,1.1853474,-12.4521538
1.9600000,1.2100000,1.1953474,-12.2105694
1.9700000,1.2200000,1.2053474,-11.9754613
1.9800000,1.2300000,1.2153474,-11.7466404
1.9900000,1.2400000,1.2253474,-11.5239219
2.0000000,1.2500000,1.2353474,-11.3071249
2.0100000,1.2600000,1.2453474,-11.0960730
2.0200000,1.2700000,1.2553474,-10.8905936
2.0300000,1.2800000,1.2653474,-10.6905185
2.0400000,1.2900000,1.2753474,-10.4956832
2.0500000,1.3000000,1.2853474,-10.3059276
2.0600000,1.3100000,1.2953474,-10.1210956
2.0700000,1.3200000,1.3053474,-9.9410351
2.0800000,1.3300000,1.3153474,-9.7655979
2.0900000,1.3400000,1.3253474,-9.5946401
2.1000000,1.3500000,1.3353474,-9.4280216
2.1100000,1.3600000,1.3453474,-9.2656063
2.1200000,1.3700000,1.3553474,-9.1072619
2.1300000,1.3800000,1.3653474,-8.9528603
2.1400000,1.3900000,1.3753474,-8.8022769
2.1500000,1.4000000,1.3853474,-8.6553911
2.1600000,1.4100000,1.3953474,-8.5120860
2.1700000,1.4200000,1.4053474,-8.3722484
2.1800000,1.4300000,1.4153474,-8.2357685
2.1900000,1.4400000,1.4253474,-8.1025404
2.2000000,1.4500000,1.4353474,-7.9724614
2.2100000,1.4600000,1.4453474,-7.8454324
2.2200000,1.4700000,1.4553474,-7.7213575
2.2300000,1.4800000,1.4653474,-7.6001442
2.2400000,1.4900000,1.4753474,-7.4817029
2.2500000,1.5000000,1.4853474,-7.3659473
2.2600000,1.5100000,1.4953474,-7.2527941
2.2700000,1.5200000,1.5053474,-7.1421629
2.2800000,1.5300000,1.5153474,-7.0339760
2.2900000,1.5400000,1.5253474,-6.9281586
2.3000000,1.5500000,1.5353474,-6.8246385
2.3100000,1.5600000,1.5453474,-6.7233462
2.3200000,1.5700000,1.5553474,-6.6242144
2.3300000,1.5800000,1.5653474,-6.5271785
2.3400000,1.5900000,1.5753474,-6.4321761
