# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
0.7500000,0.0000000,-0.0298671,195967.1876926
0.7600000,0.0100000,-0.0198671,157017.1891919
0.7700000,0.0200000,-0.0098671,120285.2401984
0.7800000,0.0300000,0.0001329,88634.0722514
0.7900000,0.0400000,0.0101329,63193.9947477
0.8000000,0.0500000,0.0201329,43846.3883303
0.8100000,0.0600000,0.0301329,29764.4589522
0.8200000,0.0700000,0.0401329,19863.0237241
0.8300000,0.0800000,0.0501329,13084.6250770
0.8400000,0.0900000,0.0601329,8537.1670915
0.8500000,0.1000000,0.0701329,5531.4426465
0.8600000,0.1100000,0.0801329,3565.5241670
0.8700000,0.1200000,0.0901329,2288.6706446
0.8800000,0.1300000,0.1001329,1618.1478498
0.8900000,0.1400000,0.1101329,1036.7798268
0.9000000,0.1500000,0.1201329,663.7154344
0.9100000,0.1600000,0.1301329,426.0025226
0.9200000,0.1700000,0.1401329,273.6527153
0.9300000,0.1800000,0.1501329,175.9830991
0.9400000,0.1900000,0.1601329,113.5616188
0.9500000,0.2000000,0.1701329,73.3587904
0.9600000,0.2100000,0.1801329,34.8758914
0.9700000,0.2200000,0.1901329,8.1624078
0.9800000,0.2300000,0.2001329,-7.1401929
0.9900000,0.2400000,0.2101329,-15.5170319
1.0000000,0.2500000,0.2201329,-21.6754954
1.0100000,0.2600000,0.2301329,-30.9452933
1.0200000,0.2700000,0.2401329,-37.0741514
1.0300000,0.2800000,0.2501329,-40.0202545
1.0400000,0.2900000,0.2601329,-40.7287783
1.0500000,0.3000000,0.2701329,-39.8899961
1.0600000,0.3100000,0.2801329,-38.0085174
1.0700000,0.3200000,0.2901329,-35.4834999
1.0800000,0.3300000,0.3001329,-32.7199375
1.0900000,0.3400000,0.3101329,-30.3627276
1.1000000,0.3500000,0.3201329,-28.6315061
1.1100000,0.3600000,0.3301329,-26.8533256
1.1200000,0.3700000,0.3401329,-24.7329144
1.1300000,0.3800000,0.3501329,-22.3765673
1.1400000,0.3900000,0.3601329,-19.9628701
1.1500000,0.4000000,0.3701329,-17.7254714
1.1600000,0.4100000,0.3801329,-16.1196284
1.1700000,0.4200000,0.3901329,-15.0059925
1.1800000,0.4300000,0.4001329,-13.7610100
1.1900000,0.4400000,0.4101329,-12.3543593
1.2000000,0.4500000,0.4201329,-10.9599585
1.2100000,0.4600000,0.4301329,-9.6141113
1.2200000,0.4700000,0.4401329,-8.3336369
1.2300000,0.4800000,0.4501329,-7.1707111
1.2400000,0.4900000,0.4601329,-6.1664152
1.2500000,0.5000000,0.4701329,-5.3290045
1.2600000,0.5100000,0.4801329,-4.6423583
1.2700000,0.5200000,0.4901329,-4.0807441
1.2800000,0.5300000,0.5001329,-3.6185479
1.2900000,0.5400000,0.5101329,-3.2342256
1.3000000,0.5500000,0.5201329,-2.9109383
1.3100000,0.5600000,0.5301329,-2.6359051
1.3200000,0.5700000,0.5401329,-2.3994885
1.3300000,0.5800000,0.5501329,-2.1943846
1.3400000,0.5900000,0.5601329,-2.0149977
1.3500000,0.6000000,0.5701329,-1.8569841
1.3600000,0.6100000,0.5801329,-1.7169254
1.3700000,0.6200000,0.5901329,-1.5920951
1.3800000,0.6300000,0.6001329,-1.4802913
1.3900000,0.6400000,0.6101329,-1.3797152
1.4000000,0.6500000,0.6201329,-1.2888817
1.4100000,0.6600000,0.6301329,-1.2065532
1.4200000,0.6700000,0.6401329,-1.1316892
1.4300000,0.6800000,0.6501329,-1.0634086
1.4400000,0.6900000,0.6601329,-1.0009598
1.4500000,0.7000000,0.6701329,-0.9436975
1.4600000,0.7100000,0.6801329,-0.8910649
1.4700000,0.7200000,0.6901329,-0.8425788
1.4800000,0.7300000,0.7001329,-0.7978179
1.4900000,0.7400000,0.7101329,-0.7564135
1.5000000,0.7500000,0.7201329,-0.7180413
1.5100000,0.7600000,0.7301329,-0.6824154
1.5200000,0.7700000,0.7401329,-0.6492826
1.5300000,0.7800000,0.7501329,-0.6184181
1.5400000,0.7900000,0.7601329,-0.5896218
1.5500000,0.8000000,0.7701329,-0.5627148
1.5600000,0.8100000,0.7801329,-0.5375371
1.5700000,0.8200000,0.7901329,-0.5139451
1.5800000,0.8300000,0.8001329,-0.4918097
1.5900000,0.8400000,0.8101329,-0.4710143
1.6000000,0.8500000,0.8201329,-0.4514538
1.6100000,0.8600000,0.8301329,-0.4330330
1.6200000,0.8700000,0.8401329,-0.4156655
1.6300000,0.8800000,0.8501329,-0.3992731
1.6400000,0.8900000,0.8601329,-0.3837843
1.6500000,0.9000000,0.8701329,-0.3691343
1.6600000,0.9100000,0.8801329,-0.3552636
1.6700000,0.9200000,0.8901329,-0.3421180
1.6800000,0.9300000,0.9001329,-0.3296480
1.6900000,0.9400000,0.9101329,-0.3178080
1.7000000,0.9500000,0.9201329,-0.3065562
1.7100000,0.9600000,0.9301329,-0.2958542
1.7200000,0.9700000,0.9401329,-0.2856668
1.7300000,0.9800000,0.9501329,-0.2759614
1.7400000,0.9900000,0.9601329,-0.2667078
1.7500000,1.0000000,0.9701329,-0.2578785
1.7600000,1.0100000,0.9801329,-0.2494477
1.7700000,1.0200000,0.9901329,-0.2413916
1.7800000,1.0300000,1.0001329,-0.2336884
1.7900000,1.0400000,1.0101329,-0.2263176
1.8000000,1.0500000,1.0201329,-0.2192602
1.8100000,1.0600000,1.0301329,-0.2124986
1.8200000,1.0700000,1.0401329,-0.2060164
1.8300000,1.0800000,1.0501329,-0.1997984
1.8400000,1.0900000,1.0601329,-0.1938303
1.8500000,1.1000000,1.0701329,-0.1880988
1.8600000,1.1100000,1.0801329,-0.1825917
1.8700000,1.1200000,1.0901329,-0.1772971
1.8800000,1.1300000,1.1001329,-0.1722044
1.8900000,1.1400000,1.1101329,-0.1673034
1.9000000,1.1500000,1.1201329,-0.1625845
1.9100000,1.1600000,1.1301329,-0.1580388
1.9200000,1.1700000,1.1401329,-0.1536580
1.9300000,1.1800000,1.1501329,-0.1494342
1.9400000,1.1900000,1.1601329,-0.1453600
1.9500000,1.2000000,1.1701329,-0.1414285
1.9600000,1.2100000,1.1801329,-0.1376330
1.9700000,1.2200000,1.1901329,-0.1339675
1.9800000,1.2300000,1.2001329,-0.1304261
1.9900000,1.2400000,1.2101329,-0.1270033
2.0000000,1.2500000,1.2201329,-0.1236940
2.0100000,1.2600000,1.2301329,-0.1204932
2.0200000,1.2700000,1.2401329,-0.1173964
2.0300000,1.2800000,1.2501329,-0.1143991
2.0400000,1.2900000,1.2601329,-0.1114972
2.0500000,1.3000000,1.2701329,-0.1086868
2.0600000,1.3100000,1.2801329,-0.1059642
2.0700000,1.3200000,1.2901329,-0.1033258
2.0800000,1.3300000,1.3001329,-0.1007683
2.0900000,1.3400000,1.3101329,-0.0982884
2.1000000,1.3500000,1.3201329,-0.0958833
2.1100000,1.3600000,1.3301329,-0.0935500
2.1200000,1.3700000,1.3401329,-0.0912858
2.1300000,1.3800000,1.3501329,-0.0890880
2.1400000,1.3900000,1.3601329,-0.0869542
2.1500000,1.4000000,1.3701329,-0.0848821
2.1600000,1.4100000,1.3801329,-0.0828694
2.1700000,1.4200000,1.3901329,-0.0809140
2.1800000,1.4300000,1.4001329,-0.0790137
2.1900000,1.4400000,1.4101329,-0.0771667
2.2000000,1.4500000,1.4201329,-0.0753711
2.2100000,1.4600000,1.4301329,-0.0736251
2.2200000,1.4700000,1.4401329,-0.0719270
2.2300000,1.4800000,1.4501329,-0.0702752
2.2400000,1.4900000,1.4601329,-0.0686680
2.2500000,1.5000000,1.4701329,-0.0671041
2.2600000,1.5100000,1.4801329,-0.0655819
2.2700000,1.5200000,1.4901329,-0.0641002
2.2800000,1.5300000,1.5001329,-0.0626575
2.2900000,1.5400000,1.5101329,-0.0612526
2.3000000,1.5500000,1.5201329,-0.0598844
2.3100000,1.5600000,1.5301329,-0.0585516
2.3200000,1.5700000,1.5401329,-0.0572532
2.3300000,1.5800000,1.5501329,-0.0559880
2.3400000,1.5900000,1.5601329,-0.0547550
