# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
-0.2174684,-0.2174684,0.0036000,175668.3300151
-0.2074684,-0.2074684,0.0136000,148206.6344570
-0.1974684,-0.1974684,0.0236000,103318.0408108
-0.1874684,-0.1874684,0.0336000,71046.4367379
-0.1774684,-0.1774684,0.0436000,48389.2870667
-0.1674684,-0.1674684,0.0536000,31200.3551948
-0.1574684,-0.1574684,0.0636000,20116.4183518
-0.1474684,-0.1474684,0.0736000,13017.9143753
-0.1374684,-0.1374684,0.0836000,8434.6773653
-0.1274684,-0.1274684,0.0936000,5467.7311235
-0.1174684,-0.1174684,0.1036000,3545.4100252
-0.1074684,-0.1074684,0.1136000,2299.2673579
-0.0974684,-0.0974684,0.1236000,1516.8057762
-0.0874684,-0.0874684,0.1336000,954.5773452
-0.0774684,-0.0774684,0.1436000,594.0312856
-0.0674684,-0.0674684,0.1536000,375.3297328
-0.0574684,-0.0574684,0.1636000,240.6758410
-0.0474684,-0.0474684,0.1736000,156.6157163
-0.0374684,-0.0374684,0.1836000,103.3852686
-0.0274684,-0.0274684,0.1936000,68.9864746
-0.0174684,-0.0174684,0.2036000,45.8769400
-0.0074684,-0.0074684,0.2136000,29.6394897
0.0025316,0.0025316,0.2236000,18.2584293
0.0125316,0.0125316,0.2336000,10.5248219
0.0225316,0.0225316,0.2436000,5.2176986
0.0325316,0.0325316,0.2536000,1.0369432
0.0425316,0.0425316,0.2636000,-3.0884796
0.0525316,0.0525316,0.2736000,-7.4733862
0.0625316,0.0625316,0.2836000,-11.2916232
0.0725316,0.0725316,0.2936000,-14.0507481
0.0825316,0.0825316,0.3036000,-15.9473164
0.0925316,0.0925316,0.3136000,-17.3356753
0.1025316,0.1025316,0.3236000,-18.5538399
0.1125316,0.1125316,0.3336000,-19.6185716
0.1225316,0.1225316,0.3436000,-20.2662797
0.1325316,0.1325316,0.3536000,-20.5459410
0.1425316,0.1425316,0.3636000,-20.6668369
0.1525316,0.1525316,0.3736000,-20.4666367
0.1625316,0.1625316,0.3836000,-19.7413220
0.1725316,0.1725316,0.3936000,-18.6385202
0.1825316,0.1825316,0.4036000,-17.4730652
0.1925316,0.1925316,0.4136000,-16.3522690
0.2025316,0.2025316,0.4236000,-15.2432721
0.2125316,0.2125316,0.4336000,-14.1799651
0.2225316,0.2225316,0.4436000,-13.1966531
0.2325316,0.2325316,0.4536000,-12.2939016
0.2425316,0.2425316,0.4636000,-11.4612259
0.2525316,0.2525316,0.4736000,-10.6660645
