# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol]
-0.2174684,-0.2174684,-0.0154000,167405.0604614
-0.2074684,-0.2074684,-0.0054000,145964.5298353
-0.1974684,-0.1974684,0.0046000,100979.7669105
-0.1874684,-0.1874684,0.0146000,68640.5350470
-0.1774684,-0.1774684,0.0246000,45681.6086490
-0.1674684,-0.1674684,0.0346000,29992.0301635
-0.1574684,-0.1574684,0.0446000,19582.1948768
-0.1474684,-0.1474684,0.0546000,12737.4125164
-0.1374684,-0.1374684,0.0646000,8265.7654571
-0.1274684,-0.1274684,0.0746000,5343.3935272
-0.1174684,-0.1174684,0.0846000,3434.1661309
-0.1074684,-0.1074684,0.0946000,2209.9512346
-0.0974684,-0.0974684,0.1046000,1446.5097557
-0.0874684,-0.0874684,0.1146000,904.0733020
-0.0774684,-0.0774684,0.1246000,573.2064074
-0.0674684,-0.0674684,0.1346000,368.0848695
-0.0574684,-0.0574684,0.1446000,239.4755197
-0.0474684,-0.0474684,0.1546000,158.0908371
-0.0374684,-0.0374684,0.1646000,105.9177274
-0.0274684,-0.0274684,0.1746000,71.6400999
-0.0174684,-0.0174684,0.1846000,48.1206587
-0.0074684,-0.0074684,0.1946000,31.3439605
0.0025316,0.0025316,0.2046000,19.5830900
0.0125316,0.0125316,0.2146000,11.6350523
0.0225316,0.0225316,0.2246000,6.2809051
0.0325316,0.0325316,0.2346000,2.2710833
0.0425316,0.0425316,0.2446000,-1.6092183
0.0525316,0.0525316,0.2546000,-5.9636860
0.0625316,0.0625316,0.2646000,-9.9177567
0.0725316,0.0725316,0.2746000,-12.8415998
0.0825316,0.0825316,0.2846000,-14.9063068
0.0925316,0.0925316,0.2946000,-16.4564208
0.1025316,0.1025316,0.3046000,-17.8133354
0.1125316,0.1125316,0.3146000,-18.9783262
0.1225316,0.1225316,0.3246000,-19.6970890
0.1325316,0.1325316,0.3346000,-20.0353448
0.1425316,0.1425316,0.3446000,-20.2080064
0.1525316,0.1525316,0.3546000,-20.0506502
0.1625316,0.1625316,0.3646000,-19.3583148
0.1725316,0.1725316,0.3746000,-18.2787630
0.1825316,0.1825316,0.3846000,-17.1296269
0.1925316,0.1925316,0.3946000,-16.0209768
0.2025316,0.2025316,0.4046000,-14.9187851
0.2125316,0.2125316,0.4146000,-13.8567922
0.2225316,0.2225316,0.4246000,-12.8721127
0.2325316,0.2325316,0.4346000,-11.9694339
0.2425316,0.2425316,0.4446000,-11.1393728
0.2525316,0.2525316,0.4546000,-10.3522296
0.2625316,0.2625316,0.4646000,-9.5448768
0.2725316,0.2725316,0.4746000,-8.7007283
0.2825316,0.2825316,0.4846000,-7.8587841
0.2925316,0.2925316,0.4946000,-7.0650204
0.3025316,0.3025316,0.5046000,-6.3474344
0.3125316,0.3125316,0.5146000,-5.7152788
0.3225316,0.3225316,0.5246000,-5.1658434
0.3325316,0.3325316,0.5346000,-4.6907480
0.3425316,0.3425316,0.5446000,-4.2799068
0.3525316,0.3525316,0.5546000,-3.9235408
0.3625316,0.3625316,0.5646000,-3.6129950
0.3725316,0.3725316,0.5746000,-3.3409374
0.3825316,0.3825316,0.5846000,-3.1012872
0.3925316,0.3925316,0.5946000,-2.8890442
0.4025316,0.4025316,0.6046000,-2.7001048
0.4125316,0.4125316,0.6146000,-2.5310936
0.4225316,0.4225316,0.6246000,-2.3792221
0.4325316,0.4325316,0.6346000,-2.2421745
0.4425316,0.4425316,0.6446000,-2.1180156
0.4525316,0.4525316,0.6546000,-2.0051188
0.4625316,0.4625316,0.6646000,-1.9021087
0.4725316,0.4725316,0.6746000,-1.8078157
0.4825316,0.4825316,0.6846000,-1.7212396
0.4925316,0.4925316,0.6946000,-1.6415210
0.5025316,0.5025316,0.7046000,-1.5679177
0.5125316,0.5125316,0.7146000,-1.4997860
0.5225316,0.5225316,0.7246000,-1.4365654
0.5325316,0.5325316,0.7346000,-1.3777658
0.5425316,0.5425316,0.7446000,-1.3229572
0.5525316,0.5525316,0.7546000,-1.2717607
0.5625316,0.5625316,0.7646000,-1.2238421
0.5725316,0.5725316,0.7746000,-1.1789049
0.5825316,0.5825316,0.7846000,-1.1366860
0.5925316,0.5925316,0.7946000,-1.0969507
0.6025316,0.6025316,0.8046000,-1.0594897
0.6125316,0.6125316,0.8146000,-1.0241154
0.6225316,0.6225316,0.8246000,-0.9906596
0.6325316,0.6325316,0.8346000,-0.9589709
0.6425316,0.6425316,0.8446000,-0.9289130
0.6525316,0.6525316,0.8546000,-0.9003628
0.6625316,0.6625316,0.8646000,-0.8732088
0.6725316,0.6725316,0.8746000,-0.8473501
0.6825316,0.6825316,0.8846000,-0.8226950
0.6925316,0.6925316,0.8946000,-0.7991601
0.7025316,0.7025316,0.9046000,-0.7766694
0.7125316,0.7125316,0.9146000,-0.7551536
0.7225316,0.7225316,0.9246000,-0.7345492
0.7325316,0.7325316,0.9346000,-0.7147983
0.7425316,0.7425316,0.9446000,-0.6958477
0.7525316,0.7525316,0.9546000,-0.6776484
0.7625316,0.7625316,0.9646000,-0.6601557
0.7725316,0.7725316,0.9746000,-0.6433281
0.7825316,0.7825316,0.9846000,-0.6271276
0.7925316,0.7925316,0.9946000,-0.6115189
0.8025316,0.8025316,1.0046000,-0.5964696
0.8125316,0.8125316,1.0146000,-0.5819495
0.8225316,0.8225316,1.0246000,-0.5679308
0.8325316,0.8325316,1.0346000,-0.5543875
0.8425316,0.8425316,1.0446000,-0.5412957
0.8525316,0.8525316,1.0546000,-0.5286329
0.8625316,0.8625316,1.0646000,-0.5163784
0.8725316,0.8725316,1.0746000,-0.5045127
0.8825316,0.8825316,1.0846000,-0.4930176
0.8925316,0.8925316,1.0946000,-0.4818764
0.9025316,0.9025316,1.1046000,-0.4710730
0.9125316,0.9125316,1.1146000,-0.4605927
0.9225316,0.9225316,1.1246000,-0.4504216
0.9325316,0.9325316,1.1346000,-0.4405466
0.9425316,0.9425316,1.1446000,-0.4309554
0.9525316,0.9525316,1.1546000,-0.4216365
0.9625316,0.9625316,1.1646000,-0.4125789
0.9725316,0.9725316,1.1746000,-0.4037726
0.9825316,0.9825316,1.1846000,-0.3952077
0.9925316,0.9925316,1.1946000,-0.3868752
1.0025316,1.0025316,1.2046000,-0.3787663
1.0125316,1.0125316,1.2146000,-0.3708730
1.0225316,1.0225316,1.2246000,-0.3631875
1.0325316,1.0325316,1.2346000,-0.3557023
1.0425316,1.0425316,1.2446000,-0.3484106
1.0525316,1.0525316,1.2546000,-0.3413057
1.0625316,1.0625316,1.2646000,-0.3343813
1.0725316,1.0725316,1.2746000,-0.3276313
1.0825316,1.0825316,1.2846000,-0.3210502
1.0925316,1.0925316,1.2946000,-0.3146323
1.1025316,1.1025316,1.3046000,-0.3083725
1.1125316,1.1125316,1.3146000,-0.3022658
1.1225316,1.1225316,1.3246000,-0.2963075
1.1325316,1.1325316,1.3346000,-0.2904930
1.1425316,1.1425316,1.3446000,-0.2848179
1.1525316,1.1525316,1.3546000,-0.2792781
1.1625316,1.1625316,1.3646000,-0.2738695
1.1725316,1.1725316,1.3746000,-0.2685883
