# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
-0.3760248,-0.3760248,-0.3872567,1109733.3593940
-0.3660248,-0.3660248,-0.3772567,942662.0596244
-0.3560248,-0.3560248,-0.3672567,1002436.7153081
-0.3460248,-0.3460248,-0.3572567,957339.7273555
-0.3360248,-0.3360248,-0.3472567,999528.8693132
-0.3260248,-0.3260248,-0.3372567,1255428.1180864
-0.3160248,-0.3160248,-0.3272567,1801450.8586854
-0.3060248,-0.3060248,-0.3172567,2837749.4204082
-0.2960248,-0.2960248,-0.3072567,2488030.8100006
-0.2860248,-0.2860248,-0.2972567,1654036.8066369
-0.2760248,-0.2760248,-0.2872567,1400144.1683687
-0.2660248,-0.2660248,-0.2772567,746822.8079171
-0.2560248,-0.2560248,-0.2672567,373237.1881445
-0.2460248,-0.2460248,-0.2572567,194400.6104578
-0.2360248,-0.2360248,-0.2472567,107307.9066977
-0.2260248,-0.2260248,-0.2372567,65914.1198623
-0.2160248,-0.2160248,-0.2272567,47835.0027170
-0.2060248,-0.2060248,-0.2172567,40026.2768904
-0.1960248,-0.1960248,-0.2072567,44012.1941381
-0.1860248,-0.1860248,-0.1972567,52014.0589913
-0.1760248,-0.1760248,-0.1872567,71388.3127720
-0.1660248,-0.1660248,-0.1772567,118192.1555838
-0.1560248,-0.1560248,-0.1672567,219942.2643832
-0.1460248,-0.1460248,-0.1572567,426317.1548902
-0.1360248,-0.1360248,-0.1472567,847539.3764310
-0.1260248,-0.1260248,-0.1372567,1082082.8048183
-0.1160248,-0.1160248,-0.1272567,1432938.4406927
-0.1060248,-0.1060248,-0.1172567,1921791.9710493
-0.0960248,-0.0960248,-0.1072567,2985160.5515634
-0.0860248,-0.0860248,-0.0972567,4874117.1718482
-0.0760248,-0.0760248,-0.0872567,2908146.0034979
-0.0660248,-0.0660248,-0.0772567,2213314.8085205
-0.0560248,-0.0560248,-0.0672567,1410628.5122700
-0.0460248,-0.0460248,-0.0572567,1011873.9995903
-0.0360248,-0.0360248,-0.0472567,844453.4444099
-0.0260248,-0.0260248,-0.0372567,751629.2484915
-0.0160248,-0.0160248,-0.0272567,660443.3769713
-0.0060248,-0.0060248,-0.0172567,598991.0631120
0.0039752,0.0039752,-0.0072567,561880.6622648
0.0139752,0.0139752,0.0027433,543468.6572456
0.0239752,0.0239752,0.0127433,538838.3456975
0.0339752,0.0339752,0.0227433,541579.0166120
0.0439752,0.0439752,0.0327433,538757.3878042
0.0539752,0.0539752,0.0427433,552909.0381935
0.0639752,0.0639752,0.0527433,593092.1637599
0.0739752,0.0739752,0.0627433,604869.8458853
0.0839752,0.0839752,0.0727433,512746.6838948
0.0939752,0.0939752,0.0827433,273205.7223654
0.1039752,0.1039752,0.0927433,141441.2793304
0.1139752,0.1139752,0.1027433,75378.4904981
0.1239752,0.1239752,0.1127433,41303.8199569
0.1339752,0.1339752,0.1227433,23196.3378166
0.1439752,0.1439752,0.1327433,13308.1330544
0.1539752,0.1539752,0.1427433,7772.9841865
0.1639752,0.1639752,0.1527433,4604.5868795
0.1739752,0.1739752,0.1627433,2749.7217749
0.1839752,0.1839752,0.1727433,1666.9828883
0.1939752,0.1939752,0.1827433,1003.8619747
0.2039752,0.2039752,0.1927433,599.4006317
0.2139752,0.2139752,0.2027433,350.3255639
0.2239752,0.2239752,0.2127433,195.9240551
0.2339752,0.2339752,0.2227433,99.9236541
0.2439752,0.2439752,0.2327433,40.2841056
0.2539752,0.2539752,0.2427433,3.3881023
0.2639752,0.2639752,0.2527433,-19.3434053
0.2739752,0.2739752,0.2627433,-33.1957020
0.2839752,0.2839752,0.2727433,-41.2220487
0.2939752,0.2939752,0.2827433,-45.3793891
0.3039752,0.3039752,0.2927433,-47.0382132
0.3139752,0.3139752,0.3027433,-47.0653444
0.3239752,0.3239752,0.3127433,-45.9651077
0.3339752,0.3339752,0.3227433,-44.0906836
0.3439752,0.3439752,0.3327433,-41.7316502
0.3539752,0.3539752,0.3427433,-39.1156608
0.3639752,0.3639752,0.3527433,-36.4071191
0.3739752,0.3739752,0.3627433,-33.7166413
0.3839752,0.3839752,0.3727433,-31.1141262
0.3939752,0.3939752,0.3827433,-28.6406184
0.4039752,0.4039752,0.3927433,-26.3175491
0.4139752,0.4139752,0.4027433,-24.1534361
0.4239752,0.4239752,0.4127433,-22.1485564
0.4339752,0.4339752,0.4227433,-20.2981265
0.4439752,0.4439752,0.4327433,-18.5944273
0.4539752,0.4539752,0.4427433,-17.0282023
0.4639752,0.4639752,0.4527433,-15.5895612
0.4739752,0.4739752,0.4627433,-14.2685500
0.4839752,0.4839752,0.4727433,-13.0555012
0.4939752,0.4939752,0.4827433,-11.9412359
0.5039752,0.5039752,0.4927433,-10.9171709
0.5139752,0.5139752,0.5027433,-9.9753641
0.5239752,0.5239752,0.5127433,-9.1085199
0.5339752,0.5339752,0.5227433,-8.3099711
0.5439752,0.5439752,0.5327433,-7.5736476
0.5539752,0.5539752,0.5427433,-6.8940358
0.5639752,0.5639752,0.5527433,-6.2661367
0.5739752,0.5739752,0.5627433,-5.6854222
0.5839752,0.5839752,0.5727433,-5.1477949
0.5939752,0.5939752,0.5827433,-4.6502555
0.6039752,0.6039752,0.5927433,-4.2327810
0.6139752,0.6139752,0.6027433,-4.4684039
0.6239752,0.6239752,0.6127433,-6.3895607
0.6339752,0.6339752,0.6227433,-8.6785043
0.6439752,0.6439752,0.6327433,-10.2770585
0.6539752,0.6539752,0.6427433,-11.1961731
0.6639752,0.6639752,0.6527433,-11.6179594
0.6739752,0.6739752,0.6627433,-11.6725382
0.6839752,0.6839752,0.6727433,-11.4495499
0.6939752,0.6939752,0.6827433,-11.0273235
0.7039752,0.7039752,0.6927433,-10.4760811
0.7139752,0.7139752,0.7027433,-9.8530417
0.7239752,0.7239752,0.7127433,-9.2006553
0.7339752,0.7339752,0.7227433,-8.5481777
0.7439752,0.7439752,0.7327433,-7.9145198
0.7539752,0.7539752,0.7427433,-7.3110641
0.7639752,0.7639752,0.7527433,-6.7439650
0.7739752,0.7739752,0.7627433,-6.2158697
0.7839752,0.7839752,0.7727433,-5.7271469
0.7939752,0.7939752,0.7827433,-5.2767392
0.8039752,0.8039752,0.7927433,-4.8627452
0.8139752,0.8139752,0.8027433,-4.4828088
0.8239752,0.8239752,0.8127433,-4.1343769
0.8339752,0.8339752,0.8227433,-3.8148646
0.8439752,0.8439752,0.8327433,-3.5217587
0.8539752,0.8539752,0.8427433,-3.2526780
0.8639752,0.8639752,0.8527433,-3.0054115
0.8739752,0.8739752,0.8627433,-2.7786515
0.8839752,0.8839752,0.8727433,-2.5923863
0.8939752,0.8939752,0.8827433,-2.6373665
0.9039752,0.9039752,0.8927433,-3.3599633
0.9139752,0.9139752,0.9027433,-4.6199611
0.9239752,0.9239752,0.9127433,-5.7625123
0.9339752,0.9339752,0.9227433,-6.5141515
0.9439752,0.9439752,0.9327433,-6.8818619
0.9539752,0.9539752,0.9427433,-6.9436075
0.9639752,0.9639752,0.9527433,-6.7854798
0.9739752,0.9739752,0.9627433,-6.4841035
0.9839752,0.9839752,0.9727433,-6.1003066
0.9939752,0.9939752,0.9827433,-5.6785004
1.0039752,1.0039752,0.9927433,-5.2489929
1.0139752,1.0139752,1.0027433,-4.8311678
1.0239752,1.0239752,1.0127433,-4.4364699
1.0339752,1.0339752,1.0227433,-4.0708346
1.0439752,1.0439752,1.0327433,-3.7365312
1.0539752,1.0539752,1.0427433,-3.4335020
1.0639752,1.0639752,1.0527433,-3.1603027
1.0739752,1.0739752,1.0627433,-2.9147430
1.0839752,1.0839752,1.0727433,-2.6943068
1.0939752,1.0939752,1.0827433,-2.4964166
1.1039752,1.1039752,1.0927433,-2.3185898
