# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-0.3760248,-0.3760248,-0.3872567,246421.6379419,158537.7266833,984822.5323349,15486.4527764,693613.3564475,246421.6379419,246421.6379419,290491.3886291,183722.8857466,246421.6379419,158537.7266833,984822.5323349,15486.4527764,693613.3564475,246421.6379419,246421.6379419,290491.3886291,183722.8857466
-0.3710248,-0.3710248,-0.3822567,244148.0858746,157073.8378764,975748.6881517,15342.1861504,687222.1874247,244148.0858746,244148.0858746,287811.2372322,182027.8091689,244148.0858746,157073.8378764,975748.6881517,15342.1861504,687222.1874247,244148.0858746,244148.0858746,287811.2372322,182027.8091689
-0.3660248,-0.3660248,-0.3772567,238457.8203775,153410.0441439,953038.1761569,14981.1610420,671226.0357501,238457.8203775,238457.8203775,281103.3314666,177785.3570592,238457.8203775,153410.0441439,953038.1761569,14981.1610420,671226.0357501,238457.8203775,238457.8203775,281103.3314666,177785.3570592
-0.3610248,-0.3610248,-0.3722567,229629.2428339,147725.6563029,917801.5350164,14421.1072541,646407.1302930,229629.2428339,229629.2428339,270695.8616857,171203.0952217,229629.2428339,147725.6563029,917801.5350164,14421.1072541,646407.1302930,229629.2428339,229629.2428339,270695.8616857,171203.0952217
-0.3560248,-0.3560248,-0.3672567,218079.7347142,140289.4948034,871703.7315877,13688.6011022,613938.2205188,218079.7347142,218079.7347142,257080.8533621,162592.2078888,218079.7347142,140289.4948034,871703.7315877,13688.6011022,613938.2205188,218079.7347142,218079.7347142,257080.8533621,162592.2078888
-0.3510248,-0.3510248,-0.3622567,204328.9266999,131436.2289377,816817.6780949,12816.7222060,575279.3972817,204328.9266999,204328.9266999,240870.8673065,152340.1125338,204328.9266999,131436.2289377,816817.6780949,12816.7222060,575279.3972817,204328.9266999,204328.9266999,240870.8673065,152340.1125338
-0.3460248,-0.3460248,-0.3572567,188955.7500728,121538.7112633,755452.9480211,11842.3141783,532057.4443231,188955.7500728,188955.7500728,222748.3701778,140878.4389704,188955.7500728,121538.7112633,755452.9480211,11842.3141783,532057.4443231,188955.7500728,188955.7500728,222748.3701778,140878.4389704
-0.3410248,-0.3410248,-0.3522567,172554.6367150,110979.7643097,689981.0890978,10803.1918459,485942.7931091,172554.6367150,172554.6367150,203414.1013442,128650.3736888,172554.6367150,110979.7643097,689981.0890978,10803.1918459,485942.7931091,172554.6367150,172554.6367150,203414.1013442,128650.3736888
-0.3360248,-0.3360248,-0.3472567,155695.7232464,100126.5474757,622676.8957265,9735.6049243,438537.7194500,155695.7232464,155695.7232464,183540.1599762,116080.9895273,155695.7232464,100126.5474757,622676.8957265,9735.6049243,438537.7194500,155695.7232464,155695.7232464,183540.1599762,116080.9895273
-0.3310248,-0.3310248,-0.3422567,138892.7068690,89309.8537543,555590.1874314,8672.1908297,391286.0282000,138892.7068690,138892.7068690,163732.1122682,103553.2801756,138892.7068690,89309.8537543,555590.1874314,8672.1908297,391286.0282000,138892.7068690,138892.7068690,163732.1122682,103553.2801756
-0.3260248,-0.3260248,-0.3372567,122580.4267889,78809.6720409,490456.3656192,7640.5487425,345410.0527807,122580.4267889,122580.4267889,144502.5635494,91391.4457099,122580.4267889,78809.6720409,490456.3656192,7640.5487425,345410.0527807,122580.4267889,122580.4267889,144502.5635494,91391.4457099
-0.3210248,-0.3210248,-0.3322567,107102.6527527,68847.3249373,428647.6719540,6662.4653130,301876.3241611,107102.6527527,107102.6527527,126256.7629363,79851.7881757,107102.6527527,68847.3249373,428647.6719540,6662.4653130,301876.3241611,107102.6527527,107102.6527527,126256.7629363,79851.7881757
-0.3160248,-0.3160248,-0.3272567,92709.2302443,59583.6338740,371161.7603300,5753.7373526,261387.5227246,92709.2302443,92709.2302443,109289.2379798,69120.5831521,92709.2302443,59583.6338740,371161.7603300,5753.7373526,261387.5227246,92709.2302443,92709.2302443,109289.2379798,69120.5831521
-0.3110248,-0.3110248,-0.3222567,78312.9270732,50327.0504012,313570.0091092,4855.3664399,220827.4841647,78312.9270732,78312.9270732,92318.3171864,58387.2304126,78312.9270732,50327.0504012,313570.0091092,4855.3664399,220827.4841647,78312.9270732,78312.9270732,92318.3171864,58387.2304126
-0.3060248,-0.3060248,-0.3172567,64269.0713539,41288.9919468,257473.3971430,3969.4720306,181317.4418318,64269.0713539,64269.0713539,75762.8751250,47916.6494956,64269.0713539,41288.9919468,257473.3971430,3969.4720306,181317.4418318,64269.0713539,64269.0713539,75762.8751250,47916.6494956
-0.3010248,-0.3010248,-0.3122567,52477.9226115,33701.6822352,210364.4712416,3226.8527228,148137.9870274,52477.9226115,52477.9226115,61863.0114591,39125.6038256,52477.9226115,33701.6822352,210364.4712416,3226.8527228,148137.9870274,52477.9226115,52477.9226115,61863.0114591,39125.6038256
-0.2960248,-0.2960248,-0.3072567,42666.9206363,27389.4801002,171156.9666989,2610.0419341,120523.9545166,42666.9206363,42666.9206363,50297.4216375,31810.8825617,42666.9206363,27389.4801002,171156.9666989,2610.0419341,120523.9545166,42666.9206363,42666.9206363,50297.4216375,31810.8825617
-0.2910248,-0.2910248,-0.3022567,34567.5462603,22179.3657607,138780.5420406,2101.8523768,97721.4017900,34567.5462603,34567.5462603,40749.5648456,25772.2877145,34567.5462603,22179.3657607,138780.5420406,2101.8523768,97721.4017900,34567.5462603,34567.5462603,40749.5648456,25772.2877145
-0.2860248,-0.2860248,-0.2972567,27927.1953601,17908.5877274,112228.1528482,1701.7723823,79020.9774092,27927.1953601,27927.1953601,32921.6615408,20821.4869652,27927.1953601,17908.5877274,112228.1528482,1686.1312830,79020.9774092,27927.1953601,27927.1953601,32921.6615408,20821.4869652
-0.2810248,-0.2810248,-0.2922567,22516.2636174,14429.2241621,90584.3311106,1363.8506416,63777.8394564,22516.2636174,22516.2636174,26543.0452439,16787.2958015,22516.2636174,14429.2241621,90584.3311106,1348.2095423,63777.8394564,22516.2636174,22516.2636174,26543.0452439,16787.2958015
-0.2760248,-0.2760248,-0.2872567,18131.5943692,11610.4012579,73038.9627105,1090.7596861,51421.3591222,18131.5943692,18131.5943692,21374.2269971,13518.2481073,18131.5943692,11610.4012579,73038.9627105,1075.1185868,51421.3591222,18131.5943692,18131.5943692,21374.2269971,13518.2481073
-0.2710248,-0.2710248,-0.2822567,14597.3465156,9338.8497103,58890.7760853,871.2837922,41457.5770764,14597.3465156,14597.3465156,17207.9184890,10883.2432431,14597.3465156,9338.8497103,58890.7760853,855.6426928,41457.5770764,14597.3465156,14597.3465156,17207.9184890,10883.2432431
